unit_id,treat,age,education,black,hispanic,married,nodegree,earnings_1974,earnings_1975,earnings_1978
1,0,49,8,0,0,0,1,10712.01,11203.08,13354.78
2,0,46,14,0,1,1,0,16121.42,16712.88,21134.09
3,0,47,8,0,0,1,1,9880.42,10855.57,11419.49
4,1,30,11,0,0,1,1,9524.1,10723.31,11699.0
5,0,30,14,0,0,1,0,13972.5,14997.83,17636.19
6,0,26,11,0,0,1,1,12337.47,11299.81,15943.47
7,0,44,12,1,0,0,0,10039.0,10592.75,9056.48
8,0,49,12,0,0,1,0,13354.18,16463.6,18502.54
9,0,45,14,0,0,0,0,14179.52,16359.4,17834.03
10,0,40,10,0,0,1,1,10091.52,10295.14,13875.44
11,0,49,14,0,0,1,0,13955.99,16805.8,24515.04
12,1,33,8,1,0,0,1,6489.58,9714.15,11964.28
13,0,34,14,1,1,0,0,11695.36,13512.39,22225.72
14,0,24,8,1,0,0,1,11478.28,15523.55,13864.54
15,0,19,15,1,0,1,0,14147.06,14360.69,18139.88
16,1,50,11,0,0,0,1,9061.73,8905.22,14563.46
17,0,52,10,0,0,0,1,14389.07,11215.95,17274.56
18,0,50,13,0,0,0,0,12101.62,13550.99,17920.42
19,0,27,11,1,0,0,1,5137.38,8140.06,10448.11
20,1,32,14,0,0,0,0,13310.17,15500.17,17582.03
21,0,53,12,0,0,1,0,11587.73,14269.0,15497.36
22,0,46,11,1,0,1,1,10303.05,11077.15,17010.38
23,1,37,12,0,0,0,0,11138.08,10710.83,16658.31
24,0,41,11,1,0,0,1,8019.03,11077.75,11993.13
25,0,46,13,1,0,1,0,12428.32,14047.24,18098.28
26,0,40,15,1,0,1,0,13639.97,12747.28,20726.18
27,0,45,15,0,0,0,0,14285.62,12483.56,18793.88
28,0,52,12,0,0,1,0,12824.7,11535.89,13287.76
29,0,45,9,1,0,0,1,9316.55,9804.55,13089.43
30,0,49,12,0,0,0,0,14734.53,13259.03,14052.34
31,0,45,11,1,0,1,1,8119.76,9795.69,12767.34
32,1,39,11,0,0,0,1,8562.87,8385.53,14407.0
33,0,22,9,0,0,0,1,4506.41,3958.2,7568.98
34,0,44,15,1,0,1,0,17580.72,17612.24,16922.02
35,0,49,11,0,0,1,1,11595.64,10399.47,14988.59
36,0,27,14,1,0,0,0,12239.56,12903.3,15983.31
37,1,34,9,0,0,1,1,9216.29,10386.08,15503.85
38,0,47,12,1,0,1,0,14917.54,14472.6,18521.65
39,0,45,12,1,0,0,0,9995.98,9313.37,14836.75
40,0,21,13,0,0,0,0,12791.27,12843.21,17824.33
41,0,35,15,0,0,1,0,9896.78,12968.62,20270.45
42,0,46,11,1,0,0,1,10242.91,10442.59,15534.2
43,0,44,10,1,0,1,1,8474.58,11078.02,11674.19
44,0,29,11,1,0,0,1,7426.78,8813.92,15220.19
45,0,28,12,0,0,0,0,8515.79,9557.02,11651.43
46,0,19,14,0,0,1,0,13728.07,16824.32,17470.86
47,0,19,16,0,0,1,0,12737.06,17560.66,17782.65
48,0,39,14,0,0,0,0,12245.71,10659.44,16867.85
49,0,22,11,1,0,0,1,9264.34,10464.75,14726.2
50,0,41,14,1,0,1,0,14445.83,14396.48,12772.2
51,0,34,16,0,0,1,0,13228.19,15489.81,18616.11
52,0,32,16,0,0,1,0,14948.98,10993.74,16561.24
53,0,49,10,0,0,0,1,13331.95,12053.04,17316.19
54,0,21,9,0,0,0,1,7772.07,9649.62,14359.47
55,0,22,10,0,0,0,1,8383.23,11871.38,12336.22
56,0,23,16,0,0,0,0,14220.95,14603.53,18238.53
57,1,29,12,1,0,0,0,10278.54,13361.37,15070.27
58,0,23,11,0,1,0,1,8102.23,9806.93,13011.35
59,0,20,9,1,0,1,1,6733.97,7525.4,10273.54
60,1,42,9,1,0,0,1,9722.71,10321.08,15352.01
61,0,38,16,0,0,1,0,16752.73,15351.16,17902.99
62,0,24,14,0,0,1,0,15130.92,13990.43,12454.51
63,0,30,16,0,0,0,0,14262.04,16436.16,19387.66
64,1,38,9,0,0,0,1,7123.7,9965.19,15673.91
65,0,45,16,0,0,0,0,15066.11,15033.73,18989.55
66,0,55,14,0,0,1,0,10674.12,12577.11,16448.18
67,0,32,15,0,0,0,0,13118.06,12117.67,14552.09
68,0,26,8,1,0,0,1,6920.24,11125.2,9546.48
69,0,37,14,0,0,1,0,16932.42,15780.63,19657.7
70,1,26,15,1,0,1,0,15381.72,14983.26,18946.18
71,0,55,13,0,0,0,0,12736.2,12385.52,18383.09
72,0,42,10,1,0,0,1,6781.82,8686.7,7289.01
73,0,46,15,1,0,1,0,14888.55,14684.81,16097.5
74,0,47,14,0,0,1,0,15540.27,14123.03,20757.6
75,0,23,11,1,0,0,1,5478.8,4962.98,6589.35
76,0,45,13,0,0,1,0,11593.21,14194.45,18449.54
77,0,43,13,0,0,0,0,14059.37,16370.86,20797.92
78,0,31,14,0,0,1,0,10738.43,14530.75,20102.92
79,0,31,16,0,0,0,0,13201.55,13585.89,19323.98
80,0,48,11,0,0,0,1,11162.54,11229.44,14669.59
81,0,39,8,0,0,1,1,6719.89,11585.65,7655.08
82,0,53,14,1,0,0,0,11804.9,13209.21,20817.24
83,0,51,16,0,0,1,0,14150.44,17394.22,21466.26
84,0,50,8,0,0,0,1,4255.07,3074.19,6607.13
85,0,45,12,1,0,0,0,9065.83,11267.0,18636.82
86,1,27,10,0,0,0,1,8839.73,10553.81,12955.29
87,0,42,9,0,0,1,1,6254.03,8120.4,9876.01
88,1,25,9,1,1,1,1,6689.55,7496.06,9305.8
89,0,24,14,0,0,0,0,7568.74,9436.3,11739.73
90,0,19,16,1,0,0,0,10922.81,10886.33,14222.11
91,0,48,15,0,1,0,0,13575.46,13714.47,20022.79
92,0,44,12,0,0,0,0,11197.61,11966.42,15315.58
93,0,43,10,0,0,0,1,11541.13,11206.5,12736.9
94,0,52,11,0,0,1,1,10454.67,9171.01,16232.69
95,0,35,15,1,0,0,0,10005.12,13164.97,18409.21
96,0,21,8,0,0,1,1,8612.69,9962.88,9433.78
97,1,47,8,0,1,0,1,5709.05,6493.65,8767.15
98,1,23,9,1,0,0,1,8326.3,6509.16,9662.76
99,0,27,15,1,0,0,0,16744.32,16251.16,17936.5
100,0,39,11,1,0,0,1,11557.04,11222.94,11055.66
101,0,19,9,0,1,1,1,11312.05,14125.23,12395.55
102,0,46,16,1,0,0,0,14217.68,16896.99,18807.39
103,0,47,12,1,0,1,0,7951.61,9332.81,9913.93
104,0,20,12,1,0,0,0,9689.35,7402.49,9748.69
105,0,54,13,1,0,1,0,14887.16,16099.37,17957.48
106,0,54,11,0,0,1,1,10170.17,10712.68,17811.04
107,1,52,12,1,0,0,0,10341.73,11791.46,16815.83
108,0,39,11,1,0,0,1,8453.15,10979.05,11951.69
109,0,28,11,1,0,1,1,8913.62,12166.92,14942.92
110,1,25,13,0,0,0,0,6049.41,8960.91,14030.26
111,0,24,15,0,0,0,0,14461.64,14066.98,17585.27
112,0,46,11,0,0,1,1,10305.14,13896.4,12343.61
113,0,51,11,1,0,1,1,9390.96,9775.05,16224.31
114,0,34,8,1,0,1,1,11902.17,13220.36,14429.67
115,0,55,16,0,0,1,0,15536.4,17605.08,20810.14
116,0,44,12,0,0,0,0,14691.85,15473.51,18104.99
117,0,46,16,1,0,0,0,13572.53,16847.84,18375.31
118,0,42,9,1,0,1,1,5930.25,2986.96,8941.88
119,0,20,15,0,1,0,0,8879.47,11798.29,12457.81
120,0,53,10,0,0,0,1,12368.81,14033.19,16171.67
121,0,20,11,0,0,1,1,7094.19,10840.8,14232.12
122,0,33,15,1,1,1,0,14260.37,18723.35,20193.61
123,0,21,9,0,0,0,1,8176.99,4628.7,10057.28
124,1,50,10,1,0,1,1,8353.08,7099.84,13982.11
125,0,38,12,0,0,1,0,14587.74,15863.52,17312.16
126,0,29,12,1,0,0,0,8177.9,10919.39,15380.0
127,0,40,12,0,0,0,0,12939.16,9263.7,15466.36
128,0,21,13,0,0,0,0,11164.26,11888.49,15741.8
129,0,32,13,1,1,1,0,15689.45,20070.1,23151.74
130,0,40,8,1,0,0,1,7535.09,6540.8,10884.24
131,0,28,8,0,0,0,1,9229.17,5962.72,6032.65
132,0,44,9,1,0,0,1,9417.37,12528.07,15031.27
133,0,41,9,0,0,0,1,12088.05,10562.11,12564.7
134,0,29,16,0,1,0,0,12851.24,13677.92,17186.36
135,0,37,13,0,0,0,0,13360.2,14844.5,15453.67
136,0,24,11,0,1,0,1,6910.21,8928.83,13468.22
137,0,28,9,1,0,0,1,6628.42,9487.41,11109.04
138,0,37,13,0,0,0,0,16428.94,16338.79,17329.95
139,0,48,12,0,0,1,0,14618.98,15741.03,19848.54
140,0,36,15,0,0,1,0,14591.44,14816.19,17945.42
141,0,43,9,0,0,0,1,7357.36,5926.11,12579.29
142,0,20,8,0,1,0,1,5836.27,5635.4,7596.29
143,0,33,15,0,0,1,0,13600.5,15054.05,21435.16
144,0,47,14,1,1,1,0,10955.2,12048.01,13116.11
145,1,27,9,0,0,0,1,7868.78,7814.83,14837.79
146,0,33,14,0,0,0,0,10118.44,13185.82,18733.62
147,0,43,15,0,0,1,0,18656.88,17102.68,19926.36
148,0,22,15,0,0,0,0,13093.76,14858.2,19123.21
149,0,45,13,1,0,0,0,9060.25,10858.83,13774.15
150,1,21,11,1,0,0,1,2666.64,7886.94,16643.79
151,0,25,14,0,0,1,0,16720.91,13980.89,15345.53
152,0,41,13,0,0,0,0,13721.94,14509.57,19482.46
153,0,26,16,1,0,0,0,11066.29,13550.06,21150.64
154,1,42,9,0,0,1,1,7299.46,9455.26,14482.92
155,1,31,12,1,0,1,0,10663.04,13647.49,18538.75
156,0,39,9,0,0,0,1,6993.71,7355.83,11535.55
157,1,51,9,0,1,0,1,12638.94,12736.8,18113.97
158,0,30,10,1,0,0,1,8671.09,5952.68,13092.9
159,0,36,16,0,0,0,0,10342.4,10934.22,16792.59
