treated_row,matched_control_row,treated_pscore,control_pscore,distance
3,145,0.12897896718009455,0.1296265345700583,0.0006475673899637435
11,67,0.44084055509214726,0.43129135576190175,0.009549199330245506
15,157,0.173108582767735,0.16937695253683016,0.0037316302309048366
19,158,0.06919422246593632,0.06887532480865435,0.0003188976572819635
22,103,0.1358533556361461,0.13554105891793097,0.00031229671821511595
31,88,0.1818323248840101,0.1798660870337331,0.0019662378502769973
36,84,0.20619075468629147,0.20969622816622668,0.0035054734799352116
56,157,0.17406238961596845,0.16937695253683016,0.004685437079138294
59,120,0.21818471065766423,0.2169132599599041,0.0012714506977601348
63,136,0.37302398335219616,0.36519106301397414,0.007832920338222027
69,14,0.03,0.03,0.0
85,2,0.2279941721642818,0.23076328612512742,0.002769113960845615
87,86,0.33308884003398614,0.3345552129812298,0.001466372947243666
96,83,0.5496884819197287,0.51145170273211,0.0382367791876187
97,122,0.2250119894232913,0.22474838872135186,0.000263600701939426
106,148,0.16685860838296868,0.16809143446251523,0.0012328260795465562
109,140,0.29002438039331013,0.2990023723373987,0.008977991944088548
123,6,0.16248478275772246,0.16259943102648525,0.00011464826876278478
144,140,0.2872155971661629,0.2990023723373987,0.011786775171235775
149,141,0.4706136139907217,0.5033227287982888,0.03270911480756705
153,140,0.29459598153659333,0.2990023723373987,0.004406390800805349
154,145,0.12817791366049294,0.1296265345700583,0.0014486209095653513
156,102,0.1904825049575527,0.19113400327992627,0.0006514983223735726
159,0,0.2438505810190811,0.24757971761144254,0.0037291365923614317
