unit_id,treat,age,education,black,hispanic,married,nodegree,earnings_1974,earnings_1975,earnings_1978,propensity_score,att_weight,ate_weight
1,0,49,8,0,0,0,1,10712.01,11203.08,13354.78,0.24757971761144254,0.32904444950035233,1.3290444495003522
2,0,46,14,0,1,1,0,16121.42,16712.88,21134.09,0.03942923402153058,0.04104771394054102,1.041047713940541
3,0,47,8,0,0,1,1,9880.42,10855.57,11419.49,0.23076328612512742,0.2999899536291041,1.299989953629104
4,1,30,11,0,0,1,1,9524.1,10723.31,11699.0,0.12897896718009455,1.0,7.753202106229387
5,0,30,14,0,0,1,0,13972.5,14997.83,17636.19,0.04297517622504743,0.04490497545876948,1.0449049754587694
6,0,26,11,0,0,1,1,12337.47,11299.81,15943.47,0.06679417669511327,0.0715749677370916,1.0715749677370916
7,0,44,12,1,0,0,0,10039.0,10592.75,9056.48,0.16259943102648525,0.1941716271172344,1.1941716271172345
8,0,49,12,0,0,1,0,13354.18,16463.6,18502.54,0.09285305290929301,0.10235723463225026,1.1023572346322503
9,0,45,14,0,0,0,0,14179.52,16359.4,17834.03,0.061376162410066645,0.06538952022320224,1.0653895202232022
10,0,40,10,0,0,1,1,10091.52,10295.14,13875.44,0.14016255807342953,0.1630105311061801,1.1630105311061802
11,0,49,14,0,0,1,0,13955.99,16805.8,24515.04,0.05184466955139791,0.0546795107156847,1.0546795107156848
12,1,33,8,1,0,0,1,6489.58,9714.15,11964.28,0.44084055509214726,1.0,2.2683938409227657
13,0,34,14,1,1,0,0,11695.36,13512.39,22225.72,0.11019950919444343,0.12384743583887813,1.1238474358388781
14,0,24,8,1,0,0,1,11478.28,15523.55,13864.54,0.23269425912306252,0.3032614598414462,1.3032614598414463
15,0,19,15,1,0,1,0,14147.06,14360.69,18139.88,0.03,0.030927835051546393,1.0309278350515465
16,1,50,11,0,0,0,1,9061.73,8905.22,14563.46,0.173108582767735,1.0,5.7767210846023165
17,0,52,10,0,0,0,1,14389.07,11215.95,17274.56,0.07066451715340802,0.07603768333149162,1.0760376833314917
18,0,50,13,0,0,0,0,12101.62,13550.99,17920.42,0.10833231365168397,0.12149404459787236,1.1214940445978723
19,0,27,11,1,0,0,1,5137.38,8140.06,10448.11,0.32255510942018334,0.4761348323759773,1.4761348323759773
20,1,32,14,0,0,0,0,13310.17,15500.17,17582.03,0.06919422246593632,1.0,14.452073661096357
21,0,53,12,0,0,1,0,11587.73,14269.0,15497.36,0.1247697488325104,0.14255648575455107,1.142556485754551
22,0,46,11,1,0,1,1,10303.05,11077.15,17010.38,0.10539871594927357,0.11781641478540193,1.117816414785402
23,1,37,12,0,0,0,0,11138.08,10710.83,16658.31,0.1358533556361461,1.0,7.360878171300268
24,0,41,11,1,0,0,1,8019.03,11077.75,11993.13,0.22116169182465498,0.28396355123156497,1.283963551231565
25,0,46,13,1,0,1,0,12428.32,14047.24,18098.28,0.07198790235044494,0.07757215938539383,1.0775721593853937
26,0,40,15,1,0,1,0,13639.97,12747.28,20726.18,0.03,0.030927835051546393,1.0309278350515465
27,0,45,15,0,0,0,0,14285.62,12483.56,18793.88,0.03639735845243825,0.03777216549965398,1.0377721654996541
28,0,52,12,0,0,1,0,12824.7,11535.89,13287.76,0.07746484039126184,0.08396952634750085,1.0839695263475009
29,0,45,9,1,0,0,1,9316.55,9804.55,13089.43,0.23255467655424472,0.30302442330366514,1.3030244233036652
30,0,49,12,0,0,0,0,14734.53,13259.03,14052.34,0.06958200988752639,0.07478575288415797,1.074785752884158
31,0,45,11,1,0,1,1,8119.76,9795.69,12767.34,0.16144040002540608,0.19252108023126474,1.1925210802312647
32,1,39,11,0,0,0,1,8562.87,8385.53,14407.0,0.1818323248840101,1.0,5.499572205535483
33,0,22,9,0,0,0,1,4506.41,3958.2,7568.98,0.4260158352667334,0.7422083420449502,1.7422083420449501
34,0,44,15,1,0,1,0,17580.72,17612.24,16922.02,0.03,0.030927835051546393,1.0309278350515465
35,0,49,11,0,0,1,1,11595.64,10399.47,14988.59,0.08132322900438564,0.08852213484863858,1.0885221348486385
36,0,27,14,1,0,0,0,12239.56,12903.3,15983.31,0.0683579153575299,0.073373580352763,1.0733735803527629
37,1,34,9,0,0,1,1,9216.29,10386.08,15503.85,0.20619075468629147,1.0,4.849877975961862
38,0,47,12,1,0,1,0,14917.54,14472.6,18521.65,0.04994764990314003,0.0525735764961244,1.0525735764961244
39,0,45,12,1,0,0,0,9995.98,9313.37,14836.75,0.15251546571581423,0.17996253565220982,1.1799625356522099
40,0,21,13,0,0,0,0,12791.27,12843.21,17824.33,0.08010723991308745,0.08708323773036199,1.0870832377303619
41,0,35,15,0,0,1,0,9896.78,12968.62,20270.45,0.08451817378303449,0.09232097389883523,1.0923209738988353
42,0,46,11,1,0,0,1,10242.91,10442.59,15534.2,0.13197979539112809,0.1520469162933804,1.1520469162933804
43,0,44,10,1,0,1,1,8474.58,11078.02,11674.19,0.19623244839789145,0.24414079419696824,1.2441407941969682
44,0,29,11,1,0,0,1,7426.78,8813.92,15220.19,0.21393156833479737,0.2721538732723384,1.2721538732723383
45,0,28,12,0,0,0,0,8515.79,9557.02,11651.43,0.22110114075599166,0.2838637367765441,1.283863736776544
46,0,19,14,0,0,1,0,13728.07,16824.32,17470.86,0.04997495541060164,0.05260382944136052,1.0526038294413604
47,0,19,16,0,0,1,0,12737.06,17560.66,17782.65,0.04241992635132302,0.044299090508107535,1.0442990905081075
48,0,39,14,0,0,0,0,12245.71,10659.44,16867.85,0.06698102715343654,0.07178956602466827,1.0717895660246683
49,0,22,11,1,0,0,1,9264.34,10464.75,14726.2,0.15440308239578793,0.1825965530163598,1.1825965530163598
50,0,41,14,1,0,1,0,14445.83,14396.48,12772.2,0.03440367161805853,0.03562945571231518,1.0356294557123151
51,0,34,16,0,0,1,0,13228.19,15489.81,18616.11,0.03405708191031865,0.03525786179754017,1.03525786179754
52,0,32,16,0,0,1,0,14948.98,10993.74,16561.24,0.03,0.030927835051546393,1.0309278350515465
53,0,49,10,0,0,0,1,13331.95,12053.04,17316.19,0.09589663756029751,0.10606822355081459,1.1060682235508146
54,0,21,9,0,0,0,1,7772.07,9649.62,14359.47,0.31585773929875816,0.46168429790465776,1.4616842979046578
55,0,22,10,0,0,0,1,8383.23,11871.38,12336.22,0.2649315314478847,0.36041748868609164,1.3604174886860916
56,0,23,16,0,0,0,0,14220.95,14603.53,18238.53,0.03145206588254414,0.032473422093665785,1.0324734220936658
57,1,29,12,1,0,0,0,10278.54,13361.37,15070.27,0.17406238961596845,1.0,5.745066479934504
58,0,23,11,0,1,0,1,8102.23,9806.93,13011.35,0.26449643534025113,0.3596127171220574,1.3596127171220573
59,0,20,9,1,0,1,1,6733.97,7525.4,10273.54,0.2627734796843832,0.35643519656873746,1.3564351965687376
60,1,42,9,1,0,0,1,9722.71,10321.08,15352.01,0.21818471065766423,1.0,4.583272572059451
61,0,38,16,0,0,1,0,16752.73,15351.16,17902.99,0.03,0.030927835051546393,1.0309278350515465
62,0,24,14,0,0,1,0,15130.92,13990.43,12454.51,0.03,0.030927835051546393,1.0309278350515465
