worker_id,training,prior_wage,tenure,baseline_perf,high_skill,supervisor_referral,schedule_flex,distance_training,next_wage,propensity_score,att_weight,ate_weight
1,0,26.19,3.16,-1.168,0,0,0,16.12,26.75,0.1593527786728979,0.1895596328996757,1.1895596328996756
2,0,35.2,0.96,-1.017,1,0,0,17.52,36.37,0.14057039692093395,0.16356243305712814,1.1635624330571281
3,0,26.09,0.7,-0.362,1,0,0,13.76,27.13,0.21228678772459897,0.2694975587769868,1.2694975587769868
4,0,22.8,6.6,-0.487,0,0,1,8.98,25.87,0.4372800429613918,0.7770828766454964,1.7770828766454962
5,0,25.14,2.31,-0.146,1,1,1,14.69,29.46,0.4497145611496506,0.8172387081315281,1.8172387081315282
6,1,19.5,5.58,-0.569,0,1,1,11.38,26.19,0.4988868635891869,1.0,2.004462480341955
7,0,24.12,5.72,0.902,0,0,1,9.48,22.05,0.44852761364595534,0.8133274208184942,1.8133274208184942
8,1,20.91,7.31,1.17,1,0,1,16.56,27.46,0.5717496759340362,1.0,1.749017169736659
9,0,25.09,0.68,-0.097,1,0,0,21.24,27.98,0.17919778675849915,0.2183203016117777,1.2183203016117778
10,0,23.83,4.24,-0.958,0,0,1,12.02,27.28,0.32081354999192,0.47234975018730635,1.4723497501873064
11,1,29.03,6.54,-0.267,1,0,1,15.6,37.06,0.43962354915044843,1.0,2.274673415317383
12,1,25.41,8.91,2.354,1,0,1,6.84,30.81,0.7066380489048871,1.0,1.415151648782217
13,0,25.53,7.53,-1.752,1,0,0,16.0,30.4,0.3146310145003873,0.4590680657529768,1.4590680657529769
14,0,20.92,0.95,0.719,0,1,1,11.95,21.21,0.39545059297366186,0.6541245237817815,1.6541245237817814
15,1,27.02,6.37,0.482,1,0,1,15.03,32.09,0.48402562652920256,1.0,2.0660063128696087
16,0,18.02,2.36,0.98,1,1,1,13.25,23.61,0.5635163118807047,1.2910363599353802,2.2910363599353802
17,0,30.05,7.77,1.269,0,0,1,16.46,33.33,0.4113811686462523,0.6988922996230489,1.6988922996230489
18,1,28.56,4.27,0.357,1,1,1,6.13,33.59,0.5789850387578028,1.0,1.7271603462249623
19,1,15.54,1.27,-1.383,0,0,1,1.0,15.31,0.3799513735042863,1.0,2.6319157390510624
20,0,25.52,8.94,-0.196,0,1,1,7.92,25.22,0.5958890874406664,1.4745681666123651,2.4745681666123653
21,0,20.31,6.56,0.191,0,1,1,10.63,21.09,0.5570678882539624,1.2576823253071485,2.2576823253071483
22,1,32.37,6.86,-0.143,0,1,1,11.95,37.86,0.4454284152166417,1.0,2.245029651989384
23,0,18.86,0.65,1.049,1,1,0,16.66,20.75,0.3507606378520994,0.540263973970503,1.5402639739705029
