worker_id,training,prior_wage,tenure,baseline_perf,high_skill,supervisor_referral,schedule_flex,distance_training,next_wage
1,0,26.19,3.16,-1.168,0,0,0,16.12,26.75
2,0,35.2,0.96,-1.017,1,0,0,17.52,36.37
3,0,26.09,0.7,-0.362,1,0,0,13.76,27.13
4,0,22.8,6.6,-0.487,0,0,1,8.98,25.87
5,0,25.14,2.31,-0.146,1,1,1,14.69,29.46
6,1,19.5,5.58,-0.569,0,1,1,11.38,26.19
7,0,24.12,5.72,0.902,0,0,1,9.48,22.05
8,1,20.91,7.31,1.17,1,0,1,16.56,27.46
9,0,25.09,0.68,-0.097,1,0,0,21.24,27.98
10,0,23.83,4.24,-0.958,0,0,1,12.02,27.28
11,1,29.03,6.54,-0.267,1,0,1,15.6,37.06
12,1,25.41,8.91,2.354,1,0,1,6.84,30.81
13,0,25.53,7.53,-1.752,1,0,0,16.0,30.4
14,0,20.92,0.95,0.719,0,1,1,11.95,21.21
15,1,27.02,6.37,0.482,1,0,1,15.03,32.09
16,0,18.02,2.36,0.98,1,1,1,13.25,23.61
17,0,30.05,7.77,1.269,0,0,1,16.46,33.33
18,1,28.56,4.27,0.357,1,1,1,6.13,33.59
19,1,15.54,1.27,-1.383,0,0,1,1.0,15.31
20,0,25.52,8.94,-0.196,0,1,1,7.92,25.22
21,0,20.31,6.56,0.191,0,1,1,10.63,21.09
22,1,32.37,6.86,-0.143,0,1,1,11.95,37.86
23,0,18.86,0.65,1.049,1,1,0,16.66,20.75
24,1,19.94,4.25,0.943,0,0,1,8.4,28.82
25,1,29.99,8.07,0.194,1,1,1,12.29,38.63
26,1,31.4,8.71,1.236,1,1,1,11.51,41.33
27,0,24.19,0.25,0.759,1,0,1,12.29,28.92
28,1,22.69,6.2,0.24,0,0,1,18.74,26.2
29,1,28.6,4.74,-0.161,1,1,0,9.05,33.73
30,1,19.68,4.31,-0.498,1,1,1,14.33,23.99
31,0,26.7,5.83,0.316,1,0,1,14.68,33.02
32,1,31.21,4.43,-2.017,0,0,1,9.72,34.36
33,1,30.17,8.74,-0.722,0,0,1,13.5,34.15
34,0,34.4,5.08,-0.361,0,0,1,5.81,34.53
35,1,29.36,5.88,1.98,1,1,0,8.15,34.86
36,0,33.99,8.05,-0.644,1,1,1,8.06,35.34
37,1,22.72,1.22,-0.313,0,1,0,11.28,23.21
38,0,20.2,2.37,1.318,1,0,1,17.46,22.0
39,0,23.74,1.14,-1.017,1,1,0,20.73,25.26
40,0,28.8,5.31,-1.733,0,0,1,6.47,27.91
41,0,28.97,4.32,-1.192,0,0,1,16.58,29.37
42,1,26.7,8.72,0.008,1,1,1,9.1,35.67
43,0,25.37,0.74,0.118,1,1,1,12.94,22.22
44,1,24.29,5.13,1.146,0,1,1,16.38,28.72
45,0,23.52,7.84,-0.459,0,1,1,10.94,28.18
46,1,16.0,3.64,-0.872,1,1,0,7.52,22.05
47,1,31.63,8.85,1.418,0,1,1,1.0,37.63
48,0,21.73,1.05,1.16,1,0,0,13.96,24.68
49,1,26.48,3.63,1.668,0,0,1,12.64,29.48
50,0,24.01,3.95,-0.495,0,1,1,8.95,23.15
51,1,18.8,0.87,-0.494,0,1,0,16.38,18.14
52,0,19.99,1.31,1.183,1,0,0,20.14,22.51
53,0,31.52,5.33,0.171,0,0,1,16.29,32.49
54,0,26.26,6.28,0.138,1,0,0,11.62,32.17
55,1,19.62,0.96,0.281,1,0,1,6.7,21.64
56,0,29.38,5.72,0.493,1,1,1,8.12,34.97
57,0,27.94,3.38,1.874,0,1,0,12.59,33.22
58,0,30.23,5.75,-0.844,0,0,0,14.96,30.5
59,1,24.78,4.21,1.173,1,0,1,8.54,28.53
60,0,17.96,5.01,-0.625,0,0,0,20.95,17.64
61,0,23.69,6.25,0.423,0,1,1,12.93,22.93
62,0,24.16,7.45,-0.587,1,0,0,14.12,29.47
63,1,23.45,9.02,-0.022,1,0,0,13.28,25.21
64,0,36.51,8.24,-0.164,0,1,1,18.26,40.14
65,1,30.97,8.53,-0.78,0,1,1,16.15,33.12
66,0,21.5,2.17,0.553,0,1,0,10.01,22.3
67,1,25.02,1.59,0.121,0,1,1,13.81,26.72
68,0,32.44,2.43,-1.49,0,0,1,5.97,31.08
69,0,26.37,4.43,0.602,0,1,1,12.58,32.11
70,0,28.23,6.53,0.326,1,1,1,14.5,30.56
71,1,25.66,5.72,-0.644,1,0,1,3.58,29.78
72,1,26.32,3.93,0.663,1,1,1,7.41,34.34
73,0,25.23,2.76,1.801,0,0,0,15.07,26.34
74,0,19.17,1.21,0.29,0,1,0,9.51,23.17
75,0,29.97,9.18,-0.7,1,1,1,11.01,33.48
76,0,23.91,4.16,1.483,1,0,0,11.63,27.8
77,0,23.28,0.45,-0.298,0,0,1,21.26,24.15
78,0,17.88,0.3,-0.479,0,0,1,7.79,18.86
79,0,23.45,6.47,1.634,1,1,0,20.03,30.06
80,0,28.36,7.88,-1.043,0,0,1,4.58,27.98
81,0,26.65,4.12,-1.576,0,0,1,8.5,25.91
82,1,31.23,8.31,-1.537,1,1,1,11.71,38.06
83,1,31.99,9.45,0.948,0,0,1,8.94,37.6
84,0,35.85,8.57,-0.113,1,1,1,7.43,38.95
85,0,27.19,3.25,-0.266,1,0,1,13.6,28.97
86,0,36.64,4.77,1.279,0,1,0,11.6,38.64
87,0,28.6,4.7,-0.317,0,0,1,14.32,28.74
88,0,23.57,6.4,-0.128,1,0,0,21.84,31.78
89,1,28.15,6.03,1.211,1,1,1,1.0,33.87
90,0,15.8,1.98,-0.308,0,1,1,13.05,18.05
91,0,18.85,4.29,-0.753,0,0,1,3.32,21.0
92,1,28.2,6.82,-0.759,1,0,0,8.76,30.41
93,1,28.03,9.22,-0.004,0,1,1,20.59,31.12
94,1,20.73,0.43,0.863,0,1,0,24.7,21.6
95,0,18.78,2.93,0.249,0,1,0,25.69,21.16
96,0,30.69,8.97,0.143,0,1,1,10.05,35.1
97,1,26.04,5.46,0.165,0,1,1,7.04,31.4
98,1,23.11,0.87,1.614,1,0,0,14.29,28.3
99,1,26.58,9.31,-0.372,1,0,1,14.14,35.79
