worker_id,department_id,department_size,assigned_encouragement,peer_assignment_share,attended_seminar,enrolled_after,outcome_observed,baseline_enrolled,salary,tenure,age
1,1,21,0,0.35,0,0.0,1,1,57326.75,3.79,43
2,1,21,0,0.35,0,1.0,1,0,60642.34,11.35,34
3,1,21,0,0.35,0,0.0,1,0,67609.45,1.78,59
4,1,21,1,0.3,1,1.0,1,1,57526.75,3.77,42
5,1,21,0,0.35,0,1.0,1,1,62753.87,5.79,26
6,1,21,0,0.35,1,1.0,1,1,76158.93,12.2,46
7,1,21,1,0.3,0,1.0,1,1,71913.24,3.08,33
8,1,21,1,0.3,1,0.0,1,1,68749.37,6.89,26
9,1,21,0,0.35,0,0.0,1,1,60140.51,5.86,36
10,1,21,0,0.35,0,1.0,1,1,55089.93,4.8,27
11,1,21,0,0.35,1,0.0,1,0,61250.19,3.19,31
12,1,21,0,0.35,1,,0,1,65949.15,2.31,49
13,1,21,1,0.3,1,1.0,1,0,66242.85,0.97,45
14,1,21,0,0.35,0,0.0,1,0,65708.46,7.45,42
15,1,21,1,0.3,0,0.0,1,1,56953.7,5.88,27
16,1,21,1,0.3,1,1.0,1,0,70511.26,1.61,43
17,1,21,0,0.35,1,1.0,1,1,77669.84,3.55,60
18,1,21,0,0.35,1,0.0,1,1,71128.33,4.69,30
19,1,21,1,0.3,1,,0,0,52097.53,6.52,26
20,1,21,0,0.35,1,1.0,1,1,74267.32,3.15,63
21,1,21,0,0.35,1,1.0,1,1,67298.34,1.65,59
22,2,19,0,0.7222,1,0.0,1,1,70088.83,7.28,60
23,2,19,1,0.6667,1,1.0,1,0,51386.56,1.74,50
24,2,19,0,0.7222,1,0.0,1,1,60023.71,3.94,29
25,2,19,1,0.6667,1,1.0,1,1,58883.2,13.12,50
26,2,19,1,0.6667,1,,0,1,56170.78,4.9,38
27,2,19,1,0.6667,0,,0,1,58573.25,2.49,59
28,2,19,0,0.7222,1,,0,0,81670.04,6.64,33
29,2,19,1,0.6667,0,1.0,1,0,70014.98,2.31,36
30,2,19,1,0.6667,1,1.0,1,1,57137.25,8.58,26
31,2,19,1,0.6667,1,1.0,1,0,59349.82,3.84,30
32,2,19,1,0.6667,1,1.0,1,1,65709.84,8.28,35
33,2,19,1,0.6667,1,1.0,1,1,62481.72,4.24,57
34,2,19,0,0.7222,0,0.0,1,1,52177.05,5.54,59
35,2,19,1,0.6667,1,1.0,1,0,58529.71,1.14,27
36,2,19,1,0.6667,1,1.0,1,0,59072.58,5.26,49
37,2,19,1,0.6667,0,0.0,1,0,71681.42,1.73,50
38,2,19,0,0.7222,0,0.0,1,0,57799.7,8.52,32
39,2,19,1,0.6667,1,0.0,1,1,65320.26,3.52,54
40,2,19,0,0.7222,1,0.0,1,1,73887.87,14.28,31
41,3,18,0,0.3529,1,,0,1,79759.55,3.02,49
42,3,18,0,0.3529,1,1.0,1,1,74080.26,9.71,58
43,3,18,1,0.2941,1,0.0,1,0,64195.67,6.73,50
44,3,18,0,0.3529,0,1.0,1,1,66842.7,8.77,47
45,3,18,0,0.3529,1,1.0,1,0,60113.79,2.21,49
46,3,18,1,0.2941,0,1.0,1,1,65087.49,4.22,36
47,3,18,1,0.2941,1,1.0,1,0,78564.28,12.65,59
48,3,18,1,0.2941,1,0.0,1,1,61615.95,2.76,58
49,3,18,0,0.3529,0,0.0,1,0,65070.94,18.33,30
50,3,18,1,0.2941,1,1.0,1,1,71779.03,2.64,30
51,3,18,0,0.3529,0,1.0,1,1,67671.94,2.89,59
52,3,18,0,0.3529,0,1.0,1,1,73524.8,2.97,38
53,3,18,0,0.3529,0,1.0,1,1,48839.04,2.76,41
54,3,18,0,0.3529,1,1.0,1,0,45392.33,8.2,36
55,3,18,0,0.3529,0,0.0,1,0,66403.94,4.26,31
56,3,18,0,0.3529,0,0.0,1,0,71005.18,2.22,30
57,3,18,1,0.2941,0,1.0,1,1,69741.72,3.07,54
58,3,18,0,0.3529,0,1.0,1,0,54161.14,10.28,56
59,4,19,0,0.7222,0,1.0,1,1,74822.96,9.7,38
60,4,19,0,0.7222,0,1.0,1,1,73360.15,2.66,50
61,4,19,1,0.6667,1,1.0,1,1,73218.78,2.84,48
62,4,19,0,0.7222,1,0.0,1,1,77009.54,6.42,60
63,4,19,1,0.6667,1,1.0,1,1,70217.09,7.82,54
64,4,19,0,0.7222,0,0.0,1,1,68178.08,3.62,52
65,4,19,1,0.6667,1,1.0,1,1,57519.12,3.39,35
