market_id,market_size,market_saturation,assignment_rate,takeup_rate,employment_rate,untreated_employment_rate
1,27,0.85,0.8888888888888888,0.5925925925925926,0.6296296296296297,0.3333333333333333
2,30,0.45,0.5,0.4666666666666667,0.4666666666666667,0.4
3,20,0.2,0.05,0.3,0.25,0.2631578947368421
4,31,0.45,0.45161290322580644,0.45161290322580644,0.41935483870967744,0.35294117647058826
5,27,0.45,0.5555555555555556,0.3333333333333333,0.48148148148148145,0.5
6,25,0.85,0.92,0.56,0.64,1.0
7,21,0.45,0.6190476190476191,0.6190476190476191,0.38095238095238093,0.125
8,25,0.7,0.64,0.48,0.32,0.4444444444444444
9,26,0.2,0.19230769230769232,0.3076923076923077,0.5384615384615384,0.47619047619047616
10,26,0.85,0.8076923076923077,0.5384615384615384,0.5769230769230769,0.2
11,29,0.85,0.7931034482758621,0.41379310344827586,0.6551724137931034,0.3333333333333333
12,24,0.7,0.6666666666666666,0.4583333333333333,0.4583333333333333,0.5
13,19,0.7,0.6842105263157895,0.5789473684210527,0.5263157894736842,0.5
14,22,0.2,0.09090909090909091,0.09090909090909091,0.4090909090909091,0.45
15,28,0.2,0.2857142857142857,0.39285714285714285,0.5,0.5
16,27,0.7,0.6296296296296297,0.6296296296296297,0.48148148148148145,0.3
