worker_id,market_id,market_size,market_saturation,assigned_assistance,took_assistance,untreated_exposure_share,employed_after,education,prior_employed,baseline_skill
1,1,27,0.85,1,1,0.8846,0,13,0,0.412
2,1,27,0.85,1,1,0.8846,1,15,0,1.409
3,1,27,0.85,1,0,0.8846,1,15,1,0.914
4,1,27,0.85,1,0,0.8846,0,10,0,-2.192
5,1,27,0.85,0,1,0.9231,0,12,1,-1.893
6,1,27,0.85,1,1,0.8846,1,14,1,0.629
7,1,27,0.85,1,1,0.8846,1,12,0,0.607
8,1,27,0.85,1,1,0.8846,1,16,1,0.128
9,1,27,0.85,1,0,0.8846,1,16,1,0.679
10,1,27,0.85,0,1,0.9231,1,12,1,0.713
11,1,27,0.85,1,0,0.8846,1,11,1,0.832
12,1,27,0.85,1,0,0.8846,0,12,0,-0.464
13,1,27,0.85,1,1,0.8846,1,11,0,0.219
14,1,27,0.85,1,0,0.8846,0,18,1,0.291
15,1,27,0.85,1,1,0.8846,1,11,0,-0.4
16,1,27,0.85,1,1,0.8846,1,17,0,-0.827
17,1,27,0.85,1,0,0.8846,1,18,0,-0.183
18,1,27,0.85,1,1,0.8846,0,15,1,-0.202
19,1,27,0.85,1,1,0.8846,0,10,1,-0.328
20,1,27,0.85,1,1,0.8846,1,18,1,1.422
21,1,27,0.85,1,0,0.8846,1,18,1,0.196
22,1,27,0.85,1,1,0.8846,1,11,0,0.775
23,1,27,0.85,1,0,0.8846,0,15,1,-0.993
24,1,27,0.85,1,1,0.8846,1,11,1,1.375
25,1,27,0.85,1,1,0.8846,0,14,0,-0.848
26,1,27,0.85,0,0,0.9231,0,17,1,1.511
27,1,27,0.85,1,0,0.8846,1,15,0,0.358
28,2,30,0.45,1,1,0.4828,0,15,1,1.138
29,2,30,0.45,0,0,0.5172,0,14,1,0.412
30,2,30,0.45,1,1,0.4828,0,12,0,-0.412
31,2,30,0.45,1,1,0.4828,1,13,0,0.817
32,2,30,0.45,1,1,0.4828,0,14,0,-0.759
33,2,30,0.45,0,0,0.5172,0,10,0,-1.396
34,2,30,0.45,1,1,0.4828,1,18,0,0.196
35,2,30,0.45,0,0,0.5172,0,15,0,-0.689
36,2,30,0.45,0,0,0.5172,0,15,1,-1.263
37,2,30,0.45,0,1,0.5172,1,14,1,-0.631
38,2,30,0.45,0,0,0.5172,1,10,1,0.125
39,2,30,0.45,0,0,0.5172,1,18,0,0.398
40,2,30,0.45,1,0,0.4828,0,13,0,0.015
41,2,30,0.45,0,0,0.5172,0,14,0,0.543
42,2,30,0.45,0,1,0.5172,0,17,1,0.959
43,2,30,0.45,1,1,0.4828,0,10,0,0.691
44,2,30,0.45,0,0,0.5172,1,16,1,0.616
45,2,30,0.45,0,0,0.5172,0,15,1,1.068
46,2,30,0.45,0,1,0.5172,0,11,0,-0.053
47,2,30,0.45,0,0,0.5172,1,16,0,0.378
48,2,30,0.45,0,0,0.5172,0,11,0,-0.018
49,2,30,0.45,1,1,0.4828,1,13,0,-0.059
50,2,30,0.45,1,1,0.4828,1,14,0,0.579
51,2,30,0.45,1,1,0.4828,0,17,0,-0.492
52,2,30,0.45,1,0,0.4828,1,15,0,1.482
53,2,30,0.45,1,0,0.4828,1,13,0,-0.282
54,2,30,0.45,1,1,0.4828,1,14,1,0.29
55,2,30,0.45,1,1,0.4828,0,10,0,-0.327
56,2,30,0.45,0,0,0.5172,1,15,0,0.171
57,2,30,0.45,1,0,0.4828,1,11,1,0.187
58,3,20,0.2,0,0,0.0526,0,16,0,0.48
59,3,20,0.2,0,0,0.0526,0,17,1,0.159
60,3,20,0.2,0,0,0.0526,0,17,1,0.707
61,3,20,0.2,0,1,0.0526,0,13,0,0.558
62,3,20,0.2,0,1,0.0526,0,15,0,0.631
63,3,20,0.2,0,0,0.0526,1,14,0,1.554
64,3,20,0.2,0,0,0.0526,0,12,0,-0.163
65,3,20,0.2,0,1,0.0526,0,13,0,0.789
66,3,20,0.2,0,1,0.0526,1,13,1,1.363
67,3,20,0.2,0,0,0.0526,0,17,0,0.304
68,3,20,0.2,0,0,0.0526,1,14,0,0.76
69,3,20,0.2,0,0,0.0526,0,17,1,-0.037
70,3,20,0.2,0,0,0.0526,1,18,0,-0.002
71,3,20,0.2,0,0,0.0526,0,12,0,-0.542
72,3,20,0.2,0,0,0.0526,0,13,0,1.654
73,3,20,0.2,0,0,0.0526,0,18,0,2.097
74,3,20,0.2,0,1,0.0526,1,10,0,0.613
75,3,20,0.2,0,1,0.0526,0,14,0,-0.225
76,3,20,0.2,1,0,0.0,0,14,1,0.105
77,3,20,0.2,0,0,0.0526,0,17,1,1.128
78,4,31,0.45,1,0,0.4333,1,16,0,0.865
79,4,31,0.45,1,1,0.4333,1,15,1,0.359
80,4,31,0.45,1,1,0.4333,0,18,1,0.167
81,4,31,0.45,0,1,0.4667,0,14,0,1.374
82,4,31,0.45,0,0,0.4667,0,11,0,-1.239
83,4,31,0.45,1,0,0.4333,1,16,1,-0.852
84,4,31,0.45,1,1,0.4333,0,13,1,-0.91
85,4,31,0.45,0,0,0.4667,0,12,0,-1.325
86,4,31,0.45,0,0,0.4667,0,13,0,-1.041
87,4,31,0.45,1,1,0.4333,0,15,1,0.816
88,4,31,0.45,0,0,0.4667,0,12,0,-0.423
89,4,31,0.45,1,1,0.4333,1,14,1,0.844
90,4,31,0.45,1,1,0.4333,1,15,1,0.61
91,4,31,0.45,0,1,0.4667,1,17,1,1.388
92,4,31,0.45,0,1,0.4667,1,18,1,0.731
93,4,31,0.45,1,1,0.4333,0,10,1,0.278
94,4,31,0.45,0,0,0.4667,0,17,1,1.786
95,4,31,0.45,0,1,0.4667,1,11,0,-0.882
96,4,31,0.45,0,0,0.4667,0,11,0,-2.029
97,4,31,0.45,0,0,0.4667,0,11,0,-0.744
98,4,31,0.45,0,0,0.4667,1,13,0,0.183
99,4,31,0.45,0,1,0.4667,1,18,1,1.398
100,4,31,0.45,1,1,0.4333,1,15,1,0.576
101,4,31,0.45,1,1,0.4333,0,17,0,1.174
102,4,31,0.45,1,0,0.4333,0,11,1,-0.684
103,4,31,0.45,0,0,0.4667,0,11,1,1.289
104,4,31,0.45,1,0,0.4333,0,15,0,-0.497
105,4,31,0.45,0,0,0.4667,1,17,1,0.361
106,4,31,0.45,0,0,0.4667,0,16,0,2.965
107,4,31,0.45,1,0,0.4333,1,18,1,-0.14
108,4,31,0.45,0,0,0.4667,0,16,1,1.64
109,5,27,0.45,0,0,0.5769,1,16,1,1.201
110,5,27,0.45,1,1,0.5385,0,16,0,-0.458
111,5,27,0.45,1,0,0.5385,0,10,0,-0.062
112,5,27,0.45,1,0,0.5385,0,10,0,-1.036
113,5,27,0.45,0,0,0.5769,1,12,0,0.402
114,5,27,0.45,1,1,0.5385,1,17,1,0.664
115,5,27,0.45,0,0,0.5769,0,12,0,0.916
116,5,27,0.45,1,0,0.5385,0,10,0,0.148
117,5,27,0.45,0,1,0.5769,1,17,1,0.091
118,5,27,0.45,0,1,0.5769,1,18,1,1.814
119,5,27,0.45,0,0,0.5769,0,10,0,-0.604
120,5,27,0.45,1,1,0.5385,0,10,0,-0.524
121,5,27,0.45,0,0,0.5769,0,11,0,-0.212
122,5,27,0.45,1,0,0.5385,1,18,1,0.911
123,5,27,0.45,0,0,0.5769,0,18,1,-0.241
