restaurant_id,state,period,post,treated_state,treated_post,chain,highway,starting_wage,fte_employment
1,NJ,pre,0,1,0,Pizza Port,0,4.26,19.224
1,NJ,post,1,1,1,Pizza Port,0,4.96,19.033
2,NJ,pre,0,1,0,Pizza Port,0,4.32,22.868
2,NJ,post,1,1,1,Pizza Port,0,5.02,24.551
3,NJ,pre,0,1,0,Burger Barn,0,4.53,21.096
3,NJ,post,1,1,1,Burger Barn,0,5.23,22.01
4,NJ,pre,0,1,0,Pizza Port,0,4.55,22.112
4,NJ,post,1,1,1,Pizza Port,0,5.25,20.861
5,NJ,pre,0,1,0,Taco Tower,0,4.56,20.16
5,NJ,post,1,1,1,Taco Tower,0,5.26,22.105
6,NJ,pre,0,1,0,Taco Tower,1,4.25,26.001
6,NJ,post,1,1,1,Taco Tower,1,4.95,25.469
7,NJ,pre,0,1,0,Chicken House,0,4.33,23.257
7,NJ,post,1,1,1,Chicken House,0,5.03,23.977
8,NJ,pre,0,1,0,Burger Barn,0,4.42,19.751
8,NJ,post,1,1,1,Burger Barn,0,5.12,23.809
9,NJ,pre,0,1,0,Chicken House,0,4.14,24.568
9,NJ,post,1,1,1,Chicken House,0,4.84,24.567
10,NJ,pre,0,1,0,Pizza Port,1,4.49,27.947
10,NJ,post,1,1,1,Pizza Port,1,5.19,27.413
11,NJ,pre,0,1,0,Pizza Port,0,4.33,23.655
11,NJ,post,1,1,1,Pizza Port,0,5.03,23.18
12,NJ,pre,0,1,0,Chicken House,0,4.5,20.299
12,NJ,post,1,1,1,Chicken House,0,5.2,20.456
13,NJ,pre,0,1,0,Chicken House,0,4.48,20.945
13,NJ,post,1,1,1,Chicken House,0,5.18,24.131
14,NJ,pre,0,1,0,Taco Tower,1,4.49,23.133
14,NJ,post,1,1,1,Taco Tower,1,5.19,25.385
15,NJ,pre,0,1,0,Chicken House,1,4.51,17.487
15,NJ,post,1,1,1,Chicken House,1,5.21,20.964
16,NJ,pre,0,1,0,Pizza Port,1,4.54,20.569
16,NJ,post,1,1,1,Pizza Port,1,5.24,21.954
17,NJ,pre,0,1,0,Pizza Port,0,4.34,21.599
17,NJ,post,1,1,1,Pizza Port,0,5.04,25.235
18,NJ,pre,0,1,0,Taco Tower,1,4.32,21.051
18,NJ,post,1,1,1,Taco Tower,1,5.02,23.102
19,NJ,pre,0,1,0,Burger Barn,0,4.66,27.978
19,NJ,post,1,1,1,Burger Barn,0,5.36,27.747
20,NJ,pre,0,1,0,Taco Tower,1,4.26,19.139
20,NJ,post,1,1,1,Taco Tower,1,4.96,19.346
21,NJ,pre,0,1,0,Pizza Port,0,4.27,23.882
21,NJ,post,1,1,1,Pizza Port,0,4.97,22.846
22,NJ,pre,0,1,0,Chicken House,1,4.54,20.683
22,NJ,post,1,1,1,Chicken House,1,5.24,23.231
23,NJ,pre,0,1,0,Pizza Port,0,4.39,24.013
23,NJ,post,1,1,1,Pizza Port,0,5.09,26.967
24,NJ,pre,0,1,0,Taco Tower,0,4.52,20.971
24,NJ,post,1,1,1,Taco Tower,0,5.22,22.868
25,NJ,pre,0,1,0,Taco Tower,0,4.5,23.906
25,NJ,post,1,1,1,Taco Tower,0,5.2,22.587
26,NJ,pre,0,1,0,Chicken House,0,4.42,19.259
26,NJ,post,1,1,1,Chicken House,0,5.12,24.698
27,NJ,pre,0,1,0,Chicken House,1,4.59,27.017
27,NJ,post,1,1,1,Chicken House,1,5.29,27.053
28,NJ,pre,0,1,0,Chicken House,0,4.36,22.071
28,NJ,post,1,1,1,Chicken House,0,5.06,25.736
29,NJ,pre,0,1,0,Taco Tower,0,4.43,20.228
29,NJ,post,1,1,1,Taco Tower,0,5.13,21.113
30,NJ,pre,0,1,0,Chicken House,0,4.46,25.425
30,NJ,post,1,1,1,Chicken House,0,5.16,25.397
31,NJ,pre,0,1,0,Chicken House,0,4.71,19.602
31,NJ,post,1,1,1,Chicken House,0,5.41,21.567
32,NJ,pre,0,1,0,Taco Tower,0,4.42,18.656
32,NJ,post,1,1,1,Taco Tower,0,5.12,22.153
33,NJ,pre,0,1,0,Chicken House,0,4.53,22.501
33,NJ,post,1,1,1,Chicken House,0,5.23,24.289
34,NJ,pre,0,1,0,Burger Barn,0,4.45,19.919
34,NJ,post,1,1,1,Burger Barn,0,5.15,21.035
35,NJ,pre,0,1,0,Chicken House,1,4.69,23.69
35,NJ,post,1,1,1,Chicken House,1,5.39,22.857
36,NJ,pre,0,1,0,Chicken House,0,4.35,16.888
36,NJ,post,1,1,1,Chicken House,0,5.05,24.429
37,NJ,pre,0,1,0,Burger Barn,0,4.11,29.778
37,NJ,post,1,1,1,Burger Barn,0,4.81,27.243
38,NJ,pre,0,1,0,Chicken House,0,4.58,17.868
38,NJ,post,1,1,1,Chicken House,0,5.28,18.614
39,NJ,pre,0,1,0,Burger Barn,0,4.43,21.967
39,NJ,post,1,1,1,Burger Barn,0,5.13,24.441
40,NJ,pre,0,1,0,Chicken House,0,4.49,20.984
40,NJ,post,1,1,1,Chicken House,0,5.19,21.676
41,NJ,pre,0,1,0,Burger Barn,0,4.56,25.392
41,NJ,post,1,1,1,Burger Barn,0,5.26,28.47
42,NJ,pre,0,1,0,Burger Barn,1,4.55,28.455
42,NJ,post,1,1,1,Burger Barn,1,5.25,30.556
43,NJ,pre,0,1,0,Taco Tower,0,4.31,20.865
43,NJ,post,1,1,1,Taco Tower,0,5.01,24.249
44,NJ,pre,0,1,0,Pizza Port,0,4.39,23.061
44,NJ,post,1,1,1,Pizza Port,0,5.09,22.976
45,NJ,pre,0,1,0,Burger Barn,0,4.53,23.471
45,NJ,post,1,1,1,Burger Barn,0,5.23,24.171
46,NJ,pre,0,1,0,Pizza Port,1,4.34,20.907
46,NJ,post,1,1,1,Pizza Port,1,5.04,23.137
47,NJ,pre,0,1,0,Taco Tower,0,4.38,22.556
47,NJ,post,1,1,1,Taco Tower,0,5.08,21.008
48,NJ,pre,0,1,0,Chicken House,0,4.42,22.8
48,NJ,post,1,1,1,Chicken House,0,5.12,22.252
49,NJ,pre,0,1,0,Burger Barn,1,4.3,25.731
49,NJ,post,1,1,1,Burger Barn,1,5.0,28.538
50,NJ,pre,0,1,0,Pizza Port,0,4.42,17.301
50,NJ,post,1,1,1,Pizza Port,0,5.12,19.06
51,NJ,pre,0,1,0,Taco Tower,1,4.53,21.162
51,NJ,post,1,1,1,Taco Tower,1,5.23,19.625
52,NJ,pre,0,1,0,Pizza Port,1,4.37,24.308
52,NJ,post,1,1,1,Pizza Port,1,5.07,25.797
53,NJ,pre,0,1,0,Chicken House,0,4.15,19.498
53,NJ,post,1,1,1,Chicken House,0,4.85,21.79
54,NJ,pre,0,1,0,Pizza Port,0,4.23,22.44
54,NJ,post,1,1,1,Pizza Port,0,4.93,24.697
55,NJ,pre,0,1,0,Taco Tower,0,4.35,20.77
55,NJ,post,1,1,1,Taco Tower,0,5.05,19.849
56,NJ,pre,0,1,0,Chicken House,0,4.45,22.812
56,NJ,post,1,1,1,Chicken House,0,5.15,25.001
57,NJ,pre,0,1,0,Chicken House,0,4.25,21.492
57,NJ,post,1,1,1,Chicken House,0,4.95,24.844
58,NJ,pre,0,1,0,Taco Tower,1,4.45,22.805
58,NJ,post,1,1,1,Taco Tower,1,5.15,25.836
59,NJ,pre,0,1,0,Burger Barn,1,4.27,23.491
59,NJ,post,1,1,1,Burger Barn,1,4.97,24.67
60,NJ,pre,0,1,0,Burger Barn,1,4.33,17.839
60,NJ,post,1,1,1,Burger Barn,1,5.03,20.393
61,NJ,pre,0,1,0,Taco Tower,0,4.39,24.064
61,NJ,post,1,1,1,Taco Tower,0,5.09,26.753
62,NJ,pre,0,1,0,Taco Tower,1,4.23,29.584
62,NJ,post,1,1,1,Taco Tower,1,4.93,29.655
63,NJ,pre,0,1,0,Chicken House,1,4.23,22.271
63,NJ,post,1,1,1,Chicken House,1,4.93,20.95
64,NJ,pre,0,1,0,Burger Barn,0,4.22,26.744
64,NJ,post,1,1,1,Burger Barn,0,4.92,28.515
65,NJ,pre,0,1,0,Chicken House,0,4.45,25.92
65,NJ,post,1,1,1,Chicken House,0,5.15,26.252
66,NJ,pre,0,1,0,Taco Tower,0,4.5,19.53
66,NJ,post,1,1,1,Taco Tower,0,5.2,22.201
67,NJ,pre,0,1,0,Pizza Port,1,4.38,25.251
67,NJ,post,1,1,1,Pizza Port,1,5.08,25.481
68,NJ,pre,0,1,0,Pizza Port,1,4.35,20.19
