county_id,region,year,adoption_year,ever_treated,treated,event_time,employment_index
1,North,2010,2015,1,0,-5,56.131
1,North,2011,2015,1,0,-4,57.125
1,North,2012,2015,1,0,-3,55.855
1,North,2013,2015,1,0,-2,57.359
1,North,2014,2015,1,0,-1,57.544
1,North,2015,2015,1,1,0,58.262
1,North,2016,2015,1,1,1,58.778
1,North,2017,2015,1,1,2,58.708
1,North,2018,2015,1,1,3,60.168
1,North,2019,2015,1,1,4,60.543
2,South,2010,2017,1,0,-7,57.612
2,South,2011,2017,1,0,-6,58.387
2,South,2012,2017,1,0,-5,59.635
2,South,2013,2017,1,0,-4,59.067
2,South,2014,2017,1,0,-3,59.485
2,South,2015,2017,1,0,-2,60.868
2,South,2016,2017,1,0,-1,59.42
2,South,2017,2017,1,1,0,61.414
2,South,2018,2017,1,1,1,63.263
2,South,2019,2017,1,1,2,63.153
3,Central,2010,2013,1,0,-3,56.925
3,Central,2011,2013,1,0,-2,57.102
3,Central,2012,2013,1,0,-1,57.303
3,Central,2013,2013,1,1,0,60.336
3,Central,2014,2013,1,1,1,60.969
3,Central,2015,2013,1,1,2,61.874
3,Central,2016,2013,1,1,3,61.682
3,Central,2017,2013,1,1,4,62.283
3,Central,2018,2013,1,1,5,62.843
3,Central,2019,2013,1,1,6,63.176
4,North,2010,2015,1,0,-5,58.356
4,North,2011,2015,1,0,-4,58.105
4,North,2012,2015,1,0,-3,58.27
4,North,2013,2015,1,0,-2,59.229
4,North,2014,2015,1,0,-1,58.971
4,North,2015,2015,1,1,0,61.475
4,North,2016,2015,1,1,1,61.306
4,North,2017,2015,1,1,2,61.261
4,North,2018,2015,1,1,3,64.481
4,North,2019,2015,1,1,4,64.357
5,Coastal,2010,2013,1,0,-3,53.854
5,Coastal,2011,2013,1,0,-2,53.991
5,Coastal,2012,2013,1,0,-1,55.246
5,Coastal,2013,2013,1,1,0,57.438
5,Coastal,2014,2013,1,1,1,58.386
5,Coastal,2015,2013,1,1,2,58.024
5,Coastal,2016,2013,1,1,3,59.627
5,Coastal,2017,2013,1,1,4,59.773
5,Coastal,2018,2013,1,1,5,60.516
5,Coastal,2019,2013,1,1,6,62.233
6,North,2010,2015,1,0,-5,61.93
6,North,2011,2015,1,0,-4,61.162
6,North,2012,2015,1,0,-3,62.671
6,North,2013,2015,1,0,-2,60.792
6,North,2014,2015,1,0,-1,62.184
6,North,2015,2015,1,1,0,64.619
6,North,2016,2015,1,1,1,63.785
6,North,2017,2015,1,1,2,64.668
6,North,2018,2015,1,1,3,66.829
6,North,2019,2015,1,1,4,66.198
7,Central,2010,2017,1,0,-7,56.163
7,Central,2011,2017,1,0,-6,56.006
7,Central,2012,2017,1,0,-5,57.876
7,Central,2013,2017,1,0,-4,59.138
7,Central,2014,2017,1,0,-3,58.898
7,Central,2015,2017,1,0,-2,58.873
7,Central,2016,2017,1,0,-1,60.406
7,Central,2017,2017,1,1,0,62.436
7,Central,2018,2017,1,1,1,62.474
7,Central,2019,2017,1,1,2,61.311
8,North,2010,2015,1,0,-5,58.539
8,North,2011,2015,1,0,-4,56.857
8,North,2012,2015,1,0,-3,60.227
8,North,2013,2015,1,0,-2,58.471
8,North,2014,2015,1,0,-1,58.465
8,North,2015,2015,1,1,0,61.134
8,North,2016,2015,1,1,1,61.218
8,North,2017,2015,1,1,2,62.934
8,North,2018,2015,1,1,3,64.236
8,North,2019,2015,1,1,4,65.226
9,Coastal,2010,9999,0,0,-999,60.48
9,Coastal,2011,9999,0,0,-999,63.509
9,Coastal,2012,9999,0,0,-999,64.167
9,Coastal,2013,9999,0,0,-999,63.947
9,Coastal,2014,9999,0,0,-999,62.864
9,Coastal,2015,9999,0,0,-999,65.159
9,Coastal,2016,9999,0,0,-999,65.856
9,Coastal,2017,9999,0,0,-999,66.444
9,Coastal,2018,9999,0,0,-999,67.322
9,Coastal,2019,9999,0,0,-999,66.969
10,North,2010,2017,1,0,-7,61.676
10,North,2011,2017,1,0,-6,61.074
10,North,2012,2017,1,0,-5,62.692
10,North,2013,2017,1,0,-4,62.277
10,North,2014,2017,1,0,-3,62.818
10,North,2015,2017,1,0,-2,62.21
10,North,2016,2017,1,0,-1,64.491
10,North,2017,2017,1,1,0,65.221
10,North,2018,2017,1,1,1,64.871
10,North,2019,2017,1,1,2,66.895
11,Central,2010,2017,1,0,-7,58.849
11,Central,2011,2017,1,0,-6,58.581
11,Central,2012,2017,1,0,-5,58.569
11,Central,2013,2017,1,0,-4,59.298
11,Central,2014,2017,1,0,-3,58.684
11,Central,2015,2017,1,0,-2,59.58
11,Central,2016,2017,1,0,-1,60.113
11,Central,2017,2017,1,1,0,62.225
11,Central,2018,2017,1,1,1,61.901
11,Central,2019,2017,1,1,2,62.545
12,Central,2010,2017,1,0,-7,58.795
12,Central,2011,2017,1,0,-6,59.369
12,Central,2012,2017,1,0,-5,58.683
12,Central,2013,2017,1,0,-4,61.111
12,Central,2014,2017,1,0,-3,60.959
12,Central,2015,2017,1,0,-2,61.549
12,Central,2016,2017,1,0,-1,61.454
12,Central,2017,2017,1,1,0,62.374
12,Central,2018,2017,1,1,1,63.969
12,Central,2019,2017,1,1,2,64.372
13,Coastal,2010,2013,1,0,-3,57.677
13,Coastal,2011,2013,1,0,-2,57.185
13,Coastal,2012,2013,1,0,-1,57.454
13,Coastal,2013,2013,1,1,0,60.011
