year,actual,synthetic,gap,post
2010,47.795,48.027449999999995,-0.23244999999999294,0
2011,49.64,49.48349999999999,0.1565000000000083,0
2012,49.846,49.879749999999994,-0.033749999999997726,0
2013,50.568,50.434149999999995,0.13385000000000247,0
2014,51.311,51.28565,0.025350000000003092,0
2015,51.964,51.9467,0.01729999999999876,0
2016,54.034,52.441849999999995,1.5921500000000037,1
2017,54.069,53.12,0.9490000000000052,1
2018,55.803,53.5023,2.300699999999999,1
2019,56.892,54.488299999999995,2.4037000000000077,1
