city,year,treated_city,post,placement_index
Bay City,2010,1,0,47.795
Bay City,2011,1,0,49.64
Bay City,2012,1,0,49.846
Bay City,2013,1,0,50.568
Bay City,2014,1,0,51.311
Bay City,2015,1,0,51.964
Bay City,2016,1,1,54.034
Bay City,2017,1,1,54.069
Bay City,2018,1,1,55.803
Bay City,2019,1,1,56.892
River City,2010,0,0,48.296
River City,2011,0,0,50.028
River City,2012,0,0,50.247
River City,2013,0,0,50.568
River City,2014,0,0,51.445
River City,2015,0,0,52.113
River City,2016,0,1,52.647
River City,2017,0,1,53.268
River City,2018,0,1,53.522
River City,2019,0,1,54.604
Lake City,2010,0,0,46.892
Lake City,2011,0,0,47.341
Lake City,2012,0,0,48.457
Lake City,2013,0,0,49.26
Lake City,2014,0,0,50.02
Lake City,2015,0,0,50.733
Lake City,2016,0,1,51.892
Lake City,2017,0,1,52.786
Lake City,2018,0,1,53.695
Lake City,2019,0,1,53.97
Hill City,2010,0,0,50.192
Hill City,2011,0,0,50.949
Hill City,2012,0,0,52.128
Hill City,2013,0,0,52.342
Hill City,2014,0,0,52.813
Hill City,2015,0,0,53.141
Hill City,2016,0,1,53.718
Hill City,2017,0,1,54.01
Hill City,2018,0,1,54.684
Hill City,2019,0,1,55.528
Port City,2010,0,0,47.649
Port City,2011,0,0,48.519
Port City,2012,0,0,49.275
Port City,2013,0,0,50.411
Port City,2014,0,0,51.259
Port City,2015,0,0,51.727
Port City,2016,0,1,52.093
Port City,2017,0,1,52.86
Port City,2018,0,1,53.436
Port City,2019,0,1,54.175
Prairie City,2010,0,0,46.16
Prairie City,2011,0,0,46.683
Prairie City,2012,0,0,47.762
Prairie City,2013,0,0,48.676
Prairie City,2014,0,0,49.188
Prairie City,2015,0,0,50.717
Prairie City,2016,0,1,51.314
Prairie City,2017,0,1,52.348
Prairie City,2018,0,1,53.558
Prairie City,2019,0,1,54.435
