person_id,state,birth_year,birth_quarter,female,parent_education,family_income,compulsory_exposure,stayed_in_school,years_schooling,log_earnings,synthetic_ability,synthetic_compliance_type,synthetic_true_effect
1,North,1939,1,1,12.427,33553.39,0,1,12.224,2.668,1.4464,always_taker,0.056
2,North,1937,4,0,13.76,57202.33,1,1,12.083,2.6691,1.5776,complier,0.088
3,North,1939,3,1,14.285,23191.33,1,0,11.411,2.6285,1.0268,never_taker,0.056
4,Coastal,1941,1,0,6.81,50169.27,0,0,10.038,2.3919,-1.0818,complier,0.098
5,South,1939,2,0,10.444,35544.83,0,0,9.233,2.0157,-1.5219,complier,0.098
6,Central,1942,1,1,9.985,29929.51,0,0,10.099,2.2488,-0.7442,never_taker,0.066
7,North,1933,4,0,10.98,34416.04,1,1,12.126,2.6036,-0.0595,complier,0.098
8,Central,1932,3,1,12.562,28831.91,1,1,12.603,2.5815,1.6865,complier,0.082
9,North,1940,2,0,10.485,33140.71,0,1,11.994,2.6253,0.5583,always_taker,0.072
10,Central,1944,3,1,13.395,33409.47,1,0,9.434,2.1851,-1.3856,never_taker,0.056
11,South,1940,2,1,10.312,30893.42,0,1,11.986,2.8037,1.9484,always_taker,0.066
12,Coastal,1932,1,1,13.149,42207.92,0,0,9.734,2.2742,-1.297,complier,0.082
13,North,1947,3,1,12.098,56151.3,1,1,11.364,2.4455,-0.8895,complier,0.082
14,Coastal,1944,2,0,8.384,59397.29,0,0,10.329,2.7023,0.2221,complier,0.098
15,Central,1932,4,1,12.983,41103.4,1,1,12.291,2.5939,0.9982,always_taker,0.056
16,Coastal,1932,3,1,9.213,26377.9,1,0,9.887,2.4739,0.5401,never_taker,0.066
17,Coastal,1943,4,0,11.433,35429.5,1,1,11.666,2.8702,1.0203,complier,0.088
18,Central,1938,4,1,9.971,42235.38,1,1,11.343,2.8087,2.0762,complier,0.092
19,Central,1947,2,0,11.339,55858.63,0,0,9.611,2.2516,-1.5914,complier,0.088
20,North,1943,1,1,9.155,51536.31,0,1,11.993,2.5845,-0.0324,always_taker,0.066
21,North,1932,4,0,9.696,57568.94,1,1,11.074,2.406,-1.5836,complier,0.098
22,Central,1933,1,1,8.963,32818.59,0,0,9.675,2.0476,-1.5853,never_taker,0.066
23,Central,1941,2,1,8.456,47389.84,0,0,9.831,2.3863,-0.0676,complier,0.092
24,Central,1938,1,1,9.931,65103.37,0,0,10.015,2.2404,-0.6945,never_taker,0.066
25,South,1940,2,0,13.306,52697.51,0,0,9.188,2.3529,-1.3845,complier,0.088
26,Central,1937,2,1,11.228,49781.25,0,1,12.638,2.7864,0.8937,always_taker,0.056
27,South,1930,3,1,10.176,47315.63,1,1,10.787,2.2257,-1.0708,complier,0.092
28,South,1933,4,1,14.675,66003.2,1,1,12.737,2.7017,1.7682,always_taker,0.056
29,South,1944,1,1,9.894,45822.64,0,0,10.509,2.453,0.0844,complier,0.092
30,South,1931,1,0,10.467,31059.63,0,0,10.181,2.2511,-0.2734,never_taker,0.072
31,Coastal,1932,4,0,13.013,34232.42,1,0,9.747,2.4007,-1.1324,never_taker,0.062
32,North,1943,3,0,8.001,47488.9,1,1,11.429,2.6991,0.2436,complier,0.098
33,Central,1932,2,0,14.236,26618.6,0,0,11.055,2.5695,-0.0308,complier,0.088
34,North,1942,3,1,13.07,25441.94,1,1,11.472,2.5169,0.3086,always_taker,0.056
35,Central,1944,4,0,11.35,51707.91,1,1,11.786,2.7503,0.0308,complier,0.088
36,North,1933,2,1,11.791,70641.48,0,0,10.227,2.6586,0.3314,complier,0.082
37,Central,1931,3,0,10.261,51623.16,1,1,12.975,2.9502,1.4935,always_taker,0.072
