place_id,dominant_contribution_sector,share,shock,contribution
1,manufacturing,0.380255,0.085,0.032321675
2,logistics,0.300547,0.064,0.019235008
3,manufacturing,0.343843,0.085,0.029226655000000004
4,logistics,0.393255,0.064,0.02516832
5,manufacturing,0.308823,0.085,0.026249955000000002
6,logistics,0.362239,0.064,0.023183296
7,manufacturing,0.194251,0.085,0.016511335000000002
8,health,0.544639,0.032,0.017428448
9,manufacturing,0.412054,0.085,0.03502459
10,energy,0.394364,-0.041,-0.016168924
11,logistics,0.34807,0.064,0.02227648
12,logistics,0.216713,0.064,0.013869632
13,logistics,0.277902,0.064,0.017785728
14,logistics,0.21023,0.064,0.01345472
15,manufacturing,0.180158,0.085,0.015313430000000003
16,health,0.307824,0.032,0.009850368
17,manufacturing,0.227204,0.085,0.01931234
18,energy,0.304864,-0.041,-0.012499424000000002
19,logistics,0.194828,0.064,0.012468992
20,manufacturing,0.206562,0.085,0.01755777
21,manufacturing,0.27977,0.085,0.02378045
22,logistics,0.262848,0.064,0.016822272000000003
23,manufacturing,0.230048,0.085,0.01955408
24,manufacturing,0.261699,0.085,0.022244415000000003
25,manufacturing,0.394057,0.085,0.033494845
26,logistics,0.464734,0.064,0.029742976
27,logistics,0.222288,0.064,0.014226432
28,logistics,0.222042,0.064,0.014210687999999999
29,manufacturing,0.399273,0.085,0.033938205
30,logistics,0.193722,0.064,0.012398208
31,manufacturing,0.213145,0.085,0.018117325
32,manufacturing,0.240163,0.085,0.020413855
33,manufacturing,0.435431,0.085,0.037011635
34,energy,0.367238,-0.041,-0.015056758000000002
35,manufacturing,0.2934,0.085,0.024939000000000003
36,energy,0.241295,-0.041,-0.009893095000000001
37,manufacturing,0.348128,0.085,0.02959088
38,services,0.457593,0.027,0.012355011
39,manufacturing,0.248802,0.085,0.02114817
40,manufacturing,0.150779,0.085,0.012816215
41,manufacturing,0.317426,0.085,0.026981210000000002
42,manufacturing,0.20049,0.085,0.017041650000000002
43,services,0.445942,0.027,0.012040434
44,energy,0.309132,-0.041,-0.012674412000000001
45,manufacturing,0.415021,0.085,0.035276785
46,manufacturing,0.220394,0.085,0.018733490000000002
47,manufacturing,0.386592,0.085,0.03286032
48,logistics,0.31087,0.064,0.01989568
49,logistics,0.264158,0.064,0.016906112
50,manufacturing,0.169721,0.085,0.014426285000000002
51,logistics,0.200789,0.064,0.012850496
52,logistics,0.213709,0.064,0.013677376000000002
53,manufacturing,0.366307,0.085,0.031136095000000003
54,logistics,0.32318,0.064,0.02068352
55,manufacturing,0.211054,0.085,0.017939590000000002
56,manufacturing,0.404793,0.085,0.034407405
57,manufacturing,0.380731,0.085,0.032362135
58,manufacturing,0.401033,0.085,0.034087805
59,manufacturing,0.28308,0.085,0.0240618
60,services,0.352639,0.027,0.009521252999999999
61,manufacturing,0.172139,0.085,0.014631815
62,logistics,0.385256,0.064,0.024656384
63,logistics,0.231182,0.064,0.014795648
64,logistics,0.186796,0.064,0.011954944
65,manufacturing,0.493062,0.085,0.041910270000000006
66,logistics,0.500135,0.064,0.03200864
67,manufacturing,0.126247,0.085,0.010730995
68,manufacturing,0.165645,0.085,0.014079825
69,logistics,0.401286,0.064,0.025682304
70,logistics,0.306281,0.064,0.019601984000000003
71,manufacturing,0.316239,0.085,0.026880315000000002
72,manufacturing,0.197818,0.085,0.01681453
