place_id,sector,share,shock,contribution,abs_contribution
1,manufacturing,0.380255,0.085,0.032321675,0.032321675
1,health,0.092058,0.032,0.002945856,0.002945856
1,logistics,0.067988,0.064,0.004351232000000001,0.004351232000000001
1,education,0.005311,0.018,9.559799999999999e-05,9.559799999999999e-05
1,energy,0.08458,-0.041,-0.00346778,0.00346778
1,services,0.369808,0.027,0.009984816,0.009984816
2,manufacturing,0.071751,0.085,0.006098835,0.006098835
2,health,0.038948,0.032,0.0012463360000000002,0.0012463360000000002
2,logistics,0.300547,0.064,0.019235008,0.019235008
2,education,0.056625,0.018,0.00101925,0.00101925
2,energy,0.363273,-0.041,-0.014894193000000002,0.014894193000000002
2,services,0.168856,0.027,0.004559112,0.004559112
3,manufacturing,0.343843,0.085,0.029226655000000004,0.029226655000000004
3,health,0.352356,0.032,0.011275392,0.011275392
3,logistics,0.171156,0.064,0.010953984,0.010953984
3,education,0.027635,0.018,0.00049743,0.00049743
3,energy,0.029851,-0.041,-0.001223891,0.001223891
3,services,0.075159,0.027,0.002029293,0.002029293
4,manufacturing,0.030723,0.085,0.0026114550000000004,0.0026114550000000004
4,health,0.19274,0.032,0.00616768,0.00616768
4,logistics,0.393255,0.064,0.02516832,0.02516832
4,education,0.039961,0.018,0.000719298,0.000719298
4,energy,0.048491,-0.041,-0.001988131,0.001988131
4,services,0.29483,0.027,0.00796041,0.00796041
5,manufacturing,0.308823,0.085,0.026249955000000002,0.026249955000000002
5,health,0.073639,0.032,0.002356448,0.002356448
5,logistics,0.277757,0.064,0.017776448,0.017776448
5,education,0.126143,0.018,0.002270574,0.002270574
5,energy,0.09449,-0.041,-0.00387409,0.00387409
5,services,0.119149,0.027,0.0032170230000000003,0.0032170230000000003
6,manufacturing,0.072179,0.085,0.006135215,0.006135215
6,health,0.021168,0.032,0.000677376,0.000677376
6,logistics,0.362239,0.064,0.023183296,0.023183296
6,education,0.012631,0.018,0.000227358,0.000227358
6,energy,0.170976,-0.041,-0.007010016,0.007010016
6,services,0.360806,0.027,0.009741762000000001,0.009741762000000001
7,manufacturing,0.194251,0.085,0.016511335000000002,0.016511335000000002
7,health,0.105815,0.032,0.00338608,0.00338608
7,logistics,0.138228,0.064,0.008846592,0.008846592
7,education,0.180634,0.018,0.0032514119999999995,0.0032514119999999995
7,energy,0.085804,-0.041,-0.003517964,0.003517964
7,services,0.295267,0.027,0.007972209,0.007972209
8,manufacturing,0.026067,0.085,0.002215695,0.002215695
8,health,0.544639,0.032,0.017428448,0.017428448
8,logistics,0.150819,0.064,0.009652416,0.009652416
8,education,0.13005,0.018,0.0023409,0.0023409
8,energy,0.03605,-0.041,-0.00147805,0.00147805
8,services,0.112374,0.027,0.003034098,0.003034098
9,manufacturing,0.412054,0.085,0.03502459,0.03502459
9,health,0.368759,0.032,0.011800288,0.011800288
9,logistics,0.010085,0.064,0.0006454400000000001,0.0006454400000000001
9,education,0.122282,0.018,0.0022010759999999997,0.0022010759999999997
9,energy,0.069512,-0.041,-0.0028499920000000004,0.0028499920000000004
9,services,0.017308,0.027,0.000467316,0.000467316
10,manufacturing,0.067102,0.085,0.00570367,0.00570367
10,health,0.187934,0.032,0.006013888,0.006013888
10,logistics,0.194017,0.064,0.012417088,0.012417088
10,education,0.052704,0.018,0.0009486719999999999,0.0009486719999999999
10,energy,0.394364,-0.041,-0.016168924,0.016168924
10,services,0.103879,0.027,0.002804733,0.002804733
11,manufacturing,0.050667,0.085,0.004306695,0.004306695
11,health,0.241913,0.032,0.0077412159999999995,0.0077412159999999995
11,logistics,0.34807,0.064,0.02227648,0.02227648
11,education,0.119686,0.018,0.002154348,0.002154348
