place_id,region,baseline_growth,treatment_intensity,outcome_growth,share_manufacturing,share_health,share_logistics,share_education,share_energy,share_services
1,North,0.03252,0.42103,-0.08915,0.380255,0.092058,0.067988,0.005311,0.08458,0.369808
2,South,0.01357,0.28811,-0.083,0.071751,0.038948,0.300547,0.056625,0.363273,0.168856
3,Central,0.04267,0.4496,-0.18115,0.343843,0.352356,0.171156,0.027635,0.029851,0.075159
4,Coastal,0.01358,0.35405,-0.09142,0.030723,0.19274,0.393255,0.039961,0.048491,0.29483
5,North,0.01313,0.4073,-0.12644,0.308823,0.073639,0.277757,0.126143,0.09449,0.119149
6,South,0.01612,0.38582,-0.09488,0.072179,0.021168,0.362239,0.012631,0.170976,0.360806
7,Central,0.01756,0.37717,-0.0935,0.194251,0.105815,0.138228,0.180634,0.085804,0.295267
8,Coastal,0.019,0.29287,-0.10318,0.026067,0.544639,0.150819,0.13005,0.03605,0.112374
9,North,0.04034,0.34819,-0.15386,0.412054,0.368759,0.010085,0.122282,0.069512,0.017308
10,South,-0.0123,0.23598,-0.0941,0.067102,0.187934,0.194017,0.052704,0.394364,0.103879
11,Central,0.01401,0.30526,-0.10836,0.050667,0.241913,0.34807,0.119686,0.202267,0.037396
12,Coastal,0.00186,0.3438,-0.12648,0.049407,0.398697,0.216713,0.245996,0.00026,0.088928
13,North,0.0107,0.31694,-0.13528,0.19886,0.158264,0.277902,0.161523,0.008665,0.194787
14,South,0.01564,0.28855,-0.08222,0.067629,0.147963,0.21023,0.203798,0.133354,0.237027
15,Central,0.02457,0.31779,-0.0738,0.180158,0.156677,0.0719,0.190876,0.223971,0.176419
16,Coastal,0.01093,0.33516,-0.10878,0.032987,0.307824,0.037971,0.272302,0.020197,0.328718
17,North,0.00137,0.38216,-0.16093,0.227204,0.222552,0.241952,0.184659,0.025891,0.097743
18,South,0.00038,0.23345,-0.04979,0.043474,0.020492,0.19121,0.290033,0.304864,0.149927
19,Central,0.00362,0.40961,-0.11234,0.13727,0.243406,0.194828,0.244362,0.052727,0.127405
20,Coastal,0.01478,0.30797,-0.14128,0.206562,0.10136,0.120716,0.176395,0.071535,0.323433
21,North,0.02488,0.367,-0.14873,0.27977,0.079326,0.29945,0.1463,0.079296,0.115858
22,South,0.01279,0.34124,-0.15521,0.041219,0.100309,0.262848,0.006647,0.034849,0.554128
