race_id,district_group,election_year,vote_margin,won_seat,next_vote_share,pre_turnout,party_strength,district_income,synthetic_candidate_quality,synthetic_true_effect
1,North,1994,0.27451,1,0.60144,0.64262,0.43897,45779.86,-0.77745,0.055
2,Central,1998,0.51454,1,0.63434,0.60522,0.67895,50615.62,-1.24578,0.055
3,Central,1994,0.49555,1,0.70538,0.61139,0.80485,75914.36,1.26078,0.055
4,Central,2012,0.47824,1,0.68767,0.52193,0.58179,46395.78,-1.11649,0.055
5,South,1994,0.09785,1,0.55279,0.55113,0.61803,55678.19,-0.43739,0.061
6,South,2012,-0.04123,0,0.46172,0.46682,0.46431,44884.83,-0.12578,0.071
7,Central,1996,-0.23193,0,0.4118,0.53135,0.52127,50381.73,0.28671,0.055
8,South,2004,-0.02454,0,0.51005,0.50335,0.50956,48150.16,1.60979,0.071
9,North,2000,-0.08942,0,0.51904,0.56295,0.47676,56279.1,0.95195,0.055
10,Central,2008,-0.24259,0,0.43249,0.52283,0.44077,38816.53,0.36508,0.055
11,South,2004,0.33841,1,0.55564,0.56353,0.68076,51246.64,-2.29579,0.061
12,Mountain,2010,0.02992,1,0.54199,0.48354,0.35184,71932.96,-0.91036,0.065
13,North,1994,0.31192,1,0.54292,0.62993,0.53014,67182.84,-0.19333,0.055
14,Central,2008,0.09308,1,0.57198,0.55198,0.55793,58649.0,0.13005,0.055
15,Coastal,2008,0.04972,1,0.57771,0.48236,0.6338,67307.4,-1.64842,0.065
16,Central,2006,-0.07464,0,0.4563,0.53903,0.53729,64088.28,-0.45767,0.055
17,Coastal,1994,0.14423,1,0.58347,0.56196,0.54522,86959.57,-1.79676,0.055
18,Central,2008,-0.06788,0,0.42518,0.54621,0.50142,65344.7,-0.18149,0.055
19,Central,1996,-0.12395,0,0.46593,0.58941,0.42518,70527.39,0.66985,0.055
20,Coastal,2000,-0.11243,0,0.48594,0.53156,0.54638,71179.98,1.40426,0.055
21,Coastal,1996,0.09627,1,0.50484,0.54975,0.43419,70353.18,0.25296,0.055
22,Central,2012,0.0574,1,0.50519,0.52454,0.65126,59719.14,-0.40291,0.055
23,South,2008,-0.04102,0,0.38558,0.59592,0.47011,44902.74,-0.93725,0.071
24,South,2002,-0.09108,0,0.43794,0.50967,0.50254,52633.34,-0.53969,0.061
25,Coastal,2002,0.00198,1,0.50729,0.49831,0.64779,70766.99,0.03043,0.065
26,North,2010,-0.02465,0,0.51171,0.5859,0.52077,58245.73,0.50421,0.065
27,North,1992,0.24715,1,0.51853,0.55094,0.6185,67792.49,0.57496,0.055
28,North,1998,-0.20503,0,0.52122,0.61389,0.44258,60322.85,-1.54218,0.055
29,Coastal,2002,0.04778,1,0.68353,0.56386,0.58902,80598.68,-0.88291,0.065
30,Coastal,2000,-0.64967,0,0.17424,0.54917,0.41242,65836.83,-1.05532,0.055
31,North,2010,-0.02983,0,0.47247,0.6285,0.46097,68232.93,-0.93768,0.065
32,Mountain,1996,-0.04715,0,0.45007,0.49116,0.37469,50273.99,-0.86196,0.065
33,Central,2004,-0.22514,0,0.48649,0.57807,0.4824,62504.64,0.35785,0.055
34,Coastal,1992,0.04395,1,0.46134,0.51088,0.57901,73986.56,-1.20146,0.065
35,North,1994,0.196,1,0.62966,0.58915,0.53615,56003.16,-0.01273,0.055
36,North,1994,0.04164,1,0.56681,0.58665,0.4804,54127.47,-0.30841,0.065
37,Coastal,1992,0.07532,1,0.5509,0.55432,0.44049,61436.13,-0.23408,0.055
38,Central,1998,0.2768,1,0.63113,0.51127,0.53757,42659.73,1.73465,0.055
39,South,2008,-0.06817,0,0.53316,0.46453,0.34971,55040.72,-0.89022,0.061
40,North,2004,-0.12937,0,0.51163,0.56806,0.49788,47143.48,0.47184,0.055
41,South,2010,0.00825,1,0.48638,0.55454,0.41846,60183.73,-0.88007,0.071
42,Mountain,2012,0.04607,1,0.58777,0.47721,0.39441,63122.49,-0.23302,0.065
43,North,1994,-0.29057,0,0.35855,0.56658,0.33288,42122.1,-1.67137,0.055
44,Mountain,1996,0.00566,1,0.46291,0.54701,0.44227,46467.94,0.93734,0.065
45,Central,1994,-0.0793,0,0.45179,0.54312,0.52953,71393.93,-0.75909,0.055
46,Mountain,1998,-0.18901,0,0.45385,0.52809,0.46724,54431.08,1.53564,0.055
47,South,1998,-0.10992,0,0.44086,0.54651,0.49262,58662.72,0.21677,0.061
48,Mountain,2002,0.26749,1,0.56788,0.55031,0.45977,58514.34,0.69644,0.055
49,Coastal,1998,0.02452,1,0.58838,0.56716,0.60015,61690.73,-0.60063,0.065
50,Central,2006,-0.0286,0,0.49566,0.56841,0.48677,54296.64,-0.37991,0.065
51,South,2002,-0.08334,0,0.4742,0.55871,0.45411,46201.97,-1.24102,0.061
52,North,1994,-0.30035,0,0.41619,0.59612,0.4288,61014.15,-0.1267,0.055
53,Central,2010,-0.03515,0,0.50027,0.50749,0.32128,57744.86,0.3909,0.065
54,South,1992,0.13787,1,0.52882,0.56703,0.55827,63330.29,-0.33112,0.061
55,South,2006,0.043,1,0.72702,0.46175,0.48311,44490.21,0.21927,0.071
56,Mountain,2012,-0.27615,0,0.49272,0.53768,0.43158,60409.31,0.07906,0.055
57,North,1992,-0.0545,0,0.4182,0.62549,0.46613,53705.57,1.30518,0.055
58,Central,1992,0.00282,1,0.56655,0.62009,0.38601,65457.87,0.84521,0.065
59,North,2004,-0.08304,0,0.42467,0.53104,0.45681,57112.53,-0.51053,0.055
60,North,1996,0.14642,1,0.55874,0.61912,0.58928,55182.06,-0.35038,0.055
61,North,1994,0.27172,1,0.66895,0.52064,0.58134,51341.47,0.40551,0.055
62,Mountain,2000,0.00692,1,0.4476,0.55812,0.59738,68099.67,1.46604,0.065
63,Coastal,2008,0.21812,1,0.63311,0.63035,0.62711,58255.77,0.10131,0.055
64,Coastal,2006,-0.12487,0,0.39745,0.5122,0.47338,62036.87,0.03896,0.055
65,North,2000,0.02412,1,0.4655,0.55194,0.56432,54003.49,-0.4043,0.065
66,Coastal,2012,-0.06595,0,0.38599,0.52321,0.55496,66632.48,-0.317,0.055
67,South,2006,0.08722,1,0.52235,0.48841,0.54393,46608.98,0.65209,0.061
68,Coastal,1994,-0.01562,0,0.37137,0.49149,0.57727,65766.65,1.76112,0.065
69,Coastal,1994,-0.37035,0,0.40069,0.47091,0.38591,60039.89,-0.10097,0.055
70,Coastal,1994,-0.1491,0,0.43875,0.46595,0.59774,61022.29,1.36556,0.055
71,Mountain,1998,0.00923,1,0.51003,0.50779,0.42239,56533.26,0.32991,0.065
