outcome,bandwidth,order,kernel,covariates,estimate,standard_error,n_left,n_right,effective_n
next_vote_share,0.04,1.0,triangular,,0.07107065433695148,0.005835994046808714,836.0,816.0,1652.0
next_vote_share,0.04,1.0,uniform,,0.0693895354961871,0.005402096076015306,836.0,816.0,1652.0
next_vote_share,0.06,1.0,triangular,,0.06947727565554684,0.00486425109961801,1192.0,1182.0,2374.0
next_vote_share,0.06,1.0,uniform,,0.0674026058287609,0.0044676788945696875,1192.0,1182.0,2374.0
next_vote_share,0.08,1.0,triangular,,0.0672114005543416,0.004282206355551032,1487.0,1498.0,2985.0
next_vote_share,0.08,1.0,uniform,,0.06557253927127871,0.0038959360303947067,1487.0,1498.0,2985.0
next_vote_share,0.1,1.0,triangular,,0.06660184706162475,0.0038876838731552437,1717.0,1731.0,3448.0
next_vote_share,0.1,1.0,uniform,,0.06685534354206624,0.0035755102938632615,1717.0,1731.0,3448.0
next_vote_share,0.12,1.0,triangular,,0.06648920835095096,0.003615866506023092,1881.0,1905.0,3786.0
next_vote_share,0.12,1.0,uniform,,0.06644065254834475,0.0033251871229895715,1882.0,1906.0,3788.0
