earner_id,observed_earnings,counterfactual_earnings_synthetic,tax_kink,lower_marginal_tax_rate,upper_marginal_tax_rate,synthetic_buncher
1,60208.44,60389.48,50000.0,0.25,0.35,0
2,30685.24,30671.23,50000.0,0.25,0.35,0
3,41899.0,41890.78,50000.0,0.25,0.35,0
4,29296.59,29461.11,50000.0,0.25,0.35,0
5,70830.64,70648.98,50000.0,0.25,0.35,0
6,25180.15,25019.93,50000.0,0.25,0.35,0
7,38566.02,38616.71,50000.0,0.25,0.35,0
8,42660.7,42704.49,50000.0,0.25,0.35,0
9,79756.67,80118.83,50000.0,0.25,0.35,0
10,31205.09,31325.57,50000.0,0.25,0.35,0
11,42332.54,42183.69,50000.0,0.25,0.35,0
12,61723.82,61492.36,50000.0,0.25,0.35,0
13,65809.54,66039.86,50000.0,0.25,0.35,0
14,33859.28,33826.51,50000.0,0.25,0.35,0
15,65455.02,65443.32,50000.0,0.25,0.35,0
16,49849.86,53569.65,50000.0,0.25,0.35,1
17,36627.91,36626.82,50000.0,0.25,0.35,0
18,31359.52,31656.86,50000.0,0.25,0.35,0
19,57448.58,57569.31,50000.0,0.25,0.35,0
20,56502.28,56304.81,50000.0,0.25,0.35,0
21,61610.24,61516.81,50000.0,0.25,0.35,0
22,61906.05,61911.88,50000.0,0.25,0.35,0
23,60487.93,60113.98,50000.0,0.25,0.35,0
24,37336.23,37312.52,50000.0,0.25,0.35,0
25,45349.93,45245.52,50000.0,0.25,0.35,0
26,50112.62,53331.98,50000.0,0.25,0.35,1
27,49143.32,50847.2,50000.0,0.25,0.35,1
28,49454.87,50761.19,50000.0,0.25,0.35,1
29,61993.07,62024.3,50000.0,0.25,0.35,0
30,69583.21,69453.23,50000.0,0.25,0.35,0
31,36165.41,35990.12,50000.0,0.25,0.35,0
32,35204.23,35222.71,50000.0,0.25,0.35,0
33,47296.29,47736.57,50000.0,0.25,0.35,0
34,66497.48,66987.62,50000.0,0.25,0.35,0
35,52856.93,52692.73,50000.0,0.25,0.35,0
36,57706.68,57852.21,50000.0,0.25,0.35,0
37,49837.68,50775.18,50000.0,0.25,0.35,1
38,43006.3,42952.59,50000.0,0.25,0.35,0
39,42968.18,42740.94,50000.0,0.25,0.35,0
40,48015.01,47748.19,50000.0,0.25,0.35,0
41,49598.47,55016.57,50000.0,0.25,0.35,1
42,53645.44,53621.92,50000.0,0.25,0.35,0
43,59702.39,59885.24,50000.0,0.25,0.35,0
44,64826.11,64843.08,50000.0,0.25,0.35,0
45,54055.92,54097.0,50000.0,0.25,0.35,0
46,35608.91,35558.78,50000.0,0.25,0.35,0
47,49900.11,56784.19,50000.0,0.25,0.35,1
48,66218.73,66315.13,50000.0,0.25,0.35,0
49,91289.86,91256.35,50000.0,0.25,0.35,0
50,47576.38,47627.2,50000.0,0.25,0.35,0
51,28914.06,29038.75,50000.0,0.25,0.35,0
52,71374.18,71154.78,50000.0,0.25,0.35,0
53,32059.43,32052.73,50000.0,0.25,0.35,0
54,61802.85,61811.36,50000.0,0.25,0.35,0
55,38810.73,38590.16,50000.0,0.25,0.35,0
56,49812.65,52364.18,50000.0,0.25,0.35,1
57,40020.44,40056.86,50000.0,0.25,0.35,0
58,41361.64,41095.33,50000.0,0.25,0.35,0
59,36228.81,36201.27,50000.0,0.25,0.35,0
60,49944.99,50701.09,50000.0,0.25,0.35,1
61,35427.54,35542.91,50000.0,0.25,0.35,0
62,42443.41,42620.27,50000.0,0.25,0.35,0
63,65948.71,65836.24,50000.0,0.25,0.35,0
64,65621.57,65919.08,50000.0,0.25,0.35,0
65,41809.42,41728.42,50000.0,0.25,0.35,0
66,27141.66,26983.3,50000.0,0.25,0.35,0
67,38672.58,38832.18,50000.0,0.25,0.35,0
68,35374.9,35458.85,50000.0,0.25,0.35,0
69,38075.77,37814.25,50000.0,0.25,0.35,0
70,56371.36,56712.55,50000.0,0.25,0.35,0
71,47162.33,46988.89,50000.0,0.25,0.35,0
72,87601.33,87811.03,50000.0,0.25,0.35,0
