unit_id,period,mileage_state,replace,next_mileage_state,operating_cost,true_replacement_probability,synthetic_unit_quality
1,0,3,0,4,2.38852,0.40008,-0.42857
1,1,4,0,5,2.56713,0.58687,-0.42857
1,2,5,0,5,3.54005,0.7327,-0.42857
1,3,5,1,0,4.85737,0.7327,-0.42857
1,4,0,0,1,0.42716,0.01,-0.42857
1,5,1,0,2,0.85708,0.07251,-0.42857
1,6,2,0,3,1.50226,0.2099,-0.42857
1,7,3,1,0,4.49291,0.40008,-0.42857
1,8,0,0,0,0.30436,0.01,-0.42857
1,9,0,0,1,0.10293,0.01,-0.42857
1,10,1,0,2,1.04494,0.07251,-0.42857
1,11,2,0,3,1.42743,0.2099,-0.42857
1,12,3,0,5,1.99189,0.40008,-0.42857
1,13,5,0,6,3.0236,0.7327,-0.42857
1,14,6,1,0,4.42927,0.83197,-0.42857
1,15,0,0,1,0.39893,0.01,-0.42857
1,16,1,0,3,0.69066,0.07251,-0.42857
1,17,3,1,0,4.76238,0.40008,-0.42857
1,18,0,0,2,0.14016,0.01,-0.42857
1,19,2,1,1,4.81411,0.2099,-0.42857
1,20,1,0,2,0.72666,0.07251,-0.42857
1,21,2,0,3,1.6598,0.2099,-0.42857
1,22,3,0,5,2.2531,0.40008,-0.42857
1,23,5,0,6,2.80343,0.7327,-0.42857
1,24,6,1,0,4.51356,0.83197,-0.42857
1,25,0,0,1,0.5258,0.01,-0.42857
1,26,1,0,2,1.28098,0.07251,-0.42857
1,27,2,1,0,4.83195,0.2099,-0.42857
1,28,0,0,1,0.20682,0.01,-0.42857
1,29,1,0,2,0.85222,0.07251,-0.42857
1,30,2,0,3,1.50702,0.2099,-0.42857
1,31,3,0,4,2.37206,0.40008,-0.42857
1,32,4,0,6,2.4164,0.58687,-0.42857
1,33,6,1,0,4.76557,0.83197,-0.42857
1,34,0,0,1,0.15733,0.01,-0.42857
1,35,1,0,3,0.96121,0.07251,-0.42857
1,36,3,0,5,2.14805,0.40008,-0.42857
1,37,5,1,0,5.1864,0.7327,-0.42857
2,0,2,0,3,1.80964,0.2318,0.19734
2,1,3,0,3,2.09438,0.42199,0.19734
2,2,3,0,4,1.79448,0.42199,0.19734
2,3,4,1,1,4.92953,0.60878,0.19734
2,4,1,0,2,0.53899,0.09442,0.19734
2,5,2,0,2,1.18238,0.2318,0.19734
2,6,2,0,3,1.73502,0.2318,0.19734
2,7,3,1,0,4.32513,0.42199,0.19734
2,8,0,0,2,0.5064,0.03006,0.19734
2,9,2,0,4,1.7181,0.2318,0.19734
2,10,4,0,4,2.60796,0.60878,0.19734
2,11,4,0,5,2.8313,0.60878,0.19734
2,12,5,1,0,4.59888,0.7546,0.19734
2,13,0,0,1,0.52037,0.03006,0.19734
2,14,1,1,0,4.98817,0.09442,0.19734
2,15,0,0,1,0.66599,0.03006,0.19734
2,16,1,0,3,1.10524,0.09442,0.19734
2,17,3,1,0,4.56888,0.42199,0.19734
2,18,0,0,1,0.05443,0.03006,0.19734
2,19,1,0,2,1.27906,0.09442,0.19734
2,20,2,0,3,1.39853,0.2318,0.19734
2,21,3,0,4,2.38036,0.42199,0.19734
2,22,4,0,6,2.65994,0.60878,0.19734
2,23,6,1,1,4.72405,0.85388,0.19734
2,24,1,0,3,0.72478,0.09442,0.19734
2,25,3,0,3,2.12034,0.42199,0.19734
2,26,3,0,4,1.66452,0.42199,0.19734
2,27,4,1,2,4.80127,0.60878,0.19734
2,28,2,0,3,1.32222,0.2318,0.19734
2,29,3,0,4,1.69964,0.42199,0.19734
2,30,4,1,0,4.1785,0.60878,0.19734
2,31,0,0,2,0.70482,0.03006,0.19734
2,32,2,0,3,1.6233,0.2318,0.19734
2,33,3,0,5,2.18214,0.42199,0.19734
2,34,5,0,6,2.96013,0.7546,0.19734
2,35,6,1,1,4.80659,0.85388,0.19734
2,36,1,0,3,0.78638,0.09442,0.19734
2,37,3,0,3,2.13116,0.42199,0.19734
3,0,3,0,5,1.62647,0.42056,0.15648
3,1,5,1,0,4.9972,0.75317,0.15648
3,2,0,0,1,0.35383,0.02863,0.15648
3,3,1,0,2,0.70796,0.09299,0.15648
3,4,2,1,0,4.64933,0.23037,0.15648
3,5,0,0,2,0.47231,0.02863,0.15648
3,6,2,0,3,1.15077,0.23037,0.15648
3,7,3,1,0,4.83621,0.42056,0.15648
3,8,0,0,1,0.5183,0.02863,0.15648
3,9,1,0,1,0.67716,0.09299,0.15648
3,10,1,0,2,0.82935,0.09299,0.15648
3,11,2,0,3,1.6185,0.23037,0.15648
3,12,3,1,0,4.47823,0.42056,0.15648
3,13,0,0,1,0.52614,0.02863,0.15648
3,14,1,0,3,1.02282,0.09299,0.15648
3,15,3,0,5,2.25116,0.42056,0.15648
3,16,5,1,1,4.75703,0.75317,0.15648
3,17,1,0,2,0.80338,0.09299,0.15648
3,18,2,0,4,1.52344,0.23037,0.15648
3,19,4,1,1,4.84716,0.60735,0.15648
3,20,1,0,2,0.85533,0.09299,0.15648
3,21,2,1,0,4.48005,0.23037,0.15648
3,22,0,0,2,0.09187,0.02863,0.15648
3,23,2,0,3,1.68769,0.23037,0.15648
3,24,3,1,0,4.43328,0.42056,0.15648
3,25,0,0,1,0.2659,0.02863,0.15648
3,26,1,0,2,0.89658,0.09299,0.15648
3,27,2,0,3,1.42275,0.23037,0.15648
3,28,3,0,5,2.34636,0.42056,0.15648
3,29,5,1,1,4.67135,0.75317,0.15648
3,30,1,0,2,0.87997,0.09299,0.15648
3,31,2,1,0,4.60254,0.23037,0.15648
3,32,0,0,1,0.27703,0.02863,0.15648
3,33,1,0,2,0.66104,0.09299,0.15648
3,34,2,1,0,4.91996,0.23037,0.15648
3,35,0,0,1,0.39736,0.02863,0.15648
3,36,1,0,1,1.0835,0.09299,0.15648
3,37,1,0,2,1.3609,0.09299,0.15648
4,0,3,0,4,2.06549,0.42222,0.20399
4,1,4,1,0,4.69072,0.60901,0.20399
4,2,0,0,1,0.41532,0.03029,0.20399
4,3,1,0,3,0.53503,0.09465,0.20399
4,4,3,1,0,5.02471,0.42222,0.20399
4,5,0,0,1,0.12766,0.03029,0.20399
4,6,1,0,2,0.8783,0.09465,0.20399
4,7,2,0,3,1.08793,0.23204,0.20399
4,8,3,1,1,4.62785,0.42222,0.20399
4,9,1,1,0,4.81559,0.09465,0.20399
4,10,0,0,0,0.31976,0.03029,0.20399
4,11,0,1,0,5.04106,0.03029,0.20399
4,12,0,0,2,0.46476,0.03029,0.20399
4,13,2,0,3,1.50517,0.23204,0.20399
4,14,3,0,5,2.21039,0.42222,0.20399
4,15,5,1,1,4.80584,0.75484,0.20399
4,16,1,0,2,0.73484,0.09465,0.20399
4,17,2,0,3,1.68158,0.23204,0.20399
4,18,3,0,4,1.7731,0.42222,0.20399
4,19,4,0,5,2.54711,0.60901,0.20399
4,20,5,1,0,4.9805,0.75484,0.20399
4,21,0,0,1,0.58384,0.03029,0.20399
4,22,1,0,2,1.27883,0.09465,0.20399
4,23,2,0,4,1.52053,0.23204,0.20399
4,24,4,1,0,4.52504,0.60901,0.20399
4,25,0,0,1,0.11106,0.03029,0.20399
4,26,1,0,3,0.96405,0.09465,0.20399
4,27,3,1,1,4.29164,0.42222,0.20399
4,28,1,0,2,0.57327,0.09465,0.20399
4,29,2,1,1,4.58313,0.23204,0.20399
4,30,1,0,2,0.5389,0.09465,0.20399
4,31,2,1,1,4.62096,0.23204,0.20399
4,32,1,0,2,1.52088,0.09465,0.20399
4,33,2,0,3,1.62038,0.23204,0.20399
4,34,3,1,0,4.90512,0.42222,0.20399
4,35,0,0,1,0.72025,0.03029,0.20399
4,36,1,0,3,0.7846,0.09465,0.20399
4,37,3,0,5,1.96591,0.42222,0.20399
5,0,3,0,4,1.98136,0.41722,0.06125
5,1,4,0,6,2.40943,0.60402,0.06125
5,2,6,1,0,4.24626,0.84911,0.06125
5,3,0,0,0,0.62409,0.02529,0.06125
5,4,0,0,2,0.08186,0.02529,0.06125
5,5,2,1,1,4.81659,0.22704,0.06125
5,6,1,0,2,0.8575,0.08965,0.06125
5,7,2,0,3,1.30031,0.22704,0.06125
5,8,3,0,4,1.97874,0.41722,0.06125
5,9,4,0,6,2.61588,0.60402,0.06125
5,10,6,1,1,4.10274,0.84911,0.06125
5,11,1,0,3,0.91953,0.08965,0.06125
5,12,3,0,4,1.73088,0.41722,0.06125
5,13,4,0,5,2.9281,0.60402,0.06125
5,14,5,1,0,4.65477,0.74984,0.06125
5,15,0,0,1,0.10292,0.02529,0.06125
5,16,1,0,2,0.88394,0.08965,0.06125
5,17,2,0,3,1.37621,0.22704,0.06125
5,18,3,0,5,2.0546,0.41722,0.06125
5,19,5,1,1,4.45858,0.74984,0.06125
5,20,1,0,1,0.83039,0.08965,0.06125
5,21,1,0,2,0.63598,0.08965,0.06125
5,22,2,0,3,1.96227,0.22704,0.06125
5,23,3,1,1,4.95546,0.41722,0.06125
5,24,1,0,2,0.9543,0.08965,0.06125
5,25,2,0,3,1.42697,0.22704,0.06125
5,26,3,0,4,1.7142,0.41722,0.06125
5,27,4,1,0,4.63232,0.60402,0.06125
5,28,0,0,2,-0.05712,0.02529,0.06125
5,29,2,0,3,1.19925,0.22704,0.06125
5,30,3,1,0,4.49628,0.41722,0.06125
5,31,0,0,1,0.43683,0.02529,0.06125
5,32,1,0,2,1.13,0.08965,0.06125
5,33,2,0,3,1.11456,0.22704,0.06125
5,34,3,0,4,2.12911,0.41722,0.06125
5,35,4,1,1,4.69787,0.60402,0.06125
5,36,1,0,2,1.01382,0.08965,0.06125
5,37,2,1,0,4.62855,0.22704,0.06125
6,0,0,0,1,0.20546,0.02715,0.11434
6,1,1,0,2,0.63971,0.09151,0.11434
6,2,2,0,4,1.28988,0.2289,0.11434
6,3,4,0,4,2.83139,0.60588,0.11434
6,4,4,1,0,4.88691,0.60588,0.11434
6,5,0,0,0,0.28693,0.02715,0.11434
6,6,0,0,1,0.3394,0.02715,0.11434
6,7,1,0,2,0.96511,0.09151,0.11434
6,8,2,0,3,1.55433,0.2289,0.11434
6,9,3,0,4,2.08369,0.41908,0.11434
6,10,4,1,0,4.61376,0.60588,0.11434
6,11,0,0,2,0.24941,0.02715,0.11434
