mileage_state,value,continue_choice_specific_value,replace_choice_specific_value,replacement_probability
0,-16.323998611351094,-16.346793246674196,-20.116604346918468,0.022536800333654166
1,-17.659324901167707,-17.748886105771494,-20.116604346918468,0.08566769785075634
2,-18.629518107724806,-18.88574065507014,-20.116604346918468,0.2260302952077194
3,-19.24866484519953,-19.79307429225843,-20.116604346918468,0.4198156882058332
4,-19.624431506575444,-20.569370458055353,-20.116604346918468,0.6112967000257249
5,-19.832867579998013,-21.231092119384375,-20.116604346918468,0.7529648239397864
6,-19.949435896849604,-21.82060929830343,-20.116604346918468,0.8460570810368923
7,-20.01362949305235,-22.337945591883166,-20.116604346918468,0.9021496588550798
8,-20.00393892069736,-22.243075476941605,-20.116604346918468,0.8934495349844278
9,-20.0519670606624,-22.823075476941604,-20.116604346918468,0.937407412359622
