mileage_state,observations,replace_count,empirical_replace_probability,dynamic_model_replace_probability,static_logit_replace_probability,mean_operating_cost,mean_next_mileage_state
0,1417,26,0.01834862385321101,0.022536800333654166,0.03916572279676437,0.4302932604093155,1.1340860973888496
1,1541,131,0.08500973393900065,0.08566769785075634,0.09279295311715702,1.2297800064892928,1.9662556781310838
2,1472,334,0.2269021739130435,0.2260302952077194,0.20424030228409185,2.1914263315217393,2.4966032608695654
3,1198,488,0.4073455759599332,0.4198156882058332,0.3917409692534857,3.0948939148580967,2.5609348914858097
4,704,441,0.6264204545454546,0.6112967000257249,0.6177478747692491,3.8865515482954547,2.1448863636363638
5,352,264,0.75,0.7529648239397864,0.8021838885585818,4.294002301136364,1.7471590909090908
6,118,102,0.864406779661017,0.8460570810368923,0.9105199406664386,4.49934627118644,1.2033898305084745
7,27,20,0.7407407407407407,0.9021496588550798,0.9623121094913941,4.529892962962963,2.3333333333333335
8,8,8,1.0,0.8934495349844278,0.9846322944347244,4.5459625,0.5
9,3,3,1.0,0.937407412359622,0.9938185391083889,4.727436666666667,0.3333333333333333
