scenario,period,mean_tuition,school_rate,work_rate,mean_schooling_years,mean_experience_years,mean_predicted_wage_offer,mean_school_probability
baseline,0,4446.2047999999995,0.7208333333333333,0.2791666666666667,11.2325,0.235,23261.36249040251,0.7258337581535418
baseline,1,4752.085083333333,0.6341666666666667,0.36583333333333334,11.953333333333333,0.5141666666666667,25473.036569220603,0.633365220553178
baseline,2,5079.93545,0.5575,0.4425,12.5875,0.88,27740.541083915934,0.5318045108998006
baseline,3,5400.1006,0.37833333333333335,0.6216666666666667,13.145,1.3225,30054.254635291352,0.37517190713325405
baseline,4,5717.087233333333,0.2725,0.7275,13.523333333333333,1.9441666666666666,32183.559518079794,0.28436598904541655
baseline,5,6043.763558333333,0.2325,0.7675,13.795833333333333,2.671666666666667,34215.552536541494,0.2104279927554092
baseline,6,6353.220341666667,0.15416666666666667,0.8458333333333333,14.028333333333334,3.4391666666666665,36280.854903132684,0.15149500355350146
baseline,7,6673.801858333333,0.11083333333333334,0.8891666666666667,14.1825,4.285,38271.53467930179,0.1067894647828004
tuition subsidy,0,2446.2047999999995,0.78,0.22,11.2325,0.235,23261.36249040251,0.7911315305560623
tuition subsidy,1,2752.0850833333334,0.71,0.29,12.0125,0.455,25573.252480347655,0.7100975794377905
tuition subsidy,2,3079.93545,0.63,0.37,12.7225,0.745,27988.1966074486,0.6144797649197398
tuition subsidy,3,3400.1005999999998,0.445,0.555,13.3525,1.115,30469.55715494921,0.4550614836025964
tuition subsidy,4,3717.0872333333327,0.3466666666666667,0.6533333333333333,13.7975,1.67,32769.572745863836,0.3493477943437871
tuition subsidy,5,4043.763558333333,0.2808333333333333,0.7191666666666666,14.144166666666667,2.3233333333333333,35006.47675532501,0.2588494608697692
tuition subsidy,6,4353.220341666667,0.18166666666666667,0.8183333333333334,14.425,3.0425,37234.54594352196,0.1810084831307289
tuition subsidy,7,4673.801858333333,0.13333333333333333,0.8666666666666667,14.606666666666667,3.8608333333333333,39341.59662218433,0.12583157663703556
