person_id,period,age,schooling_years,experience_years,tuition,wage_offer,choose_school,work,observed_wage,synthetic_ability,true_school_probability
1,0,18,11.0,0.0,4765.23,27482.75,1,0,,1.24521,0.83692
2,0,18,12.0,0.0,5021.06,22133.4,0,1,20884.52,0.00083,0.6685
3,0,18,11.0,0.0,4941.61,24828.43,1,0,,0.52516,0.78474
4,0,18,12.0,0.0,4653.06,28197.07,0,1,27731.61,0.82053,0.74668
5,0,18,10.0,0.0,4312.63,31749.89,0,1,30041.44,2.76201,0.93962
6,0,18,12.0,0.0,3438.17,27851.02,1,0,,0.9175,0.79019
7,0,18,11.0,1.0,4963.48,28949.09,1,0,,0.63472,0.74137
8,0,18,12.0,0.0,3479.64,23400.78,1,0,,-0.71092,0.64364
9,0,18,11.0,1.0,4808.25,28662.6,0,1,29132.99,0.4419,0.72886
10,0,18,11.0,0.0,4423.16,22527.43,1,0,,0.23275,0.77966
11,0,18,11.0,1.0,4504.81,32350.36,0,1,32672.59,0.30149,0.71621
12,0,18,12.0,0.0,4924.25,23236.05,0,1,22928.02,-0.75187,0.58477
13,0,18,10.0,0.0,4480.94,22791.9,1,0,,0.45578,0.84791
14,0,18,12.0,0.0,5130.21,20765.78,1,0,,-0.25196,0.64085
15,0,18,12.0,1.0,3476.56,34192.54,1,0,,0.14368,0.65303
16,0,18,11.0,0.0,4968.34,29964.71,1,0,,0.87528,0.80149
17,0,18,11.0,0.0,3557.01,30667.77,0,1,31020.83,1.03356,0.84409
18,0,18,12.0,0.0,3869.69,37202.9,1,0,,1.31926,0.7921
19,0,18,12.0,0.0,4707.74,30886.35,1,0,,1.89483,0.82573
20,0,18,12.0,0.0,4891.93,25691.01,1,0,,-0.26377,0.63469
21,0,18,12.0,1.0,3503.43,21979.88,1,0,,-0.62598,0.59994
22,0,18,10.0,0.0,3685.79,26715.91,1,0,,0.77537,0.87565
23,0,18,11.0,0.0,3666.62,25936.87,1,0,,1.18574,0.8583
24,0,18,11.0,0.0,5125.86,23825.7,0,1,23826.98,0.12097,0.74688
25,0,18,12.0,1.0,3732.53,26983.86,1,0,,0.21092,0.67045
26,0,18,12.0,0.0,4937.82,25735.29,1,0,,0.5452,0.71765
27,0,18,10.0,1.0,4795.96,21367.31,1,0,,-0.28154,0.74859
28,0,18,11.0,0.0,3412.39,24811.46,1,0,,1.12613,0.86138
29,0,18,12.0,1.0,3734.93,27989.43,1,0,,-0.48187,0.59031
30,0,18,11.0,1.0,3654.06,26370.73,1,0,,0.27894,0.75451
31,0,18,10.0,1.0,5088.19,17185.66,0,1,16762.92,-1.2892,0.64813
32,0,18,12.0,0.0,3505.83,26417.65,1,0,,-0.5566,0.65133
33,0,18,12.0,0.0,3109.64,25608.48,1,0,,-0.66247,0.65637
34,0,18,12.0,1.0,3697.09,25039.02,1,0,,-0.67612,0.57773
35,0,18,11.0,0.0,4689.27,18166.16,0,1,19966.03,-1.18961,0.64353
36,0,18,11.0,0.0,4953.41,23197.67,1,0,,0.59954,0.79362
37,0,18,12.0,1.0,4886.43,26475.69,1,0,,0.12638,0.62037
38,0,18,11.0,1.0,4218.88,20326.24,0,1,20421.28,-1.23398,0.59357
39,0,18,12.0,0.0,4801.16,24981.96,1,0,,-0.08552,0.65948
40,0,18,11.0,1.0,3621.15,30518.73,1,0,,1.41095,0.83502
41,0,18,10.0,0.0,3611.23,19825.77,1,0,,-0.1632,0.83145
42,0,18,11.0,0.0,5351.48,18853.33,0,1,18899.58,-1.38171,0.59491
43,0,18,10.0,0.0,4921.07,24978.57,1,0,,1.43153,0.88993
44,0,18,10.0,0.0,5003.83,24010.58,1,0,,0.62931,0.84597
45,0,18,12.0,0.0,5045.69,27824.49,0,1,28773.64,0.3274,0.68696
46,0,18,12.0,0.0,4350.56,32422.55,1,0,,2.22165,0.85211
47,0,18,12.0,0.0,3671.13,19126.65,1,0,,-1.41657,0.56786
48,0,18,11.0,1.0,3657.05,24602.07,1,0,,0.19512,0.75088
49,0,18,10.0,0.0,3656.77,19687.55,1,0,,-0.30893,0.82059
50,0,18,12.0,0.0,4546.15,27301.19,1,0,,1.09501,0.77567
51,0,18,10.0,0.0,5046.83,28773.9,1,0,,1.25812,0.87447
52,0,18,11.0,1.0,3693.14,37394.77,0,1,37959.15,1.63655,0.83698
53,0,18,12.0,0.0,4529.7,19272.9,1,0,,-1.7708,0.491
54,0,18,12.0,0.0,4840.14,25878.8,1,0,,0.26424,0.69251
55,0,18,11.0,0.0,4550.9,35350.81,0,1,34775.82,1.74815,0.86018
56,0,18,11.0,0.0,4500.53,31027.67,1,0,,0.92436,0.81477
57,0,18,12.0,0.0,4520.13,21317.88,1,0,,-0.41546,0.64372
58,0,18,12.0,0.0,4219.35,31796.81,1,0,,1.21126,0.78495
59,0,18,10.0,1.0,4446.53,24293.12,0,1,23129.36,-0.0029,0.77655
60,0,18,11.0,0.0,5073.87,27755.14,0,1,26854.77,0.96447,0.8097
61,0,18,11.0,1.0,3222.44,31298.55,0,1,31626.16,0.57225,0.78134
62,0,18,12.0,0.0,4643.92,22361.2,0,1,22089.03,-0.34878,0.64365
63,0,18,11.0,0.0,4630.84,24406.63,1,0,,0.67499,0.80537
64,0,18,12.0,0.0,5002.63,24294.68,0,1,23562.84,-0.60869,0.59529
65,0,18,10.0,0.0,4931.43,18458.17,1,0,,-0.83069,0.74663
66,0,18,11.0,0.0,4816.91,21228.7,1,0,,-0.13022,0.73924
67,0,18,12.0,0.0,3709.18,25132.9,0,1,25111.42,-0.45481,0.6585
68,0,18,12.0,0.0,4769.11,23034.47,0,1,24523.68,-0.08194,0.66623
69,0,18,11.0,0.0,4671.0,24063.57,1,0,,1.12865,0.83694
70,0,18,12.0,0.0,4481.23,26772.92,1,0,,-0.682,0.59974
71,0,18,11.0,0.0,4678.69,23707.07,1,0,,0.89808,0.82171
72,0,18,10.0,0.0,4702.87,25230.27,1,0,,-0.39306,0.77663
73,0,18,12.0,1.0,4634.04,19877.42,0,1,20205.63,-1.31894,0.47925
74,0,18,11.0,0.0,5248.48,22535.69,1,0,,-1.11287,0.61908
75,0,18,10.0,0.0,4522.36,20544.34,0,1,20711.06,-0.79078,0.75774
76,0,18,12.0,0.0,4833.29,23887.05,1,0,,0.38343,0.70973
77,0,18,12.0,0.0,5113.27,26214.08,1,0,,-0.09438,0.64383
78,0,18,12.0,0.0,4051.21,20373.28,0,1,19386.27,-1.09734,0.58676
79,0,18,10.0,1.0,3697.15,29173.71,1,0,,1.08522,0.86168
80,0,18,12.0,0.0,4035.97,22498.02,1,0,,-0.70529,0.62615
81,0,18,12.0,0.0,4922.41,20911.71,0,1,22258.94,0.30198,0.70608
82,0,18,10.0,1.0,4839.42,16677.7,1,0,,-1.52804,0.6323
83,0,18,12.0,0.0,3302.25,29729.49,1,0,,1.67382,0.844
84,0,18,11.0,0.0,5111.25,29588.71,1,0,,0.10897,0.73291
85,0,18,11.0,0.0,4805.12,23900.23,0,1,24667.4,-0.65246,0.68161
86,0,18,12.0,0.0,4791.57,24332.23,1,0,,-0.59777,0.60454
87,0,18,10.0,0.0,5089.65,18291.25,1,0,,-0.22379,0.79392
88,0,18,12.0,0.0,4976.51,25583.26,0,1,25344.46,-1.25693,0.51585
89,0,18,11.0,0.0,4924.18,21971.24,1,0,,-0.17895,0.7296
90,0,18,12.0,0.0,4927.96,18945.03,1,0,,-1.42658,0.51735
91,0,18,11.0,0.0,4518.31,20717.44,0,1,20232.27,-0.06671,0.75518
92,0,18,11.0,0.0,3471.96,24389.91,0,1,23342.2,0.07871,0.78911
93,0,18,11.0,0.0,3615.46,27450.1,1,0,,0.70416,0.82637
94,0,18,12.0,0.0,4796.4,30993.4,1,0,,1.08578,0.75985
95,0,18,11.0,0.0,3360.38,30982.32,1,0,,1.46937,0.87279
96,0,18,11.0,1.0,3428.63,28949.6,1,0,,1.49052,0.84677
