unit_id,period,mileage_state,replace,next_mileage_state,operating_cost,downtime_days,true_replacement_probability,synthetic_unit_quality
1,0,1,0,2,1.00277,0.0652,0.09809,0.12506
1,1,2,1,0,4.56428,0.28207,0.23858,0.12506
1,2,0,0,1,0.31169,0.0,0.02989,0.12506
1,3,1,0,3,0.75709,0.08396,0.09809,0.12506
1,4,3,0,4,2.17553,0.28168,0.42729,0.12506
1,5,4,0,5,2.89077,0.28498,0.60947,0.12506
1,6,5,0,6,3.46711,0.40473,0.7512,0.12506
1,7,6,1,1,4.13789,0.3441,0.84836,0.12506
1,8,1,0,2,1.13215,0.21442,0.09809,0.12506
1,9,2,0,3,1.46571,0.17476,0.23858,0.12506
1,10,3,1,0,4.20877,0.37085,0.42729,0.12506
1,11,0,0,1,0.37468,0.06781,0.02989,0.12506
1,12,1,0,2,0.93474,0.10487,0.09809,0.12506
1,13,2,0,3,1.71877,0.22433,0.23858,0.12506
1,14,3,1,0,4.62734,0.39881,0.42729,0.12506
1,15,0,0,1,0.43074,0.03003,0.02989,0.12506
1,16,1,0,1,1.16489,0.22854,0.09809,0.12506
1,17,1,0,2,1.20651,0.16689,0.09809,0.12506
1,18,2,0,3,1.48096,0.21213,0.23858,0.12506
1,19,3,1,1,4.40517,0.29658,0.42729,0.12506
1,20,1,0,2,0.82522,0.1328,0.09809,0.12506
1,21,2,0,3,1.21223,0.21907,0.23858,0.12506
1,22,3,1,0,3.93845,0.25325,0.42729,0.12506
1,23,0,0,1,0.84667,0.0,0.02989,0.12506
1,24,1,1,0,3.85255,0.35727,0.09809,0.12506
1,25,0,0,0,0.45901,0.18686,0.02989,0.12506
1,26,0,0,1,0.34692,0.0,0.02989,0.12506
1,27,1,0,2,1.06317,0.15694,0.09809,0.12506
1,28,2,0,3,1.70631,0.2403,0.23858,0.12506
1,29,3,1,0,4.55319,0.29069,0.42729,0.12506
1,30,0,0,2,0.56214,0.04778,0.02989,0.12506
1,31,2,1,0,4.08791,0.3963,0.23858,0.12506
1,32,0,0,2,0.47184,0.03722,0.02989,0.12506
1,33,2,0,4,1.40014,0.16498,0.23858,0.12506
2,0,2,0,3,1.53256,0.35496,0.23405,-0.00444
2,1,3,0,4,2.15172,0.25081,0.42276,-0.00444
2,2,4,0,6,2.91333,0.33164,0.60493,-0.00444
2,3,6,1,1,4.21255,0.35362,0.84383,-0.00444
2,4,1,0,2,0.24078,0.08428,0.09356,-0.00444
2,5,2,0,3,1.8813,0.29763,0.23405,-0.00444
2,6,3,0,4,2.16256,0.35925,0.42276,-0.00444
2,7,4,1,0,4.22872,0.41127,0.60493,-0.00444
2,8,0,0,0,0.49849,0.0389,0.02536,-0.00444
2,9,0,0,0,0.71384,0.16234,0.02536,-0.00444
2,10,0,0,2,0.01889,0.04084,0.02536,-0.00444
2,11,2,0,3,1.58579,0.2753,0.23405,-0.00444
2,12,3,0,5,2.13321,0.19574,0.42276,-0.00444
2,13,5,0,6,3.31641,0.48519,0.74667,-0.00444
2,14,6,1,0,4.3404,0.23142,0.84383,-0.00444
2,15,0,0,1,0.44842,0.03045,0.02536,-0.00444
2,16,1,0,2,0.83347,0.16222,0.09356,-0.00444
2,17,2,0,2,1.29232,0.13849,0.23405,-0.00444
2,18,2,0,3,1.5731,0.12033,0.23405,-0.00444
2,19,3,0,5,2.13108,0.30423,0.42276,-0.00444
2,20,5,1,1,4.47078,0.27759,0.74667,-0.00444
2,21,1,0,2,1.28326,0.2062,0.09356,-0.00444
2,22,2,0,4,2.02572,0.18252,0.23405,-0.00444
2,23,4,1,0,4.62356,0.32315,0.60493,-0.00444
2,24,0,0,1,0.16789,0.06957,0.02536,-0.00444
2,25,1,0,1,0.95573,0.17219,0.09356,-0.00444
2,26,1,0,2,1.20087,0.1404,0.09356,-0.00444
2,27,2,0,3,2.02558,0.14285,0.23405,-0.00444
2,28,3,1,0,4.69346,0.29095,0.42276,-0.00444
2,29,0,0,1,0.58189,0.0,0.02536,-0.00444
2,30,1,0,2,0.97716,0.1613,0.09356,-0.00444
2,31,2,0,4,1.58688,0.28921,0.23405,-0.00444
2,32,4,0,5,2.53566,0.35948,0.60493,-0.00444
2,33,5,1,1,3.99793,0.46257,0.74667,-0.00444
3,0,1,0,2,0.86232,0.03972,0.09942,0.16308
3,1,2,0,3,1.3554,0.12103,0.23991,0.16308
3,2,3,0,4,2.24805,0.28376,0.42862,0.16308
3,3,4,1,0,4.56067,0.42682,0.6108,0.16308
3,4,0,0,1,0.09344,0.09474,0.03122,0.16308
3,5,1,0,2,0.81379,0.21219,0.09942,0.16308
3,6,2,1,0,4.64636,0.20021,0.23991,0.16308
3,7,0,0,2,0.48398,0.0,0.03122,0.16308
3,8,2,0,2,1.25848,0.32704,0.23991,0.16308
3,9,2,0,4,1.65186,0.2007,0.23991,0.16308
3,10,4,1,0,4.29112,0.30661,0.6108,0.16308
3,11,0,0,1,0.52782,0.03152,0.03122,0.16308
3,12,1,1,0,4.61047,0.33233,0.09942,0.16308
3,13,0,0,1,0.3777,0.06375,0.03122,0.16308
3,14,1,1,0,4.58007,0.33225,0.09942,0.16308
3,15,0,0,1,0.67695,0.06681,0.03122,0.16308
3,16,1,0,2,1.01522,0.06457,0.09942,0.16308
3,17,2,0,2,1.5028,0.18849,0.23991,0.16308
3,18,2,1,1,4.15659,0.41346,0.23991,0.16308
3,19,1,0,1,0.95946,0.10184,0.09942,0.16308
3,20,1,0,3,1.08445,0.13035,0.09942,0.16308
3,21,3,0,3,1.89006,0.2667,0.42862,0.16308
3,22,3,1,1,4.01503,0.50068,0.42862,0.16308
3,23,1,0,2,0.91648,0.10847,0.09942,0.16308
3,24,2,0,3,1.56967,0.16803,0.23991,0.16308
3,25,3,1,0,4.79891,0.40763,0.42862,0.16308
3,26,0,0,1,0.25259,0.0,0.03122,0.16308
3,27,1,0,2,0.86414,0.06374,0.09942,0.16308
3,28,2,0,3,1.34172,0.11977,0.23991,0.16308
3,29,3,0,4,2.0869,0.27425,0.42862,0.16308
3,30,4,0,5,2.26829,0.40454,0.6108,0.16308
3,31,5,0,5,3.40604,0.36667,0.75253,0.16308
3,32,5,1,0,4.46521,0.20305,0.75253,0.16308
3,33,0,0,2,0.03495,0.01443,0.03122,0.16308
4,0,0,0,1,0.50659,0.0,0.02371,-0.05139
4,1,1,0,2,1.0704,0.10813,0.09191,-0.05139
4,2,2,1,1,4.49765,0.22749,0.23241,-0.05139
4,3,1,1,0,4.35784,0.39487,0.09191,-0.05139
4,4,0,0,2,0.39152,0.01673,0.02371,-0.05139
4,5,2,0,3,1.47495,0.11754,0.23241,-0.05139
4,6,3,1,0,4.12518,0.18417,0.42112,-0.05139
4,7,0,0,0,0.23797,0.0,0.02371,-0.05139
4,8,0,0,2,0.32633,0.11841,0.02371,-0.05139
4,9,2,0,2,1.53747,0.28755,0.23241,-0.05139
4,10,2,0,3,1.88367,0.19432,0.23241,-0.05139
4,11,3,0,3,2.38498,0.32017,0.42112,-0.05139
4,12,3,0,4,1.55074,0.26439,0.42112,-0.05139
4,13,4,1,0,4.6031,0.38046,0.60329,-0.05139
4,14,0,0,1,0.57593,0.05725,0.02371,-0.05139
4,15,1,0,2,0.55314,0.25561,0.09191,-0.05139
4,16,2,0,3,1.42264,0.09325,0.23241,-0.05139
4,17,3,0,4,2.14742,0.26913,0.42112,-0.05139
4,18,4,1,1,4.48834,0.23815,0.60329,-0.05139
4,19,1,0,2,0.80403,0.13695,0.09191,-0.05139
4,20,2,0,2,1.56866,0.22287,0.23241,-0.05139
4,21,2,0,2,1.38221,0.19827,0.23241,-0.05139
4,22,2,0,3,1.57272,0.24943,0.23241,-0.05139
4,23,3,0,5,2.27394,0.31462,0.42112,-0.05139
4,24,5,1,0,4.40507,0.22171,0.74502,-0.05139
4,25,0,0,2,0.29448,0.1759,0.02371,-0.05139
4,26,2,0,3,1.4882,0.18063,0.23241,-0.05139
4,27,3,1,0,4.50959,0.60949,0.42112,-0.05139
4,28,0,0,0,0.52006,0.00382,0.02371,-0.05139
4,29,0,0,2,0.33356,0.03588,0.02371,-0.05139
4,30,2,1,0,4.71345,0.29874,0.23241,-0.05139
4,31,0,0,0,0.58237,0.0,0.02371,-0.05139
4,32,0,0,1,0.672,0.0,0.02371,-0.05139
4,33,1,0,1,1.1449,0.14778,0.09191,-0.05139
5,0,2,0,3,1.46933,0.17299,0.22085,-0.38148
5,1,3,0,5,2.27531,0.21118,0.40956,-0.38148
5,2,5,1,1,4.43606,0.38357,0.73347,-0.38148
5,3,1,0,2,1.23858,0.23845,0.08036,-0.38148
5,4,2,0,3,1.25106,0.18077,0.22085,-0.38148
5,5,3,1,0,4.25296,0.32114,0.40956,-0.38148
5,6,0,0,1,0.48362,0.01638,0.01216,-0.38148
5,7,1,0,1,1.15549,0.13422,0.08036,-0.38148
5,8,1,0,2,0.92109,0.13937,0.08036,-0.38148
5,9,2,1,0,4.2481,0.45224,0.22085,-0.38148
