bootstrap_draw,replacement_cost,maintenance_slope,criterion
1,4.25,0.5285714285714286,0.0070672069914995365
2,4.25,0.5285714285714286,0.010793329720788631
3,4.55,0.5914285714285714,0.008464086957813132
4,4.4,0.56,0.004799293432431318
5,4.25,0.56,0.007028946842154175
6,4.25,0.56,0.003593968972245246
7,4.25,0.5285714285714286,0.006039274237645193
8,4.55,0.5914285714285714,0.008183949144979453
9,4.1,0.5285714285714286,0.007077631444326545
10,4.4,0.56,0.002974477185795532
11,4.85,0.6228571428571429,0.004188954306015131
12,4.699999999999999,0.6228571428571429,0.009977901777047611
13,4.25,0.56,0.005878674235831192
14,4.25,0.5285714285714286,0.004721689466566419
15,4.25,0.5285714285714286,0.012276215844496667
16,4.25,0.56,0.011895836566578449
17,4.4,0.56,0.009421900061346484
18,4.699999999999999,0.5914285714285714,0.008117523605014096
19,4.4,0.56,0.006527189404639685
20,3.95,0.49714285714285716,0.005691891227548926
21,4.4,0.5285714285714286,0.008769845659256282
22,4.25,0.5285714285714286,0.00864782145027587
23,4.4,0.56,0.008001463173083131
24,4.4,0.56,0.010979799957443952
25,4.55,0.56,0.012525137507275585
26,4.1,0.5285714285714286,0.00895037642727677
27,4.25,0.5285714285714286,0.010327160553850245
28,4.25,0.56,0.00981006707177355
29,4.699999999999999,0.5914285714285714,0.009100346980706915
30,4.85,0.6228571428571429,0.012201760460352127
