scenario,period,mean_tuition,school_rate,work_rate,mean_school_probability,mean_schooling_years,mean_experience_years,mean_predicted_wage_offer
baseline,0,4738.811549999999,0.684,0.316,0.6759545353800824,11.264,0.181,24066.88909205889
baseline,1,5093.15678,0.56,0.44,0.5882623994334252,11.948,0.497,26250.745639826797
baseline,2,5446.88241,0.491,0.509,0.49988600622541673,12.508,0.937,28431.582402009135
baseline,3,5819.84753,0.356,0.644,0.3668864045219542,12.999,1.446,30669.927978989934
baseline,4,6176.93429,0.309,0.691,0.29379442139483647,13.355,2.09,32835.37341810337
baseline,5,6520.60055,0.208,0.792,0.2292861351689432,13.664,2.781,35061.87817638864
baseline,6,6888.21949,0.175,0.825,0.17594881502590207,13.872,3.573,37221.01264574982
tuition subsidy,0,2738.8115499999994,0.735,0.265,0.7407044288008061,11.264,0.181,24066.88909205889
tuition subsidy,1,3093.1567800000003,0.64,0.36,0.6596477021723455,11.999,0.446,26327.48836889115
tuition subsidy,2,3446.88241,0.565,0.435,0.5722416533110054,12.639,0.806,28642.355319149465
tuition subsidy,3,3819.84753,0.427,0.573,0.4338574637263129,13.204,1.241,31028.956867807352
tuition subsidy,4,4176.93429,0.383,0.617,0.3487910442151134,13.631,1.814,33354.16056091777
tuition subsidy,5,4520.60055,0.246,0.754,0.26757783157342246,14.014,2.431,35765.90042020875
tuition subsidy,6,4888.21949,0.2,0.8,0.2038423423760847,14.26,3.185,38046.65808744631
