moment,data_value,model_value,gap,scaled_gap
school_rate_period_0,0.652,0.684,-0.03200000000000003,-0.03200000000000003
school_rate_period_1,0.547,0.56,-0.013000000000000012,-0.013000000000000012
school_rate_period_2,0.457,0.491,-0.033999999999999975,-0.033999999999999975
school_rate_period_3,0.328,0.356,-0.02799999999999997,-0.02799999999999997
school_rate_period_4,0.233,0.309,-0.07599999999999998,-0.07599999999999998
school_rate_period_5,0.186,0.208,-0.021999999999999992,-0.021999999999999992
school_rate_period_6,0.136,0.175,-0.03899999999999998,-0.03899999999999998
final_mean_schooling_years,13.667,14.047,-0.3800000000000008,-0.1900000000000004
final_mean_experience_years,3.778,4.398,-0.6199999999999997,-0.30999999999999983
final_mean_observed_wage_workers,37768.5490162037,39442.353573278066,-1673.8045570743634,-0.16738045570743634
