person_id,period,age,schooling_years,experience_years,tuition,wage_offer,choose_school,work,observed_wage,synthetic_ability,true_school_probability
1,0,18,11.0,0.0,5281.85,30672.5,1,0,,0.84587,0.7092
2,0,18,11.0,0.0,4669.26,26398.69,1,0,,0.89311,0.75332
3,0,18,11.0,1.0,4732.0,25971.41,0,1,24963.75,-0.40242,0.5863
4,0,18,11.0,1.0,4734.29,29273.96,1,0,,0.85906,0.69258
5,0,18,12.0,0.0,5365.09,17480.94,1,0,,-1.44914,0.47257
6,0,18,12.0,0.0,5137.45,22266.56,1,0,,-1.25224,0.47136
7,0,18,12.0,0.0,4988.32,32935.3,1,0,,0.25242,0.5822
8,0,18,12.0,0.0,5079.47,24066.42,1,0,,-0.63884,0.52792
9,0,18,12.0,0.0,3749.01,20842.12,1,0,,-0.08876,0.66553
10,0,18,11.0,0.0,3618.73,20341.72,0,1,19106.54,-0.52199,0.70589
11,0,18,11.0,0.0,3537.96,21754.13,0,1,19494.85,1.75902,0.85969
12,0,18,11.0,0.0,5041.96,24008.25,1,0,,2.03622,0.82837
13,0,18,11.0,1.0,3723.22,23244.57,0,1,21491.48,-0.1929,0.66806
14,0,18,11.0,0.0,3830.06,22908.67,0,1,22198.69,-0.20939,0.71078
15,0,18,10.0,0.0,3510.33,21586.5,1,0,,0.28375,0.82243
16,0,18,11.0,1.0,3647.82,20463.76,0,1,20517.81,-1.17824,0.59164
17,0,18,10.0,0.0,4925.64,21572.37,0,1,21675.0,-0.30186,0.73189
18,0,18,12.0,0.0,5338.62,30069.77,1,0,,0.36867,0.58919
19,0,18,11.0,1.0,5378.24,20272.03,0,1,21089.5,-0.98476,0.52775
20,0,18,12.0,0.0,3733.78,22679.6,1,0,,-0.35334,0.63029
21,0,18,12.0,1.0,5510.96,32624.27,1,0,,0.82381,0.56278
22,0,18,10.0,0.0,3653.14,21800.21,1,0,,-0.54923,0.75934
23,0,18,12.0,0.0,5228.18,28304.88,0,1,27895.53,-0.26119,0.53779
24,0,18,12.0,0.0,4733.61,23515.54,0,1,22895.32,-0.0515,0.60835
25,0,18,11.0,0.0,4965.77,24437.42,1,0,,1.59007,0.80095
26,0,18,11.0,0.0,5014.13,24599.04,0,1,24306.72,0.26637,0.69487
27,0,18,12.0,0.0,5485.76,34970.19,0,1,34599.92,1.09426,0.63481
28,0,18,11.0,0.0,3172.67,25942.58,1,0,,1.27468,0.82999
29,0,18,11.0,0.0,4991.17,24619.06,0,1,26364.63,-0.4861,0.62507
30,0,18,12.0,0.0,3531.25,32609.32,0,1,31355.52,1.05866,0.72458
31,0,18,12.0,0.0,5243.5,21943.65,0,1,23053.02,-0.31612,0.56594
32,0,18,11.0,0.0,5023.12,25274.79,1,0,,0.50676,0.71244
33,0,18,12.0,0.0,3793.2,21190.4,0,1,20532.09,-0.73415,0.59845
34,0,18,12.0,0.0,5460.57,17384.94,0,1,15482.86,-2.25491,0.38596
