city_id,city,region,productivity,housing_supply_elasticity,housing_capacity,amenity,population_seed,coastal,housing_constraint_index,baseline_population,baseline_wage,baseline_rent,baseline_utility,baseline_output,baseline_welfare
1,Harbor City,interior,0.740413,2.720633,106.591797,-0.731035,79.112253,0.0,0.0,44.485765,35.879171,10.269893,23.56238,3293.784616,1048.190509
2,Mesa Works,interior,0.984896,2.699414,74.536456,0.573594,81.56347,0.0,0.0,79.543251,41.55348,13.204714,29.954829,7834.185439,2382.704452
3,North Junction,interior,0.778043,2.781088,107.805316,0.452611,123.229748,0.0,0.0,59.664139,36.716122,11.191872,26.791561,4642.124915,1598.495447
4,Lakeport,interior,0.846956,2.952556,75.712296,-1.004053,79.568104,0.0,0.0,47.011072,38.609138,11.628057,24.169733,3981.630665,1136.245076
5,Cedar Valley,interior,0.83825,2.780424,99.497923,1.429125,67.9053,0.0,0.0,78.389023,38.063521,12.271029,29.794042,6570.956661,2335.525822
6,Bay Ridge,interior,0.940733,3.068011,98.381765,0.490908,78.702853,0.0,0.0,78.532928,40.815371,12.375697,29.814216,7387.852035,2341.397705
7,Prairie Hub,interior,1.088327,2.88316,96.967386,0.120616,71.438755,0.0,0.036301,92.210268,44.094278,12.851698,31.580305,10035.492265,2912.028383
8,South Forge,interior,1.032352,3.026941,117.965057,-0.164854,119.450353,0.0,0.0,84.706319,43.178159,12.069957,30.646611,8744.67679,2595.961592
9,Riverbend,interior,1.054565,2.805112,121.942968,0.859188,94.649344,0.0,0.013375,107.166034,43.436545,12.608579,33.233691,11301.353446,3561.522901
10,Pine Metro,interior,1.056087,2.651438,104.924136,-0.289798,95.994599,0.0,0.037005,83.646561,43.593001,12.273445,30.508122,8833.808576,2551.899486
11,Capital Flats,interior,0.929566,2.856486,93.327228,-0.081986,106.906823,0.0,0.0,68.561997,40.632579,12.082378,28.320641,6373.293141,1941.719711
12,Stone Coast,high-productivity coast,1.204938,1.788658,57.8382,1.854788,88.567531,1.0,0.313161,109.281029,45.678941,17.423677,33.448669,13167.690803,3655.304997
13,Summit Tech,interior,1.098001,3.133581,99.284148,0.266491,106.120659,0.0,0.019491,96.64317,44.277493,12.926869,32.096799,10611.430844,3101.936438
14,East Market,high-productivity coast,1.234003,1.90475,87.955933,0.421795,70.913484,1.0,0.331005,103.790902,46.83939,15.138737,32.88168,12807.827064,3412.819221
15,Milltown,high-productivity coast,1.129316,1.538399,80.865187,1.541004,74.303663,1.0,0.259215,105.324785,44.588368,15.860125,33.043055,11894.500567,3480.252659
16,West Anchor,high-productivity coast,1.312467,1.9011,101.957839,0.429816,83.683326,1.0,0.415889,119.421645,48.328183,15.106885,34.424784,15673.699302,4111.064277
17,Desert Gate,high-productivity coast,1.194964,1.519607,82.847361,0.061707,55.897429,1.0,0.315445,90.848429,46.159542,14.915684,31.416636,10856.059073,2854.15205
18,Old Port,high-productivity coast,1.311958,2.001976,96.200504,-0.92718,64.401479,1.0,0.346919,93.181855,48.556342,14.264637,31.695602,12225.064806,2953.454944
