city_id,city,region,productivity,housing_supply_elasticity,housing_constraint_index,equilibrium_population,equilibrium_wage,equilibrium_rent,equilibrium_utility,equilibrium_output
1,Harbor City,interior,0.740413,2.720633,0.0,44.485751,35.879166,10.269893,23.562375,3293.782806
2,Mesa Works,interior,0.984896,2.699414,0.0,79.543229,41.553473,13.204713,29.954824,7834.180779
3,North Junction,interior,0.778043,2.781088,0.0,59.664182,36.71613,11.191874,26.791567,4642.129901
4,Lakeport,interior,0.846956,2.952556,0.0,47.011082,38.60914,11.628058,24.169734,3981.631764
5,Cedar Valley,interior,0.83825,2.780424,0.0,78.389096,38.063531,12.271032,29.79405,6570.965983
6,Bay Ridge,interior,0.940733,3.068011,0.0,78.53293,40.81537,12.375697,29.814215,7387.8519
7,Prairie Hub,interior,1.088327,2.88316,0.036301,92.21028,44.094279,12.851699,31.580305,10035.493752
8,South Forge,interior,1.032352,3.026941,0.0,84.706281,43.178151,12.069956,30.646604,8744.66987
9,Riverbend,interior,1.054565,2.805112,0.013375,107.166077,43.436548,12.60858,33.233694,11301.359409
10,Pine Metro,interior,1.056087,2.651438,0.037005,83.646513,43.592991,12.273443,30.508114,8833.799464
11,Capital Flats,interior,0.929566,2.856486,0.0,68.561951,40.632568,12.082376,28.320632,6373.285862
12,Stone Coast,high-productivity coast,1.204938,1.788658,0.313161,109.280997,45.678933,17.423675,33.448664,13167.682638
13,Summit Tech,interior,1.098001,3.133581,0.019491,96.643165,44.277491,12.926868,32.096797,10611.429158
14,East Market,high-productivity coast,1.234003,1.90475,0.331005,103.79092,46.839392,15.138738,32.88168,12807.830609
15,Milltown,high-productivity coast,1.129316,1.538399,0.259215,105.324739,44.58836,15.860123,33.043048,11894.491307
16,West Anchor,high-productivity coast,1.312467,1.9011,0.415889,119.421626,48.32818,15.106884,34.42478,15673.694262
17,Desert Gate,high-productivity coast,1.194964,1.519607,0.315445,90.848459,46.159544,14.915686,31.416638,10856.063796
18,Old Port,high-productivity coast,1.311958,2.001976,0.346919,93.181897,48.556348,14.264639,31.695605,12225.073467
