city_id,city,observed_baseline_population,model_baseline_population,observed_baseline_wage,model_baseline_wage,observed_baseline_rent,model_baseline_rent,fit_note
1,Harbor City,44.485765,44.485751,35.879171,35.879166,10.269893,10.269893,Baseline moments are generated by the teaching model; publishable work would need external validation.
2,Mesa Works,79.543251,79.543229,41.55348,41.553473,13.204714,13.204713,Baseline moments are generated by the teaching model; publishable work would need external validation.
3,North Junction,59.664139,59.664182,36.716122,36.71613,11.191872,11.191874,Baseline moments are generated by the teaching model; publishable work would need external validation.
4,Lakeport,47.011072,47.011082,38.609138,38.60914,11.628057,11.628058,Baseline moments are generated by the teaching model; publishable work would need external validation.
5,Cedar Valley,78.389023,78.389096,38.063521,38.063531,12.271029,12.271032,Baseline moments are generated by the teaching model; publishable work would need external validation.
6,Bay Ridge,78.532928,78.53293,40.815371,40.81537,12.375697,12.375697,Baseline moments are generated by the teaching model; publishable work would need external validation.
7,Prairie Hub,92.210268,92.21028,44.094278,44.094279,12.851698,12.851699,Baseline moments are generated by the teaching model; publishable work would need external validation.
8,South Forge,84.706319,84.706281,43.178159,43.178151,12.069957,12.069956,Baseline moments are generated by the teaching model; publishable work would need external validation.
9,Riverbend,107.166034,107.166077,43.436545,43.436548,12.608579,12.60858,Baseline moments are generated by the teaching model; publishable work would need external validation.
10,Pine Metro,83.646561,83.646513,43.593001,43.592991,12.273445,12.273443,Baseline moments are generated by the teaching model; publishable work would need external validation.
11,Capital Flats,68.561997,68.561951,40.632579,40.632568,12.082378,12.082376,Baseline moments are generated by the teaching model; publishable work would need external validation.
12,Stone Coast,109.281029,109.280997,45.678941,45.678933,17.423677,17.423675,Baseline moments are generated by the teaching model; publishable work would need external validation.
13,Summit Tech,96.64317,96.643165,44.277493,44.277491,12.926869,12.926868,Baseline moments are generated by the teaching model; publishable work would need external validation.
14,East Market,103.790902,103.79092,46.83939,46.839392,15.138737,15.138738,Baseline moments are generated by the teaching model; publishable work would need external validation.
15,Milltown,105.324785,105.324739,44.588368,44.58836,15.860125,15.860123,Baseline moments are generated by the teaching model; publishable work would need external validation.
16,West Anchor,119.421645,119.421626,48.328183,48.32818,15.106885,15.106884,Baseline moments are generated by the teaching model; publishable work would need external validation.
17,Desert Gate,90.848429,90.848459,46.159542,46.159544,14.915684,14.915686,Baseline moments are generated by the teaching model; publishable work would need external validation.
18,Old Port,93.181855,93.181897,48.556342,48.556348,14.264637,14.264639,Baseline moments are generated by the teaching model; publishable work would need external validation.
