city_id,city,region,productivity,housing_constraint_index,baseline_equilibrium_population,counterfactual_equilibrium_population,change_equilibrium_population,pct_change_equilibrium_population,baseline_equilibrium_wage,counterfactual_equilibrium_wage,change_equilibrium_wage,pct_change_equilibrium_wage,baseline_equilibrium_rent,counterfactual_equilibrium_rent,change_equilibrium_rent,pct_change_equilibrium_rent,baseline_equilibrium_utility,counterfactual_equilibrium_utility,change_equilibrium_utility,pct_change_equilibrium_utility,baseline_equilibrium_output,counterfactual_equilibrium_output,change_equilibrium_output,pct_change_equilibrium_output
1,Harbor City,interior,0.740413,0.0,44.485751,43.336603,-1.149147,-2.583181,35.879166,35.91188,0.032714,0.091179,10.269893,10.188126,-0.081766,-0.796175,23.562375,23.676855,0.11448,0.485861,3293.782806,3208.698442,-85.084364,-2.583181
2,Mesa Works,interior,0.984896,0.0,79.543229,77.491718,-2.051511,-2.579115,41.553473,41.586135,0.032662,0.078602,13.204713,13.122435,-0.082278,-0.623093,29.954824,30.069763,0.11494,0.38371,7834.180779,7632.128279,-202.052499,-2.579115
3,North Junction,interior,0.778043,0.0,59.664182,58.116199,-1.547983,-2.594492,36.71613,36.748989,0.032859,0.089496,11.191874,11.11153,-0.080344,-0.717876,26.791567,26.90477,0.113203,0.422533,4642.129901,4521.69019,-120.439711,-2.594492
4,Lakeport,interior,0.846956,0.0,47.011082,45.777262,-1.233819,-2.624529,38.60914,38.642385,0.033245,0.086106,11.628058,11.551492,-0.076566,-0.658457,24.169734,24.279544,0.109811,0.454331,3981.631764,3877.132689,-104.499075,-2.624529
5,Cedar Valley,interior,0.83825,0.0,78.389096,76.355393,-2.033703,-2.59437,38.063531,38.096389,0.032858,0.086323,12.271032,12.190672,-0.080359,-0.654869,29.79405,29.907267,0.113217,0.379998,6570.965983,6400.490787,-170.475195,-2.59437
6,Bay Ridge,interior,0.940733,0.0,78.53293,76.457143,-2.075787,-2.643206,40.81537,40.848854,0.033485,0.082039,12.375697,12.301481,-0.074216,-0.599691,29.814215,29.921916,0.1077,0.361239,7387.8519,7192.575747,-195.276153,-2.643206
7,Prairie Hub,interior,1.088327,0.036301,92.21028,90.292802,-1.917478,-2.079462,44.094279,44.145257,0.050978,0.115612,12.851699,12.731465,-0.120234,-0.935548,31.580305,31.751517,0.171212,0.542149,10035.493752,9826.809431,-208.684321,-2.079462
8,South Forge,interior,1.032352,0.0,84.706281,82.472834,-2.233447,-2.636695,43.178151,43.211552,0.033401,0.077356,12.069956,11.994921,-0.075035,-0.621668,30.646604,30.75504,0.108436,0.353827,8744.66987,8514.09956,-230.57031,-2.636695
9,Riverbend,interior,1.054565,0.013375,107.166077,104.595479,-2.570598,-2.398705,43.436548,43.476059,0.039511,0.090962,12.60858,12.5128,-0.09578,-0.759643,33.233694,33.368985,0.135291,0.40709,11301.359409,11030.273159,-271.086249,-2.398705
10,Pine Metro,interior,1.056087,0.037005,83.646513,81.971788,-1.674724,-2.002145,43.592991,43.643457,0.050466,0.115767,12.273443,12.144015,-0.129428,-1.054537,30.508114,30.688008,0.179894,0.589661,8833.799464,8656.933999,-176.865465,-2.002145
11,Capital Flats,interior,0.929566,0.0,68.561951,66.773815,-1.788136,-2.608059,40.632568,40.665602,0.033033,0.081298,12.082376,12.003738,-0.078638,-0.650845,28.320632,28.432303,0.111671,0.39431,6373.285862,6207.06683,-166.219032,-2.608059
12,Stone Coast,high-productivity coast,1.204938,0.313161,109.280997,112.883672,3.602675,3.296708,45.678933,45.837033,0.1581,0.346111,17.423675,16.822622,-0.601053,-3.449637,33.448664,34.207818,0.759153,2.269607,13167.682638,13601.782643,434.100005,3.296708
13,Summit Tech,interior,1.098001,0.019491,96.643165,94.344966,-2.298199,-2.378025,44.277491,44.320904,0.043413,0.098048,12.926868,12.83266,-0.094208,-0.72878,32.096797,32.234419,0.137622,0.428771,10611.429158,10359.08673,-252.342428,-2.378025
14,East Market,high-productivity coast,1.234003,0.331005,103.79092,107.283153,3.492233,3.364681,46.839392,47.007092,0.167699,0.35803,15.138738,14.540048,-0.59869,-3.95469,32.88168,33.648069,0.766389,2.330749,12807.830609,13238.773214,430.942605,3.364681
15,Milltown,high-productivity coast,1.129316,0.259215,105.324739,108.333309,3.00857,2.856471,44.58836,44.719753,0.131393,0.29468,15.860123,15.279343,-0.58078,-3.661887,33.043048,33.755221,0.712173,2.155287,11894.491307,12234.253947,339.762639,2.856471
16,West Anchor,high-productivity coast,1.312467,0.415889,119.421626,125.095268,5.673643,4.750934,48.32818,48.527646,0.199466,0.412733,15.106884,14.393418,-0.713467,-4.722791,34.42478,35.337713,0.912933,2.651965,15673.694262,16418.341149,744.646887,4.750934
17,Desert Gate,high-productivity coast,1.194964,0.315445,90.848459,94.443606,3.595147,3.957301,46.159544,46.311014,0.15147,0.328145,14.915686,14.237881,-0.677805,-4.544245,31.416638,32.245913,0.829276,2.639606,10856.063796,11285.670955,429.60716,3.957301
18,Old Port,high-productivity coast,1.311958,0.346919,93.181897,96.384161,3.202264,3.436573,48.556348,48.7324,0.176052,0.362572,14.264639,13.666653,-0.597986,-4.192084,31.695605,32.469642,0.774037,2.442097,12225.073467,12645.197091,420.123624,3.436573
