market_id,product_id,product,price,share,own_price_elasticity,implied_markup,recovered_marginal_cost,markup_rate,recovery_note
1,1,M01-P1,2.60713,0.017643,-2.945285,0.885188,1.721942,0.339526,Single-product logit pricing rule; no ownership matrix or random coefficients.
1,2,M01-P2,2.230476,0.015595,-2.525031,0.883346,1.34713,0.396035,Single-product logit pricing rule; no ownership matrix or random coefficients.
1,3,M01-P3,2.712868,0.051778,-2.958244,0.917054,1.795814,0.338038,Single-product logit pricing rule; no ownership matrix or random coefficients.
1,4,M01-P4,3.251826,0.096755,-3.377755,0.962718,2.289108,0.296055,Single-product logit pricing rule; no ownership matrix or random coefficients.
1,5,M01-P5,2.884586,0.059134,-3.121092,0.924223,1.960363,0.320401,Single-product logit pricing rule; no ownership matrix or random coefficients.
2,1,M02-P1,2.719788,0.010707,-3.094249,0.878982,1.840806,0.32318,Single-product logit pricing rule; no ownership matrix or random coefficients.
2,2,M02-P2,2.789251,0.047154,-3.056368,0.912603,1.876648,0.327186,Single-product logit pricing rule; no ownership matrix or random coefficients.
2,3,M02-P3,2.764328,0.049463,-3.021718,0.91482,1.849508,0.330938,Single-product logit pricing rule; no ownership matrix or random coefficients.
2,4,M02-P4,3.324781,0.02909,-3.712251,0.895624,2.429157,0.269378,Single-product logit pricing rule; no ownership matrix or random coefficients.
2,5,M02-P5,2.545348,0.285334,-2.091922,1.216751,1.328597,0.478029,Single-product logit pricing rule; no ownership matrix or random coefficients.
3,1,M03-P1,3.062272,0.044994,-3.363142,0.910539,2.151733,0.297341,Single-product logit pricing rule; no ownership matrix or random coefficients.
3,2,M03-P2,2.62021,0.065175,-2.816837,0.930196,1.690014,0.355008,Single-product logit pricing rule; no ownership matrix or random coefficients.
3,3,M03-P3,2.916349,0.033682,-3.24082,0.89988,2.016469,0.308564,Single-product logit pricing rule; no ownership matrix or random coefficients.
3,4,M03-P4,2.533845,0.080612,-2.679009,0.945814,1.588031,0.373272,Single-product logit pricing rule; no ownership matrix or random coefficients.
3,5,M03-P5,3.092949,0.066337,-3.320918,0.931354,2.161595,0.301122,Single-product logit pricing rule; no ownership matrix or random coefficients.
4,1,M04-P1,2.628067,0.033534,-2.920911,0.899742,1.728325,0.342359,Single-product logit pricing rule; no ownership matrix or random coefficients.
4,2,M04-P2,2.638945,0.026097,-2.955571,0.892872,1.746073,0.338344,Single-product logit pricing rule; no ownership matrix or random coefficients.
4,3,M04-P3,2.958752,0.065569,-3.179443,0.930588,2.028164,0.31452,Single-product logit pricing rule; no ownership matrix or random coefficients.
4,4,M04-P4,2.880667,0.058157,-3.120088,0.923265,1.957402,0.320504,Single-product logit pricing rule; no ownership matrix or random coefficients.
4,5,M04-P5,2.729792,0.043121,-3.003875,0.908757,1.821035,0.332903,Single-product logit pricing rule; no ownership matrix or random coefficients.
5,1,M05-P1,2.218128,0.02522,-2.4865,0.892068,1.32606,0.402172,Single-product logit pricing rule; no ownership matrix or random coefficients.
5,2,M05-P2,1.869742,0.122119,-1.887612,0.990533,0.879209,0.52977,Single-product logit pricing rule; no ownership matrix or random coefficients.
5,3,M05-P3,2.933633,0.095457,-3.051619,0.961337,1.972296,0.327695,Single-product logit pricing rule; no ownership matrix or random coefficients.
5,4,M05-P4,2.624499,0.119673,-2.656964,0.987781,1.636718,0.376369,Single-product logit pricing rule; no ownership matrix or random coefficients.
5,5,M05-P5,3.433062,0.037504,-3.799932,0.903453,2.529609,0.263163,Single-product logit pricing rule; no ownership matrix or random coefficients.
6,1,M06-P1,2.988522,0.020085,-3.367752,0.887394,2.101128,0.296934,Single-product logit pricing rule; no ownership matrix or random coefficients.
6,2,M06-P2,2.264448,0.021453,-2.548234,0.888634,1.375814,0.392429,Single-product logit pricing rule; no ownership matrix or random coefficients.
6,3,M06-P3,3.018328,0.012045,-3.429248,0.880172,2.138156,0.291609,Single-product logit pricing rule; no ownership matrix or random coefficients.
6,4,M06-P4,2.957007,0.107984,-3.033334,0.974837,1.98217,0.32967,Single-product logit pricing rule; no ownership matrix or random coefficients.
