market_id,product_id,product,automation_exposure,baseline_price,counterfactual_price,price_change,baseline_share,counterfactual_share,share_change,baseline_quantity,counterfactual_quantity,baseline_employment,counterfactual_employment,employment_change,cost_shock_pct,pass_through
1,1,M01-P1,0.364756,2.60713,2.573019,-0.034111,0.017643,0.018007,0.000364,1989.843074,2030.875318,15.484485,15.803784,0.319299,-2.0,0.990466
1,2,M01-P2,0.773911,2.230476,2.124233,-0.106243,0.015595,0.017294,0.001699,1758.867889,1950.395096,10.108664,11.209428,1.100764,-8.0,0.985832
1,3,M01-P3,0.79661,2.712868,2.576662,-0.136206,0.051778,0.059429,0.007651,5839.528333,6702.415296,27.390875,31.438349,4.047474,-8.0,0.948079
1,4,M01-P4,0.536399,3.251826,3.209214,-0.042612,0.096755,0.09972,0.002965,10912.101741,11246.508672,65.873747,67.892474,2.018727,-2.0,0.930748
1,5,M01-P5,0.313162,2.884586,2.846828,-0.037758,0.059134,0.060607,0.001473,6669.198402,6835.32824,29.342514,30.073462,0.730948,-2.0,0.963035
2,1,M02-P1,0.700122,2.719788,2.574031,-0.145757,0.010707,0.012401,0.001694,1214.617014,1406.837772,7.508409,8.696663,1.188254,-8.0,0.989762
2,2,M02-P2,0.286463,2.789251,2.752693,-0.036558,0.047154,0.048171,0.001017,5349.423811,5464.785531,20.641345,21.086476,0.445131,-2.0,0.974015
2,3,M02-P3,0.518429,2.764328,2.728334,-0.035994,0.049463,0.050497,0.001034,5611.352267,5728.639582,25.234077,25.76152,0.527443,-2.0,0.973066
2,4,M02-P4,0.575154,3.324781,3.136299,-0.188482,0.02909,0.035391,0.006301,3300.133508,4014.906327,22.689595,27.603926,4.914331,-8.0,0.969896
2,5,M02-P5,0.378462,2.545348,2.521857,-0.023491,0.285334,0.287139,0.001805,32369.753521,32574.466201,186.323699,187.501885,1.178186,-2.0,0.884065
3,1,M03-P1,0.514308,3.062272,3.020037,-0.042235,0.044994,0.045832,0.000838,4046.701147,4122.046686,19.22988,19.587925,0.358045,-2.0,0.981427
