market_id,product_id,product,market_size,market_income_index,quality,automation_exposure,labor_intensity,cost_shifter,marginal_cost_truth,price,share,outside_share,quantity,employment
1,1,M01-P1,112781.0,0.017947,-1.074296,0.364756,0.778176,-0.077677,1.854576,2.60713,0.017643,0.759095,1989.843074,15.484485
1,2,M01-P2,112781.0,0.017947,-1.892717,0.773911,0.574726,-0.271711,1.680587,2.230476,0.015595,0.759095,1758.867889,10.108664
1,3,M01-P3,112781.0,0.017947,0.351118,0.79661,0.46906,0.160719,1.760849,2.712868,0.051778,0.759095,5839.528333,27.390875
1,4,M01-P4,112781.0,0.017947,2.014022,0.536399,0.603676,0.543917,1.957511,3.251826,0.096755,0.759095,10912.101741,65.873747
1,5,M01-P5,112781.0,0.017947,0.898573,0.313162,0.439971,0.191939,1.75484,2.884586,0.059134,0.759095,6669.198402,29.342514
2,1,M02-P1,113445.0,-0.196341,-1.263723,0.700122,0.618171,0.552692,1.951148,2.719788,0.010707,0.578251,1214.617014,7.508409
2,2,M02-P2,113445.0,-0.196341,0.845476,0.286463,0.385861,0.539516,1.819161,2.789251,0.047154,0.578251,5349.423811,20.641345
2,3,M02-P3,113445.0,-0.196341,0.810537,0.518429,0.449697,-0.293063,1.587846,2.764328,0.049463,0.578251,5611.352267,25.234077
2,4,M02-P4,113445.0,-0.196341,0.941752,0.575154,0.687536,1.176233,2.188832,3.324781,0.02909,0.578251,3300.133508,22.689595
2,5,M02-P5,113445.0,-0.196341,2.77028,0.378462,0.57561,-1.796414,1.176026,2.545348,0.285334,0.578251,32369.753521,186.323699
3,1,M03-P1,89939.0,-0.333572,0.881827,0.514308,0.475199,0.859684,1.959773,3.062272,0.044994,0.7092,4046.701147,19.22988
3,2,M03-P2,89939.0,-0.333572,0.651829,0.722166,0.541923,-0.324408,1.617561,2.62021,0.065175,0.7092,5861.742622,31.766119
3,3,M03-P3,89939.0,-0.333572,0.329807,0.380387,0.713707,-0.056435,1.797794,2.916349,0.033682,0.7092,3029.367792,21.620804
3,4,M03-P4,89939.0,-0.333572,0.812183,0.663049,0.418617,-0.579565,1.468093,2.533845,0.080612,0.7092,7250.128727,30.350243
3,5,M03-P5,89939.0,-0.333572,1.374106,0.711923,0.572887,0.333408,1.845093,3.092949,0.066337,0.7092,5966.287528,34.180098
4,1,M04-P1,75961.0,-0.26118,-0.365666,0.95,0.535294,0.079035,1.748808,2.628067,0.033534,0.773521,2547.284105,13.635452
4,2,M04-P2,75961.0,-0.26118,-0.52286,0.371968,0.554727,0.154838,1.783753,2.638945,0.026097,0.773521,1982.382979,10.996804
4,3,M04-P3,75961.0,-0.26118,1.093479,0.513499,0.706557,-0.023863,1.810076,2.958752,0.065569,0.773521,4980.708112,35.191535
4,4,M04-P4,75961.0,-0.26118,0.815533,0.548696,0.74734,-0.345636,1.729539,2.880667,0.058157,0.773521,4417.666761,33.014971
4,5,M04-P5,75961.0,-0.26118,0.232809,0.458069,0.621672,-0.221181,1.700247,2.729792,0.043121,0.773521,3275.492009,20.362814
5,1,M05-P1,82991.0,0.12729,-0.870545,0.251683,0.753527,-1.079056,1.529325,2.218128,0.02522,0.600027,2093.002967,15.771335
5,2,M05-P2,82991.0,0.12729,0.567599,0.526586,0.598901,-3.278477,0.740466,1.869742,0.122119,0.600027,10134.81358,60.6975
5,3,M05-P3,82991.0,0.12729,1.813809,0.552115,0.372396,0.052169,1.681695,2.933633,0.095457,0.600027,7922.061208,29.501458
5,4,M05-P4,82991.0,0.12729,1.644062,0.567038,0.352061,-1.1164,1.296569,2.624499,0.119673,0.600027,9931.756487,34.965792
5,5,M05-P5,82991.0,0.12729,1.264948,0.893293,0.629132,1.369261,2.244369,3.433062,0.037504,0.600027,3112.516895,19.581828
6,1,M06-P1,152522.0,1.552504,-0.481382,0.510209,0.518375,0.768588,2.105255,2.988522,0.020085,0.724879,3063.391424,15.879868
6,2,M06-P2,152522.0,1.552504,-1.461818,0.499966,0.582808,-1.011402,1.571096,2.264448,0.021453,0.724879,3272.055228,19.069794
6,3,M06-P3,152522.0,1.552504,-1.010656,0.188981,0.817615,0.871451,2.302753,3.018328,0.012045,0.724879,1837.058888,15.020076
6,4,M06-P4,152522.0,1.552504,1.70845,0.19871,0.364017,-0.225833,1.702143,2.957007,0.107984,0.724879,16469.893909,59.953261
6,5,M06-P5,152522.0,1.552504,1.852118,0.245416,0.641646,-0.548388,1.751621,3.018832,0.113555,0.724879,17319.578706,111.130372
7,1,M07-P1,136595.0,-0.77157,0.727915,0.462384,0.465788,-0.941814,1.343077,2.392562,0.074921,0.64507,10233.864449,47.66809
7,2,M07-P2,136595.0,-0.77157,0.240217,0.511833,0.584373,0.259956,1.792865,2.771432,0.033456,0.64507,4569.880477,26.705135
7,3,M07-P3,136595.0,-0.77157,1.565379,0.143671,0.643293,0.700528,1.966255,3.166129,0.055496,0.64507,7580.511068,48.764913
7,4,M07-P4,136595.0,-0.77157,1.642508,0.563462,0.461692,-0.368272,1.524358,2.816642,0.095808,0.64507,13086.858194,60.420925
7,5,M07-P5,136595.0,-0.77157,1.522985,0.513019,0.675285,-0.391083,1.634535,2.731888,0.095249,0.64507,13010.527902,87.858095
8,1,M08-P1,113844.0,0.239008,-0.249239,0.767765,0.596046,1.063619,2.137304,3.169775,0.017626,0.689753,2006.583609,11.960168
8,2,M08-P2,113844.0,0.239008,1.668979,0.585672,0.543074,-0.285385,1.676488,2.890284,0.104644,0.689753,11913.105232,64.696921
8,3,M08-P3,113844.0,0.239008,0.954942,0.668465,0.717775,-0.272738,1.776621,2.904783,0.059949,0.689753,6824.887133,48.987311
8,4,M08-P4,113844.0,0.239008,0.211616,0.589323,0.443644,-0.535724,1.541693,2.371811,0.060995,0.689753,6943.953807,30.806404
8,5,M08-P5,113844.0,0.239008,0.731819,0.428885,0.727838,-1.05185,1.532839,2.614679,0.067032,0.689753,7631.190929,55.542688
9,1,M09-P1,79384.0,-0.965004,0.071869,0.652369,0.666572,1.070082,2.08184,3.092871,0.021821,0.685618,1732.199198,11.546355
9,2,M09-P2,79384.0,-0.965004,2.703984,0.316266,0.60525,-0.3618,1.589911,2.964593,0.184232,0.685618,14625.107849,88.518407
9,3,M09-P3,79384.0,-0.965004,0.054215,0.524123,0.570285,0.88277,1.968943,3.003707,0.023242,0.685618,1845.056446,10.522072
9,4,M09-P4,79384.0,-0.965004,-1.168416,0.257139,0.547943,0.674965,1.890157,2.569263,0.013993,0.685618,1110.791193,6.086504
9,5,M09-P5,79384.0,-0.965004,1.517479,0.05,0.573617,0.384861,1.811445,2.941514,0.071095,0.685618,5643.7801,32.373694
10,1,M10-P1,90217.0,-1.947565,-0.480778,0.378722,0.661949,-0.956141,1.352302,2.229962,0.034344,0.703421,3098.427462,20.510025
10,2,M10-P2,90217.0,-1.947565,0.247126,0.534785,0.479418,0.96025,1.865155,2.85074,0.030616,0.703421,2762.061608,13.24182
10,3,M10-P3,90217.0,-1.947565,1.19028,0.493995,0.636168,0.880604,1.92588,3.169256,0.043936,0.703421,3963.731647,25.215982
10,4,M10-P4,90217.0,-1.947565,0.248651,0.220045,0.685963,-1.873139,1.07207,2.021132,0.074724,0.703421,6741.408055,46.243562
10,5,M10-P5,90217.0,-1.947565,1.675173,0.622381,0.526522,-0.564569,1.40312,2.699335,0.112959,0.703421,10190.829203,53.656918
11,1,M11-P1,114953.0,2.311687,1.325031,0.05,0.907503,-0.680544,1.916288,3.094582,0.075256,0.773713,8650.86492,78.506896
11,2,M11-P2,114953.0,2.311687,-0.435469,0.253964,0.697146,0.612421,2.21434,3.040453,0.021131,0.773713,2429.075412,16.934202
11,3,M11-P3,114953.0,2.311687,0.708632,0.091351,0.653336,-0.648487,1.786754,2.905813,0.058291,0.773713,6700.771428,43.778528
11,4,M11-P4,114953.0,2.311687,-1.015846,0.347623,0.503832,0.625081,2.112069,2.779557,0.018482,0.773713,2124.591359,10.70438
11,5,M11-P5,114953.0,2.311687,0.993135,0.101057,0.62085,0.415671,2.109417,3.181151,0.053126,0.773713,6107.010631,37.915401
12,1,M12-P1,127327.0,0.31203,-1.097823,0.05,0.626402,-1.010846,1.496013,2.192109,0.027195,0.769166,3462.684309,21.690307
12,2,M12-P2,127327.0,0.31203,-0.073339,0.113029,0.817618,-2.450928,1.140355,1.975855,0.078527,0.769166,9998.551309,81.749913
12,3,M12-P3,127327.0,0.31203,0.282024,0.388618,0.65509,0.537374,2.007222,3.08551,0.030558,0.769166,3890.890942,25.488849
12,4,M12-P4,127327.0,0.31203,0.020412,0.558482,0.515825,0.639291,1.963239,2.766908,0.037186,0.769166,4734.825915,24.423419
12,5,M12-P5,127327.0,0.31203,1.78497,0.05,0.754644,1.069452,2.232241,3.49831,0.057368,0.769166,7304.510165,55.123054
