feature,selected_outcome_equation,selected_treatment_equation,selected_union,outcome_lasso_coefficient,treatment_lasso_coefficient
experience_years,True,False,True,0.0668499563705689,0.0
experience_years_sq,False,True,True,0.0,0.002858412929861613
local_unemployment,True,False,True,-0.012577508633958671,0.0
log_completed_tasks,True,True,True,0.031009507002904182,0.0029229592504813194
market_thickness,True,True,True,0.013948366957429245,-0.042932286726975855
occupation:admin,True,False,True,-0.06775017297093403,0.0
occupation:data,True,True,True,0.05618080804950407,0.015233703901144506
occupation:operations,True,True,True,-0.02674252652753215,-0.007807713623386206
occupation:software,True,True,True,0.05520918974225208,-0.007120421639400789
occupation:writing,True,True,True,-0.009021532360398212,0.0015095148215422804
prior_log_wage,True,True,True,0.15808463783945992,-0.037657012296949094
prior_wage_x_skill,True,False,True,0.1302175475278361,0.0
rating,True,True,True,0.030818041292301986,0.021675209945072656
region:Northeast,True,False,True,0.011469930955143988,0.0
region:South,True,True,True,-0.011182370520172152,0.011677338819322779
region:West,True,True,True,0.037465116570313435,-0.022731770037595543
repeat_client_share,False,True,True,0.0,0.03815831865809885
skill_score,True,True,True,0.023296180390236978,-0.0800972947812863
skill_x_thickness,True,False,True,0.026021124199391815,0.0
occupation:design,False,False,False,0.0,0.0
region:Midwest,False,False,False,0.0,0.0
