worker_id,fold,log_hourly_wage,high_client_concentration,predicted_outcome_nuisance,predicted_treatment_nuisance,outcome_residual,treatment_residual
1,3,5.5322413830150765,0.0,5.329171672914412,0.4790425806976848,0.20306971010066466,-0.4790425806976848
2,2,6.065628073803367,0.0,5.79685422915739,0.3833823713598123,0.26877384464597753,-0.3833823713598123
3,0,5.901332412084011,1.0,5.646299452598891,0.3796238999015873,0.2550329594851206,0.6203761000984127
4,2,5.480581625853783,0.0,5.4569744403134175,0.33893728617539465,0.02360718554036545,-0.33893728617539465
5,0,5.211517691284085,1.0,5.751595164046726,0.3354466521085263,-0.5400774727626416,0.6645533478914737
6,0,6.01077400971546,0.0,5.820856792149363,0.3306422231094548,0.18991721756609703,-0.3306422231094548
7,0,5.620903291456661,1.0,5.608671098661712,0.3958009415119644,0.012232192794948915,0.6041990584880357
8,3,5.820568715212259,1.0,5.720572300702348,0.3444017709183178,0.09999641450991081,0.6555982290816822
9,2,5.135648783182117,1.0,5.186137648045307,0.493663914388015,-0.0504888648631896,0.506336085611985
10,4,5.727499120529446,0.0,5.65754233185835,0.47013436417326765,0.06995678867109589,-0.47013436417326765
11,4,6.197011161331394,0.0,5.90361404600818,0.31306795214421823,0.29339711532321466,-0.31306795214421823
12,2,5.9215004615597,0.0,5.473174270206323,0.32057827272418493,0.4483261913533765,-0.32057827272418493
13,1,6.044142403712335,1.0,6.223076440302701,0.39689306622830556,-0.17893403659036622,0.6031069337716944
14,1,5.39282984627132,1.0,5.393115192502197,0.5819038408774388,-0.00028534623087761446,0.41809615912256115
15,3,5.274967329693095,0.0,5.391541809011663,0.4287781043998551,-0.1165744793185679,-0.4287781043998551
16,1,5.54665829485126,0.0,5.326166765228544,0.6070483624257057,0.22049152962271545,-0.6070483624257057
17,1,4.772569102474759,0.0,5.012523172114747,0.676011661331783,-0.239954069639988,-0.676011661331783
18,0,5.589950712733271,0.0,5.522372193604757,0.4181567824373857,0.06757851912851365,-0.4181567824373857
19,1,4.9870259052182835,0.0,5.229556539873563,0.4738169863866792,-0.2425306346552798,-0.4738169863866792
20,4,5.010263550611423,0.0,5.138568334698815,0.6138143702151244,-0.12830478408739143,-0.6138143702151244
21,4,5.267002452911557,0.0,5.4128692139790395,0.4502944705951415,-0.14586676106748264,-0.4502944705951415
22,4,5.4361154140759105,1.0,5.52333173619505,0.4193819542328986,-0.0872163221191391,0.5806180457671014
23,1,5.563564478649893,1.0,5.522609479770284,0.35765008297139167,0.04095499887960852,0.6423499170286083
24,0,5.790167821615783,0.0,5.717978491045732,0.28284497541282855,0.07218933057005117,-0.28284497541282855
25,3,4.791690708482949,1.0,4.990019838003909,0.5416797488823702,-0.19832912952096038,0.45832025111762975
26,1,6.015919300517867,1.0,5.75923943658236,0.327091463190305,0.25667986393550724,0.672908536809695
27,3,5.74584438758706,1.0,5.62199867338504,0.4254563181374961,0.1238457142020204,0.5745436818625038
28,3,5.8006214523627815,0.0,5.925300728229552,0.28803205442167457,-0.12467927586677074,-0.28803205442167457
29,2,6.212834874865211,1.0,6.151336894044291,0.2520780974163479,0.06149798082092062,0.7479219025836521
30,0,4.706457139292017,0.0,5.162636099477111,0.511950865218698,-0.45617896018509363,-0.511950865218698
31,4,5.905969886520897,0.0,5.6838039900148125,0.427706749599912,0.22216589650608487,-0.427706749599912
