feature,selected_folds,selection_rate
experience_years,5,1.0
local_unemployment,5,1.0
log_completed_tasks,5,1.0
market_thickness,5,1.0
occupation:admin,5,1.0
occupation:data,5,1.0
occupation:operations,5,1.0
occupation:software,5,1.0
occupation:writing,5,1.0
prior_log_wage,5,1.0
prior_wage_x_skill,5,1.0
rating,5,1.0
region:South,5,1.0
region:West,5,1.0
repeat_client_share,5,1.0
skill_score,5,1.0
skill_x_thickness,5,1.0
region:Midwest,2,0.4
region:Northeast,2,0.4
experience_years_sq,1,0.2
occupation:design,1,0.2
