split_variable,threshold,left_effect_discovery,right_effect_discovery,absolute_effect_gap
prior_work_months,2.180481451655923,0.37907095439919924,0.23295027038167307,0.14612068401752618
baseline_risk,0.5658708476659804,0.2639473053010292,0.38223734269902176,0.11829003739799254
age,19.0,0.30943687167239636,0.1988777202023144,0.11055915147008197
prior_work_months,1.2983106224955243,0.38846064313171813,0.2787422775162001,0.10971836561551801
baseline_risk,0.3907668782667905,0.2310795744359756,0.340316129425746,0.10923655498977042
prior_work_months,3.3484863780241154,0.3417660763108211,0.26284435608794166,0.07892172022287947
neighborhood_unemployment,0.13649070934830881,0.2835150658265298,0.3353614724570969,0.05184640663056711
neighborhood_unemployment,0.1642250496166029,0.302024925648974,0.3269593342965875,0.024934408647613537
age,18.0,0.2969538677681722,0.3218482702747457,0.024894402506573543
baseline_risk,0.4561026690659722,0.2944820418822999,0.31056498556496537,0.01608294368266544
age,17.0,0.31496798935333015,0.30620415401488793,0.008763835338442216
neighborhood_unemployment,0.10023392691185015,0.320389432849791,0.31264995810070706,0.00773947474908393
