split,method,n,brier,mae,accuracy,precision,recall,false_positive_rate,false_negative_rate,positive_prediction_rate
test,dictionary_narrow,64.0,0.22395833333333337,0.3072916666666667,0.640625,0.875,0.2413793103448276,0.02857142857142857,0.7586206896551724,0.125
test,dictionary_broad,64.0,0.1076388888888889,0.16666666666666669,0.859375,0.9166666666666666,0.7586206896551724,0.05714285714285714,0.2413793103448276,0.375
test,embedding_similarity,64.0,0.1530575037720728,0.29434730349173355,0.75,0.6511627906976745,0.9655172413793104,0.42857142857142855,0.034482758620689655,0.671875
test,supervised_ridge,64.0,0.09490081752626667,0.23460155865372756,0.921875,0.9,0.9310344827586207,0.08571428571428572,0.06896551724137931,0.46875
test,constructed_measure,64.0,0.08975029727487183,0.22956698462456354,0.90625,0.896551724137931,0.896551724137931,0.08571428571428572,0.10344827586206896,0.453125
train,dictionary_narrow,192.0,0.2569444444444445,0.3333333333333333,0.6354166666666666,0.8695652173913043,0.22988505747126436,0.02857142857142857,0.7701149425287356,0.11979166666666667
train,dictionary_broad,192.0,0.12962962962962965,0.20833333333333334,0.8229166666666666,0.8840579710144928,0.7011494252873564,0.0761904761904762,0.2988505747126437,0.359375
train,embedding_similarity,192.0,0.15042887306710728,0.2951494341659982,0.78125,0.68,0.9770114942528736,0.38095238095238093,0.022988505747126436,0.6510416666666666
train,supervised_ridge,192.0,0.06970219119251368,0.19153992270363793,0.9322916666666666,0.9302325581395349,0.9195402298850575,0.05714285714285714,0.08045977011494253,0.4479166666666667
train,constructed_measure,192.0,0.08152223937435979,0.2164601776535338,0.921875,0.9090909090909091,0.9195402298850575,0.0761904761904762,0.08045977011494253,0.4583333333333333
validation,dictionary_narrow,64.0,0.24652777777777782,0.3125,0.640625,0.875,0.2413793103448276,0.02857142857142857,0.7586206896551724,0.125
validation,dictionary_broad,64.0,0.14583333333333331,0.23958333333333334,0.796875,0.9444444444444444,0.5862068965517241,0.02857142857142857,0.41379310344827586,0.28125
validation,embedding_similarity,64.0,0.11649125657232201,0.25828860475435306,0.84375,0.7714285714285715,0.9310344827586207,0.22857142857142856,0.06896551724137931,0.546875
validation,supervised_ridge,64.0,0.059976887824530895,0.18437911470221457,0.953125,0.9642857142857143,0.9310344827586207,0.02857142857142857,0.06896551724137931,0.4375
validation,constructed_measure,64.0,0.07372216249559138,0.21296206737042195,0.9375,0.9629629629629629,0.896551724137931,0.02857142857142857,0.10344827586206896,0.421875
