group_variable,group_value,n,mean_true_remote,mean_supervised_score,mean_absolute_error,brier,mae,accuracy,precision,recall,false_positive_rate,false_negative_rate,positive_prediction_rate
sector,education,8.0,0.375,0.5173524537506358,0.37100744413832776,0.18266137312796155,0.37100744413832776,0.75,0.6666666666666666,0.6666666666666666,0.2,0.3333333333333333,0.375
region,Midwest,15.0,0.4666666666666667,0.5198659660330117,0.3180723983058499,0.1577905405831423,0.3180723983058499,0.7333333333333333,0.7142857142857143,0.7142857142857143,0.25,0.2857142857142857,0.4666666666666667
job_family,administration,6.0,0.6666666666666666,0.5576565560184418,0.2779436991089346,0.10481975015605592,0.2779436991089346,1.0,1.0,1.0,0.0,0.0,0.6666666666666666
job_family,production,14.0,0.35714285714285715,0.40226653290461106,0.27316730017397534,0.1294010300399883,0.27316730017397534,0.8571428571428571,0.8,0.8,0.1111111111111111,0.2,0.35714285714285715
sector,retail,11.0,0.45454545454545453,0.5074891763620936,0.24902300466211427,0.0867916441751418,0.24902300466211427,1.0,1.0,1.0,0.0,0.0,0.45454545454545453
sector,public,8.0,0.75,0.7264127343630559,0.23155307739926523,0.10304745610371455,0.23155307739926523,0.875,0.8571428571428571,1.0,0.5,0.0,0.875
job_family,care,9.0,0.3333333333333333,0.39763903473041795,0.2298741765085419,0.0878142503137524,0.2298741765085419,0.8888888888888888,0.75,1.0,0.16666666666666666,0.0,0.4444444444444444
sector,health,13.0,0.46153846153846156,0.45333743301328133,0.228295713400735,0.08788658283949628,0.228295713400735,0.9230769230769231,1.0,0.8333333333333334,0.0,0.16666666666666666,0.38461538461538464
region,West,18.0,0.4444444444444444,0.4662236620840031,0.22800920313735368,0.10041989740829542,0.22800920313735368,0.9444444444444444,0.8888888888888888,1.0,0.1,0.0,0.5
job_family,operations,13.0,0.5384615384615384,0.602892989951264,0.22432414242447896,0.09252260875955182,0.22432414242447896,0.9230769230769231,0.875,1.0,0.16666666666666666,0.0,0.6153846153846154
job_family,analysis,13.0,0.6153846153846154,0.5494501746769619,0.22205204515155016,0.08381264361486045,0.22205204515155016,0.9230769230769231,1.0,0.875,0.0,0.125,0.5384615384615384
region,Northeast,19.0,0.3157894736842105,0.3875859283940142,0.21559325254092573,0.06639869544783152,0.21559325254092573,1.0,1.0,1.0,0.0,0.0,0.3157894736842105
sector,manufacturing,14.0,0.35714285714285715,0.4255119849715548,0.19355528912075282,0.08046205777463349,0.19355528912075282,0.9285714285714286,0.8333333333333334,1.0,0.1111111111111111,0.0,0.42857142857142855
job_family,customer,9.0,0.2222222222222222,0.3462301218266002,0.18341525885378293,0.06115920738819601,0.18341525885378293,1.0,1.0,1.0,0.0,0.0,0.2222222222222222
sector,finance,10.0,0.4,0.32698974822883187,0.17771442083544692,0.05642792161427779,0.17771442083544692,1.0,1.0,1.0,0.0,0.0,0.4
region,South,12.0,0.6666666666666666,0.5915671915384837,0.1702480270417385,0.05313840383965133,0.1702480270417385,1.0,1.0,1.0,0.0,0.0,0.6666666666666666
