feature,coefficient,abs_coefficient
dictionary_broad,0.05712287961474928,0.05712287961474928
embedding_similarity,0.05420835688349638,0.05420835688349638
text:distributed,0.04639639452219233,0.04639639452219233
text:online,0.04597176435298255,0.04597176435298255
text:meetings,0.03621321159261176,0.03621321159261176
text:virtual,0.03621321159261175,0.03621321159261175
text:cloud,0.03495021312135683,0.03495021312135683
text:work,0.02911789145076529,0.02911789145076529
text:records,0.02815456233170312,0.02815456233170312
text:home,0.027490826023618416,0.027490826023618416
region:South,-0.02700359095205469,0.02700359095205469
text:from,0.02676943122514725,0.02676943122514725
text:physical,-0.026206535167765187,0.026206535167765187
text:policy,0.024081334644179702,0.024081334644179702
text:client,0.02204611564828036,0.02204611564828036
text:asynchronous,0.02112249675782379,0.02112249675782379
text:communication,0.021122496757823656,0.021122496757823656
text:flexible,0.021035840817364346,0.021035840817364346
text:location,0.021035840817364294,0.021035840817364294
text:dashboards,0.02100131721004756,0.02100131721004756
text:schedule,0.02013687723512088,0.02013687723512088
text:hybrid,0.02013687723512087,0.02013687723512087
region:Northeast,0.019666001501790042,0.019666001501790042
log_firm_size,-0.01874609475964405,0.01874609475964405
text:updates,0.01854810200598102,0.01854810200598102
text:warehouse,-0.0181017385951052,0.0181017385951052
text:remote,0.01780372048718919,0.01780372048718919
text:documentation,0.017286994578751262,0.017286994578751262
text:compliance,-0.016745495554793217,0.016745495554793217
text:data,0.016704644120012012,0.016704644120012012
text:office,0.015659168731809264,0.015659168731809264
text:storefront,-0.015607032984154414,0.015607032984154414
text:team,0.014816489028835747,0.014816489028835747
text:manager,0.014647977880502426,0.014647977880502426
text:equipment,-0.014103237375889855,0.014103237375889855
