record_id,organization_type,region,flexible_service_capacity,source_text_score,dictionary_broad_score,embedding_similarity_score,image_infrastructure_score,audio_clarity_score,video_interaction_score,multimodal_index
1,training vendor,West,1,0.48417603120538555,0.0,0.9980997877927824,0.6578,0.7634,0.6265,0.46539341248215427
2,training vendor,Northeast,1,0.40232383145381656,0.0,0.9997053548111018,0.98,0.6736,0.3956,0.4401895325815267
3,city office,Northeast,0,0.09025891424899801,0.0,0.026131235535080344,0.0466,0.4222,0.4149,0.1476945656995992
4,city office,Northeast,1,0.5242653877961896,0.0,0.9933312905750913,0.6748,0.5228,0.5138,0.44045615511847586
5,clinic,Northeast,1,0.46730424066981,0.0,0.9997426368411138,0.6151,0.8927,0.4687,0.44724169626792404
6,school,South,1,0.43198167284364947,0.0,0.9983802591153704,0.5552,0.761,0.5742,0.4220386691374598
7,city office,South,1,0.407715963147542,0.0,0.9964413054458272,0.4467,0.98,0.5483,0.41897038525901675
8,clinic,South,0,0.04985853853907418,0.0,0.10454458124938965,0.531,0.2742,0.5003,0.19753641541562966
9,city office,South,1,0.34914032734279465,0.0,0.9992370077852247,0.969,0.5711,0.5811,0.42908113093711786
10,clinic,Northeast,0,0.11594059388287586,0.0,0.032502912141928186,0.1549,0.5352,0.8789,0.24809223755315035
11,school,West,0,0.06651059488093203,0.0,0.025813981155860588,0.495,0.66,0.3275,0.2226292379523728
12,school,South,1,0.27095166566763634,0.0,0.9925039049151239,0.98,0.5111,0.5665,0.39035766626705454
13,training vendor,South,1,0.23908713117808258,0.0,0.993089400171864,0.6523,0.713,0.6709,0.3662568524712331
14,training vendor,Northeast,1,0.4069646029136047,0.0,0.9995090302282752,0.98,0.5942,0.3256,0.4234178411654419
15,school,Midwest,0,0.242428563800533,0.0,0.8089684219217108,0.488,0.7038,0.3617,0.3016484255202132
16,clinic,South,0,0.0,0.0,0.027376768808642316,0.1957,0.536,0.2777,0.129776
17,clinic,Midwest,1,0.450447451914209,0.0,0.99927305443604,0.7616,0.5486,0.4719,0.4215979807656836
18,training vendor,West,1,0.26634833983400186,0.0,0.9994627404930474,0.4347,0.6802,0.4966,0.31792633593360076
19,workforce agency,Northeast,1,0.3528127387417852,0.0,0.9989980066228815,0.7739,0.6587,0.5442,0.4070000954967141
20,clinic,West,1,0.3404687198824422,0.0,0.9996721602845117,0.7935,0.936,0.1201,0.38314548795297687
21,school,Northeast,0,0.0008545464908986666,0.0,0.033089170953548575,0.2687,0.3543,0.6909,0.17297981859635947
22,training vendor,West,1,0.4793960193633157,0.0,0.999737784867629,0.98,0.3853,0.4079,0.4380214077453263
23,clinic,Midwest,1,0.2529872175027734,0.0,0.9974924889800948,0.7457,0.2802,0.6196,0.3272218870011094
24,clinic,South,1,0.29065065650444455,0.0,0.9967716036127533,0.3295,0.3069,0.2848,0.23953726260177782
25,city office,South,0,0.0,0.0,0.03253945603133329,0.4356,0.4602,0.437,0.17737399999999998
26,workforce agency,South,0,0.0,0.0,0.03214368058508982,0.755,0.3029,0.5372,0.219434
27,school,Midwest,1,0.4120479847002366,0.0,0.7669945699044526,0.5974,0.6513,0.5912,0.40944119388009464
28,clinic,Northeast,1,0.39047488623242427,0.0,0.9999260062807886,0.6251,0.9091,0.5149,0.4259839544929698
29,city office,Midwest,0,0.09135741738492448,0.0,0.011824901641070362,0.3898,0.3072,0.4059,0.18464396695396978
30,workforce agency,Northeast,1,0.6366157495075484,0.0,0.9989003775547959,0.5496,0.7288,0.8459,0.5345092998030194
31,training vendor,West,0,0.290250474437874,0.0,0.7090296715752665,0.7678,0.5752,0.2669,0.33499118977514963
32,city office,Midwest,0,0.21432625736615854,0.0,0.09487833558904263,0.7529,0.7824,0.3947,0.3438645029464634
33,workforce agency,Northeast,1,0.5372590034923121,0.0,0.9972383166343747,0.6778,0.5076,0.4299,0.4333726013969249
34,school,Midwest,0,0.06668702308711283,0.0,0.03460107636119414,0.3956,0.4653,0.6247,0.22306180923484512
35,training vendor,South,1,0.16671947408752036,0.0,0.9991391833108818,0.98,0.6846,0.5418,0.3662737896350081
