group_variable,group_value,profile,n,accuracy,precision,recall,f1,false_positive_rate,false_negative_rate,positive_rate,brier,tp,fp,fn,tn
document_type,case review,rubric_v1,37.0,0.7027027027027027,1.0,0.42105263157894735,0.5925925925925926,0.0,0.5789473684210527,0.21621621621621623,0.3312052413513514,8.0,0.0,11.0,18.0
document_type,job-match memo,rubric_v1,65.0,0.676923076923077,1.0,0.43243243243243246,0.6037735849056604,0.0,0.5675675675675675,0.24615384615384617,0.34146288030769234,16.0,0.0,21.0,28.0
document_type,resume screen,rubric_v1,78.0,0.717948717948718,0.875,0.25,0.3888888888888889,0.02,0.75,0.10256410256410256,0.25272302102564104,7.0,1.0,21.0,49.0
occupation_group,administration,rubric_v1,30.0,0.8,1.0,0.3333333333333333,0.5,0.0,0.6666666666666666,0.1,0.1864348053333333,3.0,0.0,6.0,21.0
occupation_group,analysis,rubric_v1,26.0,0.6538461538461539,1.0,0.3076923076923077,0.47058823529411764,0.0,0.6923076923076923,0.15384615384615385,0.3301092750000001,4.0,0.0,9.0,13.0
occupation_group,care,rubric_v1,22.0,0.7272727272727273,0.875,0.5833333333333334,0.7000000000000001,0.1,0.4166666666666667,0.36363636363636365,0.3161550604545455,7.0,1.0,5.0,9.0
occupation_group,customer,rubric_v1,41.0,0.7560975609756098,1.0,0.4117647058823529,0.5833333333333334,0.0,0.5882352941176471,0.17073170731707318,0.2558535382926829,7.0,0.0,10.0,24.0
occupation_group,operations,rubric_v1,34.0,0.6176470588235294,1.0,0.3157894736842105,0.4799999999999999,0.0,0.6842105263157895,0.17647058823529413,0.3770771170588235,6.0,0.0,13.0,15.0
occupation_group,production,rubric_v1,27.0,0.6296296296296297,1.0,0.2857142857142857,0.4444444444444445,0.0,0.7142857142857143,0.14814814814814814,0.3600060407407408,4.0,0.0,10.0,13.0
region,Midwest,rubric_v1,44.0,0.7272727272727273,1.0,0.4,0.5714285714285715,0.0,0.6,0.18181818181818182,0.2803645765909091,8.0,0.0,12.0,24.0
region,Northeast,rubric_v1,40.0,0.675,0.8333333333333334,0.29411764705882354,0.4347826086956522,0.043478260869565216,0.7058823529411765,0.15,0.28700799325000004,5.0,1.0,12.0,22.0
region,South,rubric_v1,47.0,0.7021276595744681,1.0,0.44,0.6111111111111112,0.0,0.56,0.23404255319148937,0.32730993106382983,11.0,0.0,14.0,22.0
region,West,rubric_v1,49.0,0.6938775510204082,1.0,0.3181818181818182,0.4827586206896552,0.0,0.6818181818181818,0.14285714285714285,0.3053499781632653,7.0,0.0,15.0,27.0
sector,education,rubric_v1,28.0,0.7142857142857143,1.0,0.3333333333333333,0.5,0.0,0.6666666666666666,0.14285714285714285,0.28753282321428575,4.0,0.0,8.0,16.0
sector,health,rubric_v1,28.0,0.75,1.0,0.5,0.6666666666666666,0.0,0.5,0.25,0.2781242442857143,7.0,0.0,7.0,14.0
sector,manufacturing,rubric_v1,33.0,0.696969696969697,0.8888888888888888,0.47058823529411764,0.6153846153846153,0.0625,0.5294117647058824,0.2727272727272727,0.31691077424242425,8.0,1.0,9.0,15.0
sector,public,rubric_v1,31.0,0.8064516129032258,1.0,0.5714285714285714,0.7272727272727273,0.0,0.42857142857142855,0.25806451612903225,0.2541052629032258,8.0,0.0,6.0,17.0
sector,retail,rubric_v1,31.0,0.5483870967741935,1.0,0.06666666666666667,0.125,0.0,0.9333333333333333,0.03225806451612903,0.37839434483870965,1.0,0.0,14.0,16.0
sector,technology,rubric_v1,29.0,0.6896551724137931,1.0,0.25,0.4,0.0,0.75,0.10344827586206896,0.28476329344827583,3.0,0.0,9.0,17.0
