source_tract_id,target_county_id,area_weight,population_weight,employment_weight,is_split_unit
T001,C01,1.0,1.0,1.0,0
T002,C01,1.0,1.0,1.0,0
T003,C01,1.0,1.0,1.0,0
T004,C01,1.0,1.0,1.0,0
T005,C01,1.0,1.0,1.0,0
T006,C01,0.5818,0.5835,0.5727,1
T006,C02,0.4182,0.4165,0.4273,1
T007,C02,1.0,1.0,1.0,0
T008,C02,1.0,1.0,1.0,0
T009,C02,1.0,1.0,1.0,0
T010,C02,1.0,1.0,1.0,0
T011,C02,1.0,1.0,1.0,0
T012,C01,0.7563,0.8768,0.9137,1
T012,C02,0.2437,0.1232,0.0863,1
T013,C02,1.0,1.0,1.0,0
T014,C03,1.0,1.0,1.0,0
T015,C03,1.0,1.0,1.0,0
T016,C03,1.0,1.0,1.0,0
T017,C03,1.0,1.0,1.0,0
T018,C03,1.0,1.0,1.0,0
T019,C04,0.6976,0.6929,0.7165,1
T019,C05,0.3024,0.3071,0.2835,1
T020,C04,1.0,1.0,1.0,0
T021,C04,1.0,1.0,1.0,0
T022,C04,1.0,1.0,1.0,0
T023,C04,1.0,1.0,1.0,0
T024,C03,1.0,1.0,1.0,0
T025,C04,0.6999,0.623,0.8627,1
T025,C05,0.3001,0.377,0.1373,1
T026,C05,1.0,1.0,1.0,0
T027,C05,1.0,1.0,1.0,0
T028,C05,1.0,1.0,1.0,0
T029,C05,1.0,1.0,1.0,0
T030,C05,1.0,1.0,1.0,0
T031,C06,1.0,1.0,1.0,0
T032,C06,1.0,1.0,1.0,0
T033,C06,0.7053,0.6297,0.7109,1
T033,C07,0.2947,0.3703,0.2891,1
T034,C06,1.0,1.0,1.0,0
T035,C06,1.0,1.0,1.0,0
T036,C05,1.0,1.0,1.0,0
T037,C06,1.0,1.0,1.0,0
T038,C07,1.0,1.0,1.0,0
T039,C07,1.0,1.0,1.0,0
T040,C07,1.0,1.0,1.0,0
T041,C07,0.5512,0.5648,0.5527,1
T041,C08,0.4488,0.4352,0.4473,1
T042,C07,1.0,1.0,1.0,0
T043,C08,1.0,1.0,1.0,0
T044,C08,1.0,1.0,1.0,0
T045,C08,1.0,1.0,1.0,0
T046,C08,1.0,1.0,1.0,0
T047,C08,1.0,1.0,1.0,0
T048,C07,1.0,1.0,1.0,0
T049,C08,0.7303,0.6224,0.617,1
T049,C09,0.2697,0.3776,0.383,1
T050,C09,1.0,1.0,1.0,0
T051,C09,1.0,1.0,1.0,0
T052,C09,1.0,1.0,1.0,0
T053,C09,1.0,1.0,1.0,0
T054,C09,1.0,1.0,1.0,0
T055,C10,1.0,1.0,1.0,0
T056,C10,1.0,1.0,1.0,0
T057,C10,1.0,1.0,1.0,0
T058,C10,0.6586,0.8298,0.708,1
T058,C01,0.3414,0.1702,0.292,1
T059,C10,1.0,1.0,1.0,0
T060,C10,1.0,1.0,1.0,0
