tract_id,county_id,cz_id,x_coord,y_coord,population_1990,baseline_employment_1990,low_income_share_1990,black_share_1990,geocode_quality,jitter_radius_miles,employment_growth_2000_2010,emp_manufacturing_1990,emp_apparel_1990,emp_logistics_1990,emp_health_1990,emp_business_1990,emp_retail_1990
T001,C01,CZ01,13.3018,29.9847,2855,1603,0.3612,0.0804,rooftop,0.1,-0.07334,1133,314,35,20,26,75
T002,C01,CZ01,19.1351,34.1541,2004,1256,0.2857,0.1345,zip_centroid,2.6,-0.00485,349,90,442,255,57,63
T003,C01,CZ01,12.5593,25.9071,2298,1127,0.5188,0.1056,street,0.7,-0.06057,464,202,234,83,70,74
T004,C01,CZ01,16.2092,27.9023,1913,781,0.3788,0.0957,rooftop,0.1,-0.02249,187,132,89,97,142,134
T005,C01,CZ01,23.678,37.0829,2592,1504,0.4033,0.1064,rooftop,0.1,-0.07174,1065,147,113,37,111,31
T006,C01,CZ01,23.3276,29.8847,3245,1465,0.2682,0.1137,zip_centroid,2.6,-0.03083,799,331,23,117,166,29
T007,C02,CZ01,29.4154,31.9067,3358,1342,0.3157,0.0823,street,0.7,-0.03333,641,222,125,122,83,149
T008,C02,CZ01,13.4647,44.6161,3746,2247,0.4085,0.1219,rooftop,0.1,-0.04061,1215,452,229,9,210,132
T009,C02,CZ01,16.6173,37.517,3980,2608,0.4368,0.1788,rooftop,0.1,-0.05729,1307,243,76,8,253,721
T010,C02,CZ01,4.8099,38.808,1779,1181,0.3364,0.0965,rooftop,0.1,-0.04791,584,132,144,56,210,55
T011,C02,CZ01,15.5522,27.3957,2822,1651,0.2832,0.156,street,0.7,-0.00526,635,182,106,261,352,115
T012,C01,CZ01,12.6538,33.8969,3354,1898,0.2816,0.0656,rooftop,0.1,-0.00526,812,202,108,194,492,90
T013,C02,CZ02,37.1843,63.1163,2967,1534,0.3453,0.3099,street,0.7,-0.03761,350,472,44,134,105,429
T014,C03,CZ02,38.7853,73.5402,2573,996,0.3461,0.306,rooftop,0.1,-0.02733,118,229,130,324,3,192
T015,C03,CZ02,44.0903,69.5561,2067,857,0.4094,0.3851,rooftop,0.1,-0.07052,154,372,187,28,24,92
T016,C03,CZ02,42.8446,66.8279,983,510,0.4583,0.3372,rooftop,0.1,-0.08914,127,307,16,3,9,48
T017,C03,CZ02,35.6109,70.3472,1701,918,0.2985,0.405,street,0.7,-0.04231,160,479,33,143,24,79
T018,C03,CZ02,33.5626,55.1487,1756,921,0.4481,0.3756,rooftop,0.1,-0.04224,103,367,213,23,136,79
T019,C04,CZ02,41.2668,75.4334,4099,1754,0.3852,0.3266,rooftop,0.1,-0.03798,179,927,111,171,323,43
T020,C04,CZ02,37.7976,64.0178,2994,2008,0.4247,0.4462,rooftop,0.1,0.00171,227,608,240,219,49,665
T021,C04,CZ02,32.9667,72.7183,959,437,0.3164,0.3713,street,0.7,0.01897,16,119,96,23,7,176
T022,C04,CZ02,38.8168,68.8996,2023,1279,0.3621,0.3563,street,0.7,-0.05032,483,348,175,67,47,159
T023,C04,CZ02,37.2435,65.2564,3831,1599,0.4104,0.3336,rooftop,0.1,-0.05408,523,886,25,71,61,33
T024,C03,CZ02,49.7219,70.1713,1902,870,0.4682,0.3643,rooftop,0.1,-0.04435,300,273,24,11,21,241
T025,C04,CZ03,64.3179,22.4932,1475,855,0.1109,0.3406,street,0.7,0.02028,118,11,177,59,362,128
T026,C05,CZ03,60.869,24.2091,1063,551,0.1685,0.3285,rooftop,0.1,0.02167,50,25,255,41,168,12
T027,C05,CZ03,56.6079,36.2035,3308,1558,0.05,0.3744,zip_centroid,2.6,0.02881,59,25,370,123,476,505
T028,C05,CZ03,42.7072,25.2553,1468,654,0.2368,0.3272,rooftop,0.1,0.03326,13,41,276,190,96,38
T029,C05,CZ03,56.5616,30.5982,2286,1169,0.1349,0.3638,rooftop,0.1,0.02697,119,83,584,23,279,81
T030,C05,CZ03,51.777,20.1532,1330,786,0.144,0.3019,street,0.7,-0.00884,73,94,181,210,199,29
T031,C06,CZ03,54.3929,24.0777,1117,670,0.1259,0.3258,rooftop,0.1,-0.03454,168,45,241,41,58,117
T032,C06,CZ03,63.4115,30.1004,4156,1831,0.1812,0.3321,rooftop,0.1,-0.0194,210,622,396,101,207,295
T033,C06,CZ03,57.5784,33.4735,1107,505,0.202,0.3671,rooftop,0.1,0.00719,15,23,259,31,148,29
