tract_id,assigned_cz,nearest_cz,nearest_distance,second_nearest_cz,second_nearest_distance,edge_margin,near_edge_flag,split_unit_flag
T001,CZ01,CZ01,4.7355,CZ03,43.311529,38.576029,0,0
T002,CZ01,CZ01,2.570559,CZ03,37.998862,35.428302,0,0
T003,CZ01,CZ01,8.447302,CZ03,44.007791,35.560489,0,0
T004,CZ01,CZ01,5.377374,CZ03,40.332908,34.955534,0,0
T005,CZ01,CZ01,7.935446,CZ03,34.241641,26.306195,0,0
T006,CZ01,CZ01,7.411098,CZ03,33.300473,25.889375,0,1
T007,CZ01,CZ01,12.759777,CZ03,27.486354,14.726577,0,0
T008,CZ01,CZ01,11.820514,CZ02,34.686754,22.86624,0,0
T009,CZ01,CZ01,4.263729,CZ02,37.84671,33.582981,0,0
T010,CZ01,CZ01,13.147517,CZ02,45.024889,31.877372,0,0
T011,CZ01,CZ01,5.975609,CZ03,40.987534,35.011925,0,0
T012,CZ01,CZ01,4.123543,CZ02,43.127539,39.003996,0,1
T013,CZ02,CZ02,5.192691,CZ01,36.196909,31.004219,0,0
T014,CZ02,CZ02,5.633084,CZ04,34.928672,29.295588,0,0
T015,CZ02,CZ02,5.197127,CZ04,29.903112,24.705986,0,0
T016,CZ02,CZ02,3.845173,CZ04,31.610982,27.765809,0,0
T017,CZ02,CZ02,4.298045,CZ04,38.244574,33.946529,0,0
T018,CZ02,CZ02,13.942588,CZ01,27.618554,13.675967,0,0
T019,CZ02,CZ02,7.804382,CZ04,32.496812,24.692429,0,1
T020,CZ02,CZ02,4.131872,CZ04,37.181683,33.049811,0,0
T021,CZ02,CZ02,7.833037,CZ04,40.757464,32.924427,0,0
T022,CZ02,CZ02,1.037727,CZ04,35.216938,34.179211,0,0
T023,CZ02,CZ02,3.279567,CZ04,37.420529,34.140962,0,0
T024,CZ02,CZ02,10.801628,CZ04,24.240757,13.439129,0,0
T025,CZ03,CZ03,9.22876,CZ05,31.024359,21.795599,0,1
T026,CZ03,CZ03,5.414009,CZ05,33.009263,27.595253,0,0
T027,CZ03,CZ03,8.743741,CZ05,33.238248,24.494507,0,0
T028,CZ03,CZ03,14.007084,CZ01,27.183812,13.176728,0,0
T029,CZ03,CZ03,3.138252,CZ05,34.46303,31.324778,0,0
T030,CZ03,CZ03,8.721975,CZ01,37.418573,28.696598,0,0
T031,CZ03,CZ03,4.006095,CZ01,38.767708,34.761612,0,0
T032,CZ03,CZ03,7.36162,CZ05,28.153611,20.791991,0,0
T033,CZ03,CZ03,6.102525,CZ05,32.753674,26.651149,0,1
T034,CZ03,CZ03,1.32179,CZ05,36.262248,34.940457,0,0
T035,CZ03,CZ03,3.050165,CZ05,37.518352,34.468186,0,0
T036,CZ03,CZ03,3.797978,CZ05,32.091802,28.293824,0,0
T037,CZ04,CZ04,6.639159,CZ05,30.6882,24.049041,0,0
T038,CZ04,CZ04,3.161084,CZ02,35.211735,32.050651,0,0
T039,CZ04,CZ04,14.191566,CZ05,43.434862,29.243296,0,0
T040,CZ04,CZ04,12.037919,CZ05,24.908292,12.870373,0,0
T041,CZ04,CZ04,4.884693,CZ02,35.533666,30.648973,0,1
T042,CZ04,CZ04,11.694385,CZ02,25.84831,14.153925,0,0
T043,CZ04,CZ04,3.340056,CZ02,32.850476,29.51042,0,0
T044,CZ04,CZ04,8.196386,CZ05,39.535072,31.338687,0,0
T045,CZ04,CZ04,3.571996,CZ05,37.941783,34.369787,0,0
T046,CZ04,CZ04,5.84246,CZ05,31.71111,25.86865,0,0
T047,CZ04,CZ04,13.204399,CZ02,22.050696,8.846297,0,0
T048,CZ04,CZ04,5.268718,CZ05,32.072674,26.803955,0,0
T049,CZ05,CZ05,2.58808,CZ03,33.007359,30.419279,0,1
T050,CZ05,CZ05,8.127894,CZ03,31.944163,23.816269,0,0
T051,CZ05,CZ05,10.619122,CZ04,28.513352,17.894229,0,0
T052,CZ05,CZ05,7.374736,CZ04,29.746915,22.372179,0,0
T053,CZ05,CZ05,0.932269,CZ04,36.21073,35.278461,0,0
T054,CZ05,CZ05,3.56999,CZ03,34.972625,31.402635,0,0
T055,CZ05,CZ05,12.662633,CZ03,23.154446,10.491813,0,0
T056,CZ05,CZ05,6.620014,CZ03,37.94433,31.324315,0,0
T057,CZ05,CZ05,11.650324,CZ03,35.766671,24.116347,0,0
T058,CZ05,CZ05,13.350701,CZ04,35.779453,22.428752,0,1
T059,CZ05,CZ05,9.725567,CZ04,27.373103,17.647536,0,0
T060,CZ05,CZ05,5.81411,CZ03,33.646326,27.832216,0,0
