tract_id,geocode_quality,jitter_radius_miles,original_nearest_cz,masked_nearest_cz,nearest_cz_changed,distance_change_miles
T001,rooftop,0.1,CZ01,CZ01,0,-0.09994699405684049
T002,zip_centroid,2.6,CZ01,CZ01,0,1.834053928330396
T003,street,0.7,CZ01,CZ01,0,-0.27071661832553673
T004,rooftop,0.1,CZ01,CZ01,0,-0.011564592214066138
T005,rooftop,0.1,CZ01,CZ01,0,-0.09999873803455372
T006,zip_centroid,2.6,CZ01,CZ01,0,0.7772753192622188
T007,street,0.7,CZ01,CZ01,0,0.35206031323749265
T008,rooftop,0.1,CZ01,CZ01,0,-0.06590971412463276
T009,rooftop,0.1,CZ01,CZ01,0,0.026899978911157696
T010,rooftop,0.1,CZ01,CZ01,0,-0.011387976482987838
T011,street,0.7,CZ01,CZ01,0,-0.6454982476751132
T012,rooftop,0.1,CZ01,CZ01,0,0.08763391892187755
T013,street,0.7,CZ02,CZ02,0,0.3434687865693533
T014,rooftop,0.1,CZ02,CZ02,0,-0.06611885324571087
T015,rooftop,0.1,CZ02,CZ02,0,-0.03493847644692494
T016,rooftop,0.1,CZ02,CZ02,0,0.08301991660266328
T017,street,0.7,CZ02,CZ02,0,-0.6198577721396323
T018,rooftop,0.1,CZ02,CZ02,0,-0.0833032218624421
T019,rooftop,0.1,CZ02,CZ02,0,0.09999791848430917
T020,rooftop,0.1,CZ02,CZ02,0,-0.06916582906241064
T021,street,0.7,CZ02,CZ02,0,0.6746814342247855
T022,street,0.7,CZ02,CZ02,0,0.20387980265957206
T023,rooftop,0.1,CZ02,CZ02,0,0.09912407350671781
T024,rooftop,0.1,CZ02,CZ02,0,0.003584313041674392
T025,street,0.7,CZ03,CZ03,0,0.6996819556730216
T026,rooftop,0.1,CZ03,CZ03,0,0.07192101310873333
T027,zip_centroid,2.6,CZ03,CZ03,0,2.1150626372892862
T028,rooftop,0.1,CZ03,CZ03,0,-0.013446365785219072
T029,rooftop,0.1,CZ03,CZ03,0,0.07344897894813984
T030,street,0.7,CZ03,CZ03,0,0.3484057531182234
T031,rooftop,0.1,CZ03,CZ03,0,0.09351898666791669
T032,rooftop,0.1,CZ03,CZ03,0,-0.05337518263853891
T033,rooftop,0.1,CZ03,CZ03,0,-0.07619863232798796
T034,rooftop,0.1,CZ03,CZ03,0,-0.095317820656172
T035,street,0.7,CZ03,CZ03,0,-0.4118092722160558
T036,rooftop,0.1,CZ03,CZ03,0,0.09421571238465987
T037,street,0.7,CZ04,CZ04,0,-0.5915525540543891
T038,street,0.7,CZ04,CZ04,0,0.4831379980511996
T039,rooftop,0.1,CZ04,CZ04,0,-0.08349444648426463
T040,rooftop,0.1,CZ04,CZ04,0,0.06019030630196198
T041,zip_centroid,2.6,CZ04,CZ04,0,-2.5946114722432507
T042,rooftop,0.1,CZ04,CZ04,0,-0.09343038163032524
T043,rooftop,0.1,CZ04,CZ04,0,-0.051698618330902946
T044,rooftop,0.1,CZ04,CZ04,0,0.09999634984206729
T045,street,0.7,CZ04,CZ04,0,0.5675791133672901
T046,rooftop,0.1,CZ04,CZ04,0,-0.07938184039836926
T047,street,0.7,CZ04,CZ04,0,0.6769780025294185
T048,rooftop,0.1,CZ04,CZ04,0,0.048302280030304345
T049,street,0.7,CZ05,CZ05,0,0.39618932198567736
T050,rooftop,0.1,CZ05,CZ05,0,0.08513240700230718
T051,rooftop,0.1,CZ05,CZ05,0,-0.0314450301804623
T052,rooftop,0.1,CZ05,CZ05,0,0.01221264697500768
T053,street,0.7,CZ05,CZ05,0,0.6998195289497158
T054,rooftop,0.1,CZ05,CZ05,0,-0.09996966263006213
T055,rooftop,0.1,CZ05,CZ05,0,0.06307486952957575
T056,rooftop,0.1,CZ05,CZ05,0,-0.058241013164276545
T057,rooftop,0.1,CZ05,CZ05,0,0.051333116259041134
T058,street,0.7,CZ05,CZ05,0,-0.4781307814606066
T059,rooftop,0.1,CZ05,CZ05,0,-0.08966999864526137
T060,street,0.7,CZ05,CZ05,0,0.14710195750897537
