residence_tract_id,buffer_jobs_8_miles,buffer_jobs_15_miles,distance_decay_jobs,travel_time_jobs,generalized_cost_jobs,transit_dependency,black_share,kernel_minus_8_mile_buffer,travel_time_minus_distance_decay
R001,0.0,2400.0,1388.922421,1697.80124,3814.286968,1,0.4591,1388.922421,308.878819
R002,0.0,0.0,1373.054222,1721.496957,3957.378525,1,0.415,1373.054222,348.442735
R003,3900.0,3900.0,3405.405226,3313.112749,6042.704014,0,0.4547,-494.594774,-92.292477
R004,0.0,3900.0,2509.551848,2931.971776,5965.284203,0,0.3911,2509.551848,422.419928
R005,0.0,0.0,598.697722,917.194246,2521.493894,0,0.3892,598.697722,318.496525
R006,0.0,6000.0,2258.869093,2434.810903,4800.606486,1,0.4361,2258.869093,175.94181
R007,0.0,0.0,77.196104,200.04595,917.90655,1,0.326,77.196104,122.849846
R008,0.0,8400.0,3946.990166,4117.948181,7607.437357,0,0.3599,3946.990166,170.958016
R009,0.0,3900.0,2297.467018,2683.536972,5497.056886,1,0.3653,2297.467018,386.069954
R010,2400.0,2400.0,3114.712035,3142.834872,5906.374731,1,0.3468,714.712035,28.122837
R011,0.0,2400.0,2555.00815,2979.770594,6044.788078,0,0.4159,2555.00815,424.762444
R012,2400.0,2400.0,1665.079442,1829.102287,3877.600385,1,0.3897,-734.920558,164.022845
R013,2900.0,2900.0,3889.705614,3750.060787,6773.784628,1,0.4751,989.705614,-139.644827
R014,0.0,3900.0,1979.519395,2315.869882,4845.261197,0,0.3432,1979.519395,336.350487
R015,0.0,0.0,197.614483,394.022561,1482.795451,1,0.3587,197.614483,196.408079
R016,0.0,0.0,513.200644,824.978215,2414.735858,1,0.4157,513.200644,311.777571
R017,2400.0,2400.0,3014.554767,3142.731552,5987.651039,1,0.3492,614.554767,128.176785
R018,0.0,2400.0,2676.746153,2976.148345,5919.364132,0,0.3417,2676.746153,299.402192
R019,0.0,2400.0,1277.027027,1588.178308,3642.560202,1,0.3217,1277.027027,311.151281
R020,0.0,11300.0,4972.13756,4654.494082,7994.555547,1,0.434,4972.13756,-317.643479
R021,0.0,6200.0,4091.626162,4188.842639,7373.04702,0,0.1136,4091.626162,97.216477
R022,0.0,4300.0,3111.880185,3483.424563,6792.27272,0,0.129,3111.880185,371.544378
R023,0.0,6200.0,4399.48583,4368.521028,7508.417085,0,0.1884,4399.48583,-30.964802
R024,0.0,0.0,1837.492371,2408.20431,5243.697862,0,0.0351,1837.492371,570.711939
R025,0.0,0.0,3694.580972,3939.836944,7469.593222,1,0.1021,3694.580972,245.255972
R026,0.0,4300.0,2550.369696,2888.933633,5944.827298,0,0.1111,2550.369696,338.563937
R027,0.0,0.0,2202.948137,2907.21082,6372.558208,0,0.1053,2202.948137,704.262683
R028,0.0,3300.0,2045.272034,2417.630447,5195.794349,0,0.0675,2045.272034,372.358412
R029,0.0,0.0,2479.332231,3140.857208,6623.7265,0,0.1219,2479.332231,661.524978
R030,0.0,3300.0,2141.598885,2353.716931,4869.566681,0,0.1538,2141.598885,212.118046
R031,8400.0,8400.0,5998.155428,5321.307383,8839.717717,1,0.1088,-2401.844572,-676.848045
R032,0.0,0.0,1868.027735,2581.883144,5938.935983,0,0.1951,1868.027735,713.855408
R033,0.0,0.0,2745.520988,2946.886247,6280.551413,1,0.0799,2745.520988,201.365259
R034,0.0,6200.0,3800.771938,4016.164133,7245.574305,0,0.1414,3800.771938,215.392194
R035,0.0,5100.0,2981.872481,3401.660747,6863.933444,0,0.1445,2981.872481,419.788266
R036,0.0,0.0,2330.631144,3064.205258,6606.607236,0,0.0917,2330.631144,733.574114
R037,0.0,0.0,1850.346747,2662.330632,6198.386565,0,0.1752,1850.346747,811.983885
R038,0.0,0.0,2355.571054,2383.713621,5733.251744,1,0.171,2355.571054,28.142567
R039,0.0,5100.0,3068.571466,3508.767706,7043.804281,0,0.1234,3068.571466,440.196241
R040,0.0,0.0,2104.918188,2548.749371,5978.085061,1,0.0961,2104.918188,443.831183
