residence_tract_id,job_center_id,jobs,sector,suburban_center,outside_study_frame,distance_miles,travel_time_minutes,generalized_cost,within_8_miles,within_15_miles,kernel_weight,travel_time_weight,generalized_cost_weight
R001,J05,2400,retail,0,0,11.292178,22.744441,9.320418,0,1,0.323286,0.286234,0.432213
R001,J08,3900,health,0,0,30.711276,48.960223,20.447561,0,0,0.046369,0.06769,0.158773
R001,J01,8400,business,0,0,34.819444,54.50625,22.801542,0,0,0.030748,0.049895,0.12846
R002,J11,2900,public,0,0,16.647389,29.973975,12.388954,0,0,0.18924,0.192325,0.327913
R002,J05,2400,retail,0,0,20.769756,35.53917,14.75107,0,0,0.125309,0.141613,0.265114
R002,J01,8400,business,0,0,30.135447,48.182853,20.117611,0,0,0.049117,0.070647,0.163558
R003,J08,3900,health,0,0,5.701033,15.196395,6.116692,1,1,0.565467,0.433527,0.57666
R003,J12,2100,logistics,0,0,17.91669,31.687532,13.116263,0,0,0.166682,0.175027,0.307136
R003,J03,5100,health,0,0,24.732703,40.889149,17.021839,0,0,0.084309,0.105515,0.21611
R004,J08,3900,health,0,0,14.923457,27.646667,11.401141,0,1,0.224845,0.218588,0.358401
R004,J05,2400,retail,0,0,16.988077,30.433905,12.584168,0,0,0.182901,0.187521,0.322202
R004,J01,8400,business,0,0,23.678226,39.465605,16.417623,0,0,0.093684,0.114108,0.228188
R005,J05,2400,retail,0,0,20.620591,35.337798,14.665599,0,0,0.127192,0.143191,0.267161
R005,J11,2900,public,0,0,31.827095,50.466578,21.086925,0,0,0.041473,0.062308,0.149895
R005,J01,8400,business,0,0,41.730209,63.835783,26.76141,0,0,0.015406,0.029868,0.089948
R006,J08,3900,health,0,0,12.533708,24.420506,10.031815,0,1,0.285541,0.261028,0.405407
R006,J12,2100,logistics,0,0,12.823114,24.811203,10.197644,0,1,0.277395,0.255479,0.399402
R006,J03,5100,health,0,0,26.755535,43.619972,18.180921,0,0,0.068869,0.0908,0.194702
R007,J11,2900,public,0,0,46.916383,70.837117,29.733087,0,0,0.009172,0.020322,0.068839
R007,J05,2400,retail,0,0,49.921195,74.893614,31.454845,0,0,0.006791,0.016258,0.058958
R007,J01,8400,business,0,0,62.44682,91.803207,38.632028,0,0,0.001941,0.006415,0.030904
R008,J01,8400,business,0,0,12.542364,24.432192,10.036775,0,1,0.285294,0.26086,0.405226
R008,J05,2400,retail,0,0,17.591944,31.249125,12.930184,0,0,0.172184,0.179299,0.312323
R008,J08,3900,health,0,0,19.510707,33.839455,14.029635,0,0,0.142122,0.155491,0.282898
R009,J08,3900,health,0,0,13.864804,26.217485,10.794532,0,1,0.249954,0.236463,0.378512
R009,J05,2400,retail,0,0,19.268155,33.512009,13.890653,0,0,0.145611,0.158316,0.286459
R009,J12,2100,logistics,0,0,25.828015,42.367821,17.649453,0,0,0.075562,0.097273,0.204242
R010,J05,2400,retail,0,0,4.683537,13.822775,5.533667,1,1,0.626032,0.467548,0.607727
R010,J11,2900,public,0,0,21.18115,36.094553,14.986799,0,0,0.120258,0.137353,0.259548
R010,J01,8400,business,0,0,21.6578,36.738031,15.25992,0,0,0.11466,0.132577,0.253246
R011,J05,2400,retail,0,0,14.84814,27.544989,11.357984,0,1,0.226544,0.219814,0.359796
R011,J08,3900,health,0,0,16.935692,30.363184,12.554151,0,0,0.183862,0.188252,0.323074
R011,J01,8400,business,0,0,22.325753,37.639767,15.642657,0,0,0.107252,0.126162,0.244671
R012,J05,2400,retail,0,0,7.733889,17.94075,7.281518,1,1,0.461447,0.37279,0.519267
R012,J11,2900,public,0,0,31.379953,49.862936,20.830713,0,0,0.04337,0.064412,0.153391
