residence_tract_id,full_distance_decay_jobs,inside_frame_distance_decay_jobs,outside_centers_relevant,omitted_outside_access
R001,1388.922421,1388.466804,1,0.455617
R002,1373.054222,1371.137399,1,1.916824
R003,3405.405226,3403.436589,1,1.968636
R004,2509.551848,2507.781482,1,1.770366
R005,598.697722,598.298385,1,0.399336
R006,2258.869093,2257.508084,1,1.361008
R007,77.196104,76.890007,1,0.306098
R008,3946.990166,3942.614389,1,4.375777
R009,2297.467018,2296.059689,1,1.40733
R010,3114.712035,3113.05361,1,1.658425
R011,2555.00815,2553.173174,1,1.834975
R012,1665.079442,1664.573303,1,0.506139
R013,3889.705614,3884.573475,1,5.132139
R014,1979.519395,1978.633012,1,0.886384
R015,197.614483,196.492616,1,1.121866
R016,513.200644,511.96685,1,1.233794
R017,3014.554767,3012.478614,1,2.076153
R018,2676.746153,2675.176181,1,1.569972
R019,1277.027027,1276.189884,1,0.837143
R020,4972.13756,4966.580361,1,5.557199
R021,4091.626162,3909.420172,1,182.205991
R022,3111.880185,2795.288153,1,316.592031
R023,4399.48583,4196.106079,1,203.379751
R024,1837.492371,1812.524811,1,24.967559
R025,3694.580972,3682.053353,1,12.527619
R026,2550.369696,1820.607034,1,729.762662
R027,2202.948137,1977.830427,1,225.11771
R028,2045.272034,1839.38058,1,205.891454
R029,2479.332231,2272.340784,1,206.991447
R030,2141.598885,1907.211291,1,234.387594
R031,5998.155428,5986.26069,1,11.894738
R032,1868.027735,1595.280362,1,272.747373
R033,2745.520988,2711.859364,1,33.661624
R034,3800.771938,3636.956876,1,163.815062
R035,2981.872481,2948.371603,1,33.500878
R036,2330.631144,2161.082489,1,169.548655
R037,1850.346747,1688.196513,1,162.150234
R038,2355.571054,2220.758677,1,134.812377
R039,3068.571466,3040.204787,1,28.366679
R040,2104.918188,2020.697532,1,84.220656
