residence_tract_id,buffer_jobs_8_miles,buffer_jobs_15_miles,distance_decay_jobs,travel_time_jobs,generalized_cost_jobs,outside_frame_jobs_in_full_matrix,nearest_job_center_miles,mean_travel_time_to_jobs,x_coord,y_coord,resident_count,black_share,transit_dependency,geocode_quality,jitter_radius_miles,high_black_share
R001,0.0,2400.0,1388.922421,1697.80124,3814.286968,9400.0,11.292178,96.576392,13.3313,52.2365,2059,0.4591,1,street,0.7,1
R002,0.0,0.0,1373.054222,1721.496957,3957.378525,9400.0,16.647389,88.122388,29.1398,25.496,3292,0.415,1,zip_centroid,2.6,1
R003,3900.0,3900.0,3405.405226,3313.112749,6042.704014,9400.0,5.701033,82.378195,30.6472,77.6817,1300,0.4547,0,street,0.7,1
R004,0.0,3900.0,2509.551848,2931.971776,5965.284203,9400.0,14.923457,78.120831,27.6087,61.0355,3190,0.3911,0,zip_centroid,2.6,1
R005,0.0,0.0,598.697722,917.194246,2521.493894,9400.0,20.620591,99.645204,12.8382,26.5265,1264,0.3892,0,rooftop,0.1,1
R006,0.0,6000.0,2258.869093,2434.810903,4800.606486,9400.0,12.533708,93.573927,28.375,84.6397,1280,0.4361,1,street,0.7,1
R007,0.0,0.0,77.196104,200.04595,917.90655,9400.0,46.916383,123.160092,15.8627,-4.5425,961,0.326,1,rooftop,0.1,1
R008,0.0,8400.0,3946.990166,4117.948181,7607.437357,9400.0,12.542364,68.774411,36.7618,54.569,5038,0.3599,0,rooftop,0.1,1
R009,0.0,3900.0,2297.467018,2683.536972,5497.056886,9400.0,13.864804,85.24607,25.4394,63.9587,4276,0.3653,1,rooftop,0.1,1
R010,2400.0,2400.0,3114.712035,3142.834872,5906.374731,9400.0,4.683537,82.327188,26.6796,45.192,1631,0.3468,1,street,0.7,1
R011,0.0,2400.0,2555.00815,2979.770594,6044.788078,9400.0,14.84814,77.369048,27.8634,58.6414,1745,0.4159,0,rooftop,0.1,1
R012,2400.0,2400.0,1665.079442,1829.102287,3877.600385,9400.0,7.733889,95.96704,14.4187,43.4713,2128,0.3897,1,street,0.7,1
R013,2900.0,2900.0,3889.705614,3750.060787,6773.784628,9400.0,5.884362,74.30946,38.7965,35.7476,1220,0.4751,1,rooftop,0.1,1
R014,0.0,3900.0,1979.519395,2315.869882,4845.261197,9400.0,13.740439,87.78389,21.4765,71.568,851,0.3432,0,rooftop,0.1,1
R015,0.0,0.0,197.614483,394.022561,1482.795451,9400.0,37.148795,109.456485,28.4035,-0.7162,4462,0.3587,1,street,0.7,1
R016,0.0,0.0,513.200644,824.978215,2414.735858,9400.0,26.316095,99.047423,26.0496,13.7563,820,0.4157,1,rooftop,0.1,1
R017,2400.0,2400.0,3014.554767,3142.731552,5987.651039,9400.0,7.57302,80.618989,29.0792,42.3101,1382,0.3492,1,rooftop,0.1,1
R018,0.0,2400.0,2676.746153,2976.148345,5919.364132,9400.0,8.569657,78.363667,26.0938,52.5286,1877,0.3417,0,street,0.7,1
R019,0.0,2400.0,1277.027027,1588.178308,3642.560202,9400.0,13.634809,93.679863,20.103,31.4978,3310,0.3217,1,rooftop,0.1,1
R020,0.0,11300.0,4972.13756,4654.494082,7994.555547,9400.0,9.041582,70.803774,39.3171,46.4786,1312,0.434,1,rooftop,0.1,1
R021,0.0,6200.0,4091.626162,4188.842639,7373.04702,9400.0,9.627922,63.034548,77.241,25.9971,4811,0.1136,0,rooftop,0.1,0
R022,0.0,4300.0,3111.880185,3483.424563,6792.27272,9400.0,10.24861,60.528978,85.8225,43.2052,4184,0.129,0,rooftop,0.1,0
