residence_tract_id,x_coord,y_coord,resident_count,black_share,transit_dependency,geocode_quality,jitter_radius_miles
R001,13.3313,52.2365,2059,0.4591,1,street,0.7
R002,29.1398,25.496,3292,0.415,1,zip_centroid,2.6
R003,30.6472,77.6817,1300,0.4547,0,street,0.7
R004,27.6087,61.0355,3190,0.3911,0,zip_centroid,2.6
R005,12.8382,26.5265,1264,0.3892,0,rooftop,0.1
R006,28.375,84.6397,1280,0.4361,1,street,0.7
R007,15.8627,-4.5425,961,0.326,1,rooftop,0.1
R008,36.7618,54.569,5038,0.3599,0,rooftop,0.1
R009,25.4394,63.9587,4276,0.3653,1,rooftop,0.1
R010,26.6796,45.192,1631,0.3468,1,street,0.7
R011,27.8634,58.6414,1745,0.4159,0,rooftop,0.1
R012,14.4187,43.4713,2128,0.3897,1,street,0.7
R013,38.7965,35.7476,1220,0.4751,1,rooftop,0.1
R014,21.4765,71.568,851,0.3432,0,rooftop,0.1
R015,28.4035,-0.7162,4462,0.3587,1,street,0.7
R016,26.0496,13.7563,820,0.4157,1,rooftop,0.1
R017,29.0792,42.3101,1382,0.3492,1,rooftop,0.1
R018,26.0938,52.5286,1877,0.3417,0,street,0.7
R019,20.103,31.4978,3310,0.3217,1,rooftop,0.1
R020,39.3171,46.4786,1312,0.434,1,rooftop,0.1
R021,77.241,25.9971,4811,0.1136,0,rooftop,0.1
R022,85.8225,43.2052,4184,0.129,0,rooftop,0.1
R023,78.4136,25.7335,3439,0.1884,0,rooftop,0.1
R024,56.6669,17.6868,4659,0.0351,0,rooftop,0.1
R025,47.9999,64.5294,3238,0.1021,1,rooftop,0.1
R026,92.4049,55.8672,1105,0.1111,0,street,0.7
R027,80.4677,48.0029,927,0.1053,0,rooftop,0.1
R028,78.7632,76.6781,3785,0.0675,0,rooftop,0.1
R029,80.1067,43.1339,1432,0.1219,0,rooftop,0.1
R030,81.7719,80.6928,3370,0.1538,0,street,0.7
R031,47.2276,54.8303,3005,0.1088,1,rooftop,0.1
R032,80.7702,56.7849,4960,0.1951,0,rooftop,0.1
R033,59.0005,33.183,5133,0.0799,1,rooftop,0.1
R034,76.1164,26.446,5184,0.1414,0,rooftop,0.1
R035,58.6772,70.4968,2468,0.1445,0,rooftop,0.1
R036,77.5949,42.8552,4690,0.0917,0,zip_centroid,2.6
R037,75.544,53.5191,3974,0.1752,0,rooftop,0.1
R038,74.8513,40.2076,3083,0.171,1,rooftop,0.1
R039,56.8029,69.1082,4670,0.1234,0,rooftop,0.1
R040,68.0038,56.2895,4479,0.0961,1,rooftop,0.1
