job_center_id,center_name,x_coord,y_coord,jobs,sector,suburban_center,outside_study_frame
J01,downtown,48.0,49.0,8400,business,0,0
J02,airport logistics,86.0,22.0,6200,logistics,1,0
J03,north medical,55.0,82.0,5100,health,0,0
J04,south industrial,74.0,9.0,4700,manufacturing,1,0
J05,west retail,22.0,45.0,2400,retail,0,0
J06,outer tech park,111.0,67.0,5800,business,1,1
J07,east distribution,96.0,42.0,4300,logistics,1,0
J08,college hospital,35.0,74.0,3900,health,0,0
J09,suburban mall,90.0,77.0,3300,retail,1,0
J10,outer assembly,108.0,19.0,3600,manufacturing,1,1
J11,city services,44.0,33.0,2900,public,0,0
J12,northwest warehouse,16.0,88.0,2100,logistics,0,0
