county_id,neighbor_county_id,distance_miles,same_pair,neighbor_treated_policy_side
C01W,C01E,5.9082,1,0
C01W,C02W,16.8472,0,0
C01W,C02E,26.0228,0,1
C01W,C03W,35.967,0,1
C01W,C03E,40.8279,0,0
C01W,C04W,53.2675,0,0
C01W,C04E,58.5102,0,1
C01W,C05W,71.3902,0,1
C01W,C05E,77.8737,0,0
C01W,C06W,89.8659,0,0
C01W,C06E,97.1828,0,1
C01W,C07W,17.6637,0,1
C01W,C07E,20.9429,0,0
C01W,C08W,26.9356,0,0
C01W,C08E,32.5536,0,1
C01W,C09W,39.9114,0,1
C01W,C09E,45.0114,0,0
C01W,C10W,59.0008,0,0
C01W,C10E,62.1741,0,1
C01W,C11W,75.3157,0,1
C01W,C11E,80.6288,0,0
C01W,C12W,91.0706,0,0
C01W,C12E,97.6861,0,1
C01W,C13W,38.6783,0,1
C01W,C13E,34.1448,0,0
C01W,C14W,39.5612,0,0
C01W,C14E,46.5251,0,1
C01W,C15W,54.1008,0,1
C01W,C15E,55.416,0,0
C01W,C16W,65.4005,0,0
C01W,C16E,71.9306,0,1
C01W,C17W,80.6451,0,1
C01W,C17E,86.0914,0,0
C01W,C18W,96.8642,0,0
C01W,C18E,102.5618,0,1
C01E,C01W,5.9082,1,1
C01E,C02W,11.4122,0,0
C01E,C02E,20.3828,0,1
C01E,C03W,30.2431,0,1
C01E,C03E,35.3204,0,0
C01E,C04W,47.6818,0,0
C01E,C04E,52.7617,0,1
C01E,C05W,65.6515,0,1
C01E,C05E,72.2887,0,0
C01E,C06W,84.1923,0,0
C01E,C06E,91.5474,0,1
C01E,C07W,17.0934,0,1
C01E,C07E,18.5268,0,0
C01E,C08W,22.0142,0,0
C01E,C08E,27.1478,0,1
C01E,C09W,34.1668,0,1
C01E,C09E,39.1756,0,0
C01E,C10W,53.1085,0,0
C01E,C10E,56.2668,0,1
C01E,C11W,69.4079,0,1
C01E,C11E,74.7226,0,0
C01E,C12W,85.1778,0,0
C01E,C12E,91.8131,0,1
C01E,C13W,37.0766,0,1
C01E,C13E,31.9648,0,0
C01E,C14W,35.6968,0,0
C01E,C14E,42.2082,0,1
C01E,C15W,49.092,0,1
C01E,C15E,50.1143,0,0
C01E,C16W,59.809,0,0
C01E,C16E,66.2719,0,1
C01E,C17W,74.8907,0,1
C01E,C17E,80.2499,0,0
C01E,C18W,90.9809,0,0
C01E,C18E,96.672,0,1
C02W,C01W,16.8472,0,1
C02W,C01E,11.4122,0,0
C02W,C02E,9.2636,1,1
C02W,C03W,19.272,0,1
C02W,C03E,23.9843,0,0
C02W,C04W,36.4227,0,0
C02W,C04E,41.7964,0,1
C02W,C05W,54.6472,0,1
C02W,C05E,61.0271,0,0
C02W,C06W,73.0488,0,0
C02W,C06E,80.3458,0,1
C02W,C07W,25.1551,0,1
C02W,C07E,23.7416,0,0
C02W,C08W,20.2572,0,0
C02W,C08E,22.5346,0,1
C02W,C09W,26.963,0,1
C02W,C09E,30.986,0,0
C02W,C10W,43.9504,0,0
C02W,C10E,46.4183,0,1
C02W,C11W,59.5264,0,1
C02W,C11E,64.7385,0,0
C02W,C12W,74.9026,0,0
C02W,C12E,81.3355,0,1
C02W,C13W,41.8554,0,1
C02W,C13E,36.0267,0,0
C02W,C14W,35.734,0,0
C02W,C14E,40.5884,0,1
C02W,C15W,44.9107,0,1
C02W,C15E,44.7417,0,0
C02W,C16W,52.8714,0,0
C02W,C16E,58.8827,0,1
C02W,C17W,66.8399,0,1
C02W,C17E,71.5031,0,0
C02W,C18W,81.742,0,0
C02W,C18E,87.3231,0,1
C02E,C01W,26.0228,0,1
C02E,C01E,20.3828,0,0
C02E,C02W,9.2636,1,0
C02E,C03W,10.0098,0,1
C02E,C03E,15.0145,0,0
C02E,C04W,27.3002,0,0
C02E,C04E,32.5358,0,1
C02E,C05W,45.3946,0,1
C02E,C05E,51.9059,0,0
C02E,C06W,63.8439,0,0
C02E,C06E,71.1752,0,1
C02E,C07W,31.4699,0,1
C02E,C07E,28.3974,0,0
C02E,C08W,20.3749,0,0
C02E,C08E,19.5356,0,1
C02E,C09W,20.7829,0,1
C02E,C09E,23.6065,0,0
C02E,C10W,35.4899,0,0
C02E,C10E,37.5123,0,1
C02E,C11W,50.5535,0,1
C02E,C11E,55.7071,0,0
C02E,C12W,65.7473,0,0
C02E,C12E,72.1195,0,1
C02E,C13W,44.8072,0,1
C02E,C13E,38.7546,0,0
C02E,C14W,35.3168,0,0
C02E,C14E,38.4736,0,1
C02E,C15W,40.4249,0,1
C02E,C15E,39.2593,0,0
C02E,C16W,45.916,0,0
C02E,C16E,51.4991,0,1
C02E,C17W,58.9166,0,1
C02E,C17E,63.1084,0,0
C02E,C18W,73.0343,0,0
C02E,C18E,78.5467,0,1
C03W,C01W,35.967,0,1
C03W,C01E,30.2431,0,0
C03W,C02W,19.272,0,0
C03W,C02E,10.0098,0,1
C03W,C03E,6.536,1,0
C03W,C04W,17.688,0,0
C03W,C04E,22.5462,0,1
C03W,C05W,35.4232,0,1
C03W,C05E,42.1794,0,0
C03W,C06W,53.9576,0,0
C03W,C06E,61.3424,0,1
C03W,C07W,39.4934,0,1
C03W,C07E,35.3683,0,0
C03W,C08W,24.5709,0,0
C03W,C08E,20.7112,0,1
C03W,C09W,17.2547,0,1
C03W,C09E,17.5268,0,0
C03W,C10W,26.8087,0,0
C03W,C10E,28.0554,0,1
C03W,C11W,40.9272,0,1
C03W,C11E,45.9859,0,0
C03W,C12W,55.8521,0,0
C03W,C12E,62.1506,0,1
C03W,C13W,49.5718,0,1
C03W,C13E,43.5684,0,0
C03W,C14W,37.3002,0,0
C03W,C14E,38.3955,0,1
C03W,C15W,37.3602,0,1
C03W,C15E,34.9371,0,0
C03W,C16W,39.2861,0,0
C03W,C16E,44.1446,0,1
C03W,C17W,50.7164,0,1
C03W,C17E,54.2336,0,0
C03W,C18W,63.7056,0,0
C03W,C18E,69.1177,0,1
C03E,C01W,40.8279,0,1
C03E,C01E,35.3204,0,0
C03E,C02W,23.9843,0,0
C03E,C02E,15.0145,0,1
C03E,C03W,6.536,1,1
C03E,C04W,12.5177,0,0
C03E,C04E,18.662,0,1
C03E,C05W,31.1665,0,1
C03E,C05E,37.0696,0,0
C03E,C06W,49.2198,0,0
C03E,C06E,56.4341,0,1
C03E,C07W,45.7301,0,1
C03E,C07E,41.7992,0,0
C03E,C08W,31.0991,0,0
C03E,C08E,26.9958,0,1
C03E,C09W,22.3747,0,1
C03E,C09E,21.1884,0,0
C03E,C10W,27.1154,0,0
C03E,C10E,26.8975,0,1
C03E,C11W,39.0234,0,1
C03E,C11E,43.7488,0,0
