county_id,region_id,sector,baseline_employment_1990,sector_share_1990,sector_employment_1990
C01W,R1,manufacturing,34631,0.504683,17478
C01W,R1,logistics,34631,0.046227,1601
C01W,R1,health,34631,0.042132,1459
C01W,R1,retail,34631,0.125931,4361
C01W,R1,construction,34631,0.195422,6768
C01W,R1,business,34631,0.085606,2965
C01E,R1,manufacturing,41214,0.375087,15459
C01E,R1,logistics,41214,0.014685,605
C01E,R1,health,41214,0.144221,5944
C01E,R1,retail,41214,0.344814,14211
C01E,R1,construction,41214,0.044222,1823
C01E,R1,business,41214,0.076971,3172
C02W,R1,manufacturing,97821,0.552552,54051
C02W,R1,logistics,97821,0.170177,16647
C02W,R1,health,97821,0.009148,895
C02W,R1,retail,97821,0.059609,5831
C02W,R1,construction,97821,0.150428,14715
C02W,R1,business,97821,0.058086,5682
C02E,R1,manufacturing,57429,0.687397,39477
C02E,R1,logistics,57429,0.097256,5585
C02E,R1,health,57429,0.001554,89
C02E,R1,retail,57429,0.06015,3454
C02E,R1,construction,57429,0.142908,8207
C02E,R1,business,57429,0.010735,616
C03W,R1,manufacturing,16686,0.579649,9672
C03W,R1,logistics,16686,0.124465,2077
C03W,R1,health,16686,0.006578,110
C03W,R1,retail,16686,0.130823,2183
C03W,R1,construction,16686,0.092246,1539
C03W,R1,business,16686,0.06624,1105
C03E,R1,manufacturing,72968,0.345557,25215
C03E,R1,logistics,72968,0.246138,17960
C03E,R1,health,72968,0.066069,4821
C03E,R1,retail,72968,0.024063,1756
C03E,R1,construction,72968,0.275043,20069
C03E,R1,business,72968,0.04313,3147
C04W,R1,manufacturing,36716,0.495871,18206
C04W,R1,logistics,36716,0.094831,3482
C04W,R1,health,36716,0.003198,117
C04W,R1,retail,36716,0.256384,9413
C04W,R1,construction,36716,0.095648,3512
C04W,R1,business,36716,0.054068,1985
C04E,R1,manufacturing,28301,0.571937,16186
C04E,R1,logistics,28301,0.084713,2397
C04E,R1,health,28301,0.005057,143
C04E,R1,retail,28301,0.090336,2557
C04E,R1,construction,28301,0.165767,4691
C04E,R1,business,28301,0.08219,2326
C05W,R1,manufacturing,42847,0.331566,14207
C05W,R1,logistics,42847,0.25377,10873
C05W,R1,health,42847,0.022462,962
C05W,R1,retail,42847,0.180287,7725
C05W,R1,construction,42847,0.151648,6498
C05W,R1,business,42847,0.060266,2582
