county_id,pair_id,region_id,side,treated_policy_side,x_coord,y_coord,population_1990,baseline_log_wage,baseline_employment_rate,unemployment_rate_1990,manufacturing_share_1990,pretrend_1980_1990,local_shock_index,fragile_pair,employment_growth_2000_2010,fitted_value,residual
C01E,P01,R1,east,0,20.899,18.3802,60237,10.10295,0.6842,0.06963,0.21739,-0.00341,0.56118,0,0.0431,0.040974451003175275,0.002125548996824725
C01W,P01,R1,west,1,15.2404,16.681,54010,10.0252,0.64119,0.09887,0.22174,0.02712,0.46685,0,0.02372,0.025845548996435333,-0.0021255489964353315
C02E,P02,R1,east,1,41.255,17.3354,82123,10.07904,0.6993,0.08569,0.25649,0.00253,0.42393,0,0.02368,0.031725945688614,-0.008045945688613998
C02W,P02,R1,west,0,32.0769,16.0796,142080,9.97631,0.68849,0.1097,0.27416,-0.02092,1.0731,0,0.05143,0.04338405431105994,0.008045945688940057
C03E,P03,R1,east,0,56.0141,14.5778,106064,10.10468,0.68796,0.1115,0.30462,0.00484,0.28222,0,0.04055,0.04323693490595043,-0.0026869349059504277
C03W,P03,R1,west,1,51.1371,18.9291,24434,10.04484,0.68292,0.09481,0.26534,0.02372,0.22728,0,0.02899,0.02630306509372123,0.0026869349062787692
C04E,P04,R1,east,1,73.6047,20.8102,42915,10.10088,0.65947,0.08905,0.24108,0.01866,0.20198,1,0.0305,0.023945220594503214,0.006554779405496786
C04W,P04,R1,west,0,68.4955,15.5302,55162,10.0216,0.66561,0.09043,0.19834,-0.0037,-0.42472,1,0.03167,0.038224779405169336,-0.006554779405169339
C05E,P05,R1,east,0,93.0836,14.5028,119752,10.08801,0.68071,0.09948,0.21893,0.01329,-0.0149,0,0.06912,0.06048227238741197,0.008637727612588034
C05W,P05,R1,west,1,86.495,21.0788,65945,9.99575,0.64974,0.09059,0.28081,-0.00591,-0.0913,0,0.03054,0.03917772761226107,-0.00863772761226107
C06E,P06,R1,east,1,112.4224,16.2838,132810,10.04879,0.65741,0.08785,0.30994,0.02195,0.13237,0,0.03968,0.0307959243594779,0.008884075640522099
C06W,P06,R1,west,0,105.0913,18.3216,48056,10.00595,0.64494,0.10081,0.32218,0.00647,-0.02518,0,0.03745,0.046334075640194976,-0.008884075640194979
C07E,P07,R2,east,0,20.678,36.9057,146647,10.06658,0.67856,0.08214,0.16258,0.01679,0.40098,0,0.04218,0.05704469916281371,-0.014864699162813709
C07W,P07,R2,west,1,14.7739,34.3385,164149,10.03236,0.67137,0.0911,0.25292,0.01752,0.29611,0,0.04854,0.03367530083685967,0.01486469916314033
C08E,P08,R2,east,1,40.7812,36.8653,144266,10.0544,0.68604,0.0897,0.18378,0.01695,0.64394,0,0.07306,0.06423869668191913,0.00882130331808087
