pair_id,baseline_log_wage_treated_minus_control,baseline_employment_rate_treated_minus_control,unemployment_rate_1990_treated_minus_control,manufacturing_share_1990_treated_minus_control,pretrend_1980_1990_treated_minus_control,max_absolute_difference,fragile_pair_input,flag_large_balance_gap
P12,0.17258,0.04135,-0.01043,-0.07037,-0.00158,0.17258,0,1
P13,-0.11919,-0.04441,0.00296,0.0614,-0.01149,0.11919,0,1
P16,0.11751,-0.00234,-0.00162,0.00543,-0.01148,0.11751,1,1
P02,0.10273,0.01081,-0.02401,-0.01767,0.02345,0.10273,0,1
P10,0.06194,0.09267,-0.02097,-0.02451,0.01695,0.09267,0,1
P05,-0.09226,-0.03097,-0.00889,0.06188,-0.0192,0.09226,0,1
P07,-0.03422,-0.00719,0.00896,0.09034,0.00073,0.09034,0,1
P15,-0.08458,-0.05378,0.01053,-0.0717,0.00298,0.08458,0,1
P04,0.07928,-0.00614,-0.00138,0.04274,0.02236,0.07928,1,1
P01,-0.07775,-0.04301,0.02924,0.00435,0.03053,0.07775,0,1
P17,-0.01891,-0.07169,-0.01041,-0.01984,-0.00101,0.07169,0,0
P11,0.0099,-0.06239,-0.01024,0.00628,0.01455,0.06239,1,0
P14,0.06051,-0.01315,0.00826,0.02118,-0.01241,0.06051,0,0
P03,-0.05984,-0.00504,-0.01669,-0.03928,0.01888,0.05984,0,0
P09,-0.00424,-0.0485,0.00862,0.05471,-0.0433,0.05471,0,0
P18,0.00467,0.04807,-0.01713,0.0257,-0.00204,0.04807,0,0
P06,0.04284,0.01247,-0.01296,-0.01224,0.01548,0.04284,0,0
P08,0.0171,0.04236,0.00041,-0.03958,0.02175,0.04236,0,0
