county_id,treated_neighbor_exposure,nearby_counties_within_cutoff,same_pair_neighbor,pair_id,treated_policy_side,control_with_treated_neighbor_exposure
C10W,5.903696,28,1,P10,0,1
C09E,5.894009,28,1,P09,0,1
C08W,4.968256,22,1,P08,0,1
C11E,4.967816,22,1,P11,0,1
C15E,4.833069,25,1,P15,0,1
C16W,4.750351,23,1,P16,0,1
C12W,4.284956,17,1,P12,0,1
C14W,4.151138,20,1,P14,0,1
C04W,4.117536,24,1,P04,0,1
C17E,4.088847,20,1,P17,0,1
C03E,4.034416,23,1,P03,0,1
C07E,4.031507,17,1,P07,0,1
C02W,3.573636,20,1,P02,0,1
C13E,3.488649,16,1,P13,0,1
C18W,3.403973,16,1,P18,0,1
C05E,3.371387,19,1,P05,0,1
C06W,3.256656,15,1,P06,0,1
C01E,3.239402,15,1,P01,0,1
C09W,4.984073,27,1,P09,1,0
C10E,4.957444,27,1,P10,1,0
C08E,4.554207,23,1,P08,1,0
C11W,4.43834,23,1,P11,1,0
C04E,3.999064,26,1,P04,1,0
C03W,3.771369,25,1,P03,1,0
C16E,3.647471,23,1,P16,1,0
C05W,3.608713,22,1,P05,1,0
C15W,3.527833,25,1,P15,1,0
C02E,3.298338,21,1,P02,1,0
C17W,3.239342,20,1,P17,1,0
C14E,3.170544,20,1,P14,1,0
C12E,2.659136,15,1,P12,1,0
C07W,2.489244,15,1,P07,1,0
C18E,1.953784,15,1,P18,1,0
C13W,1.892707,15,1,P13,1,0
C01W,1.760071,13,1,P01,1,0
C06E,1.66602,13,1,P06,1,0
