county_id,region_id,sector,sector_share_1990,shock,contribution,abs_contribution
C01E,R1,manufacturing,0.375087,0.19,0.071267,0.071267
C01W,R1,manufacturing,0.504683,0.19,0.09589,0.09589
C02E,R1,manufacturing,0.687397,0.19,0.130605,0.130605
C02W,R1,manufacturing,0.552552,0.19,0.104985,0.104985
C03E,R1,manufacturing,0.345557,0.19,0.065656,0.065656
C03W,R1,manufacturing,0.579649,0.19,0.110133,0.110133
C04E,R1,manufacturing,0.571937,0.19,0.108668,0.108668
C04W,R1,manufacturing,0.495871,0.19,0.094215,0.094215
C05E,R1,manufacturing,0.416597,0.19,0.079153,0.079153
C05W,R1,manufacturing,0.331566,0.19,0.062998,0.062998
C06E,R1,manufacturing,0.460421,0.19,0.08748,0.08748
C06W,R1,manufacturing,0.247352,0.19,0.046997,0.046997
C07E,R2,logistics,0.522453,0.072,0.037617,0.037617
C07W,R2,manufacturing,0.216517,0.19,0.041138,0.041138
C08E,R2,construction,0.52029,0.094,0.048907,0.048907
C08W,R2,manufacturing,0.306674,0.19,0.058268,0.058268
C09E,R2,manufacturing,0.325526,0.19,0.06185,0.06185
C09W,R2,logistics,0.378086,0.072,0.027222,0.027222
C10E,R2,manufacturing,0.211778,0.19,0.040238,0.040238
C10W,R2,manufacturing,0.248864,0.19,0.047284,0.047284
C11E,R2,manufacturing,0.19616,0.19,0.03727,0.03727
C11W,R2,logistics,0.523653,0.072,0.037703,0.037703
C12E,R2,construction,0.423705,0.094,0.039828,0.039828
C12W,R2,manufacturing,0.450261,0.19,0.08555,0.08555
C13E,R3,logistics,0.16376,0.072,0.011791,0.011791
C13W,R3,manufacturing,0.159149,0.19,0.030238,0.030238
C14E,R3,construction,0.152144,0.094,0.014302,0.014302
C14W,R3,construction,0.223435,0.094,0.021003,0.021003
C15E,R3,construction,0.193674,0.094,0.018205,0.018205
C15W,R3,manufacturing,0.528078,0.19,0.100335,0.100335
C16E,R3,construction,0.275344,0.094,0.025882,0.025882
C16W,R3,construction,0.24547,0.094,0.023074,0.023074
C17E,R3,manufacturing,0.07881,0.19,0.014974,0.014974
C17W,R3,logistics,0.301083,0.072,0.021678,0.021678
C18E,R3,manufacturing,0.076835,0.19,0.014599,0.014599
C18W,R3,manufacturing,0.11295,0.19,0.02146,0.02146
