county_id,region_id,shift_share_exposure,leave_one_out_exposure,region_shift_share_exposure,dominant_contribution_share,effective_sector_count,county_minus_region_exposure,highly_concentrated_shares,dominant_contribution_warning
C01W,R1,0.123071,0.114567,0.118244,0.768614,3.125061,0.004828,1,1
C01E,R1,0.088085,0.082576,0.118244,0.759338,3.466416,-0.030159,1,1
C02W,R1,0.134506,0.12457,0.118244,0.778407,2.747906,0.016262,1,1
C02E,R1,0.153489,0.13884,0.118244,0.850566,1.97577,0.035245,1,1
C03W,R1,0.133798,0.123198,0.118244,0.821516,2.620961,0.015554,1,1
C03E,R1,0.109601,0.104031,0.118244,0.584939,3.8103,-0.008643,0,1
C04W,R1,0.120686,0.112434,0.118244,0.779839,3.005748,0.002442,1,1
C04E,R1,0.135161,0.12468,0.118244,0.802791,2.654574,0.016917,1,1
C05W,R1,0.10301,0.09824,0.118244,0.606277,4.274011,-0.015234,0,1
C05E,R1,0.113393,0.10695,0.118244,0.677462,3.772223,-0.004851,0,1
C06W,R1,0.090146,0.085524,0.118244,0.518935,3.29433,-0.028098,1,0
C06E,R1,0.108881,0.101656,0.118244,0.762028,3.389532,-0.009363,1,1
C07W,R2,0.087321,0.083499,0.083641,0.46475,4.482151,0.00368,0,0
C07E,R2,0.070264,0.066011,0.083641,0.529588,2.884108,-0.013377,1,0
C08W,R2,0.098172,0.093727,0.083641,0.575723,4.669433,0.014531,0,1
C08E,R2,0.099814,0.0939,0.083641,0.489333,2.741172,0.016173,1,0
C09W,R2,0.044847,0.042066,0.083641,0.495519,3.796223,-0.038794,0,0
C09E,R2,0.105221,0.100192,0.083641,0.583317,4.009274,0.02158,0,1
C10W,R2,0.099953,0.095469,0.083641,0.469576,4.055628,0.016312,0,0
C10E,R2,0.073274,0.069906,0.083641,0.527084,4.334453,-0.010367,0,0
C11W,R2,0.068638,0.064499,0.083641,0.516517,2.962729,-0.015002,1,0
C11E,R2,0.083119,0.079674,0.083641,0.441706,4.058979,-0.000522,0,0
C12W,R2,0.113661,0.106648,0.083641,0.744346,3.554707,0.03002,0,1
C12E,R2,0.062098,0.05844,0.083641,0.574539,3.780975,-0.021542,0,1
C13W,R3,0.057454,0.055002,0.047085,0.435758,4.811725,0.010369,0,0
C13E,R3,0.026789,0.024015,0.047085,0.349939,3.475757,-0.020296,1,0
C14W,R3,0.049989,0.047849,0.047085,0.354103,5.273725,0.002904,0,0
C14E,R3,0.026556,0.024313,0.047085,0.314708,3.355938,-0.020529,1,0
C15W,R3,0.117483,0.1086,0.047085,0.822145,3.045005,0.070398,1,1
C15E,R3,0.03626,0.033942,0.047085,0.398054,4.335141,-0.010825,0,0
C16W,R3,0.044193,0.041855,0.047085,0.411511,4.509495,-0.002892,0,0
C16E,R3,0.061636,0.059066,0.047085,0.38027,4.784134,0.014551,0,0
C17W,R3,0.042884,0.040035,0.047085,0.446047,3.75691,-0.004201,0,0
C17E,R3,0.037345,0.035435,0.047085,0.307026,4.846959,-0.00974,0,0
C18W,R3,0.043593,0.041301,0.047085,0.413146,4.582489,-0.003492,0,0
C18E,R3,0.040809,0.037085,0.047085,0.325079,2.803548,-0.006276,1,0
