county_id,pair_id,region_id,x_coord,y_coord,population_1990,baseline_employment_rate,manufacturing_share_1990,employment_growth_2000_2010,shift_share_exposure,leave_one_out_exposure,max_abs_contribution,contribution_abs_sum,sector_share_herfindahl,dominant_contribution_share,effective_sector_count,region_shift_share_exposure,county_minus_region_exposure
C01W,P01,R1,15.2404,16.681,54010,0.64119,0.22174,0.02372,0.123071,0.114567,0.09589,0.124757,0.319994,0.768614,3.125061,0.118244,0.004828
C01E,P01,R1,20.899,18.3802,60237,0.6842,0.21739,0.0431,0.088085,0.082576,0.071267,0.093854,0.288482,0.759338,3.466416,0.118244,-0.030159
C02W,P02,R1,32.0769,16.0796,142080,0.68849,0.27416,0.05143,0.134506,0.12457,0.104985,0.134872,0.363913,0.778407,2.747906,0.118244,0.016262
C02E,P02,R1,41.255,17.3354,82123,0.6993,0.25649,0.02368,0.153489,0.13884,0.130605,0.153551,0.506132,0.850566,1.97577,0.118244,0.035245
C03W,P03,R1,51.1371,18.9291,24434,0.68292,0.26534,0.02899,0.133798,0.123198,0.110133,0.134061,0.381539,0.821516,2.620961,0.118244,0.015554
C03E,P03,R1,56.0141,14.5778,106064,0.68796,0.30462,0.04055,0.109601,0.104031,0.065656,0.112244,0.262447,0.584939,3.8103,0.118244,-0.008643
C04W,P04,R1,68.4955,15.5302,55162,0.66561,0.19834,0.03167,0.120686,0.112434,0.094215,0.120814,0.332696,0.779839,3.005748,0.118244,0.002442
C04E,P04,R1,73.6047,20.8102,42915,0.65947,0.24108,0.0305,0.135161,0.12468,0.108668,0.135363,0.376708,0.802791,2.654574,0.118244,0.016917
C05W,P05,R1,86.495,21.0788,65945,0.64974,0.28081,0.03054,0.10301,0.09824,0.062998,0.103909,0.233972,0.606277,4.274011,0.118244,-0.015234
C05E,P05,R1,93.0836,14.5028,119752,0.68071,0.21893,0.06912,0.113393,0.10695,0.079153,0.116838,0.265096,0.677462,3.772223,0.118244,-0.004851
C06W,P06,R1,105.0913,18.3216,48056,0.64494,0.32218,0.03745,0.090146,0.085524,0.046997,0.090564,0.303552,0.518935,3.29433,0.118244,-0.028098
C06E,P06,R1,112.4224,16.2838,132810,0.65741,0.30994,0.03968,0.108881,0.101656,0.08748,0.114799,0.295026,0.762028,3.389532,0.118244,-0.009363
C07W,P07,R2,14.7739,34.3385,164149,0.67137,0.25292,0.04854,0.087321,0.083499,0.041138,0.088517,0.223107,0.46475,4.482151,0.083641,0.00368
C07E,P07,R2,20.678,36.9057,146647,0.67856,0.16258,0.04218,0.070264,0.066011,0.037617,0.07103,0.346728,0.529588,2.884108,0.083641,-0.013377
C08W,P08,R2,33.7289,36.2693,93990,0.64368,0.22336,0.07501,0.098172,0.093727,0.058268,0.101208,0.214159,0.575723,4.669433,0.083641,0.014531
C08E,P08,R2,40.7812,36.8653,144266,0.68604,0.18378,0.07306,0.099814,0.0939,0.048907,0.099947,0.364808,0.489333,2.741172,0.083641,0.016173
C09W,P09,R2,50.0804,36.1514,152584,0.61743,0.297,0.04881,0.044847,0.042066,0.027222,0.054937,0.26342,0.495519,3.796223,0.083641,-0.038794
C09E,P09,R2,56.0053,35.7662,75496,0.66593,0.24229,0.06133,0.105221,0.100192,0.06185,0.106031,0.249422,0.583317,4.009274,0.083641,0.02158
C10W,P10,R2,70.4295,37.5439,40830,0.61633,0.28636,0.04112,0.099953,0.095469,0.047284,0.100696,0.246571,0.469576,4.055628,0.083641,0.016312
C10E,P10,R2,75.083,33.5476,43654,0.709,0.26185,-0.00566,0.073274,0.069906,0.040238,0.07634,0.23071,0.527084,4.334453,0.083641,-0.010367
C11W,P11,R2,87.6384,37.441,35273,0.61816,0.23436,0.03384,0.068638,0.064499,0.037703,0.072995,0.337527,0.516517,2.962729,0.083641,-0.015002
C11E,P11,R2,93.0262,37.903,134343,0.68055,0.22808,0.05057,0.083119,0.079674,0.03727,0.084378,0.246367,0.441706,4.058979,0.083641,-0.000522
C12W,P12,R2,104.0771,36.7285,106902,0.62798,0.31553,0.03101,0.113661,0.106648,0.08555,0.114933,0.281317,0.744346,3.554707,0.083641,0.03002
C12E,P12,R2,111.2424,34.742,49535,0.66933,0.24516,0.03533,0.062098,0.05844,0.039828,0.069322,0.264482,0.574539,3.780975,0.083641,-0.021542
C13W,P13,R3,17.4502,55.2961,88945,0.65254,0.2582,0.005,0.057454,0.055002,0.030238,0.069393,0.207826,0.435758,4.811725,0.047085,0.010369
C13E,P13,R3,20.9502,50.345,142399,0.69695,0.1968,0.03034,0.026789,0.024015,0.011791,0.033694,0.287707,0.349939,3.475757,0.047085,-0.020296
C14W,P14,R3,33.4812,51.786,118392,0.67585,0.21068,0.01887,0.049989,0.047849,0.021003,0.059313,0.189619,0.354103,5.273725,0.047085,0.002904
C14E,P14,R3,40.4254,55.8001,37502,0.6627,0.23186,0.01855,0.026556,0.024313,0.014302,0.045444,0.297979,0.314708,3.355938,0.047085,-0.020529
C15W,P15,R3,52.106,56.2767,79739,0.63692,0.25714,0.01903,0.117483,0.1086,0.100335,0.12204,0.328407,0.822145,3.045005,0.047085,0.070398
C15E,P15,R3,56.7316,53.4154,81453,0.6907,0.32884,0.01948,0.03626,0.033942,0.018205,0.045736,0.230673,0.398054,4.335141,0.047085,-0.010825
C16W,P16,R3,69.0063,53.9161,82680,0.64016,0.24621,0.02641,0.044193,0.041855,0.023074,0.056072,0.221754,0.411511,4.509495,0.047085,-0.002892
C16E,P16,R3,75.7474,55.5772,79197,0.63782,0.25164,-0.00619,0.061636,0.059066,0.025882,0.068063,0.209024,0.38027,4.784134,0.047085,0.014551
C17W,P17,R3,85.5459,56.1875,152910,0.63571,0.20819,0.02313,0.042884,0.040035,0.021678,0.0486,0.266176,0.446047,3.75691,0.047085,-0.004201
C17E,P17,R3,93.2463,53.1065,135821,0.7074,0.22803,0.03985,0.037345,0.035435,0.014974,0.048771,0.206315,0.307026,4.846959,0.047085,-0.00974
C18W,P18,R3,105.1655,52.6831,51124,0.65134,0.27941,0.08113,0.043593,0.041301,0.02146,0.051944,0.218222,0.413146,4.582489,0.047085,-0.003492
C18E,P18,R3,110.921,53.6154,90581,0.69941,0.30511,0.04219,0.040809,0.037085,0.014599,0.044908,0.356691,0.325079,2.803548,0.047085,-0.006276
