county_id,pair_id,region_id,x_coord,y_coord,population_1990,baseline_employment_rate,manufacturing_share_1990,employment_growth_2000_2010
C01W,P01,R1,15.2404,16.681,54010,0.64119,0.22174,0.02372
C01E,P01,R1,20.899,18.3802,60237,0.6842,0.21739,0.0431
C02W,P02,R1,32.0769,16.0796,142080,0.68849,0.27416,0.05143
C02E,P02,R1,41.255,17.3354,82123,0.6993,0.25649,0.02368
C03W,P03,R1,51.1371,18.9291,24434,0.68292,0.26534,0.02899
C03E,P03,R1,56.0141,14.5778,106064,0.68796,0.30462,0.04055
C04W,P04,R1,68.4955,15.5302,55162,0.66561,0.19834,0.03167
C04E,P04,R1,73.6047,20.8102,42915,0.65947,0.24108,0.0305
C05W,P05,R1,86.495,21.0788,65945,0.64974,0.28081,0.03054
C05E,P05,R1,93.0836,14.5028,119752,0.68071,0.21893,0.06912
C06W,P06,R1,105.0913,18.3216,48056,0.64494,0.32218,0.03745
C06E,P06,R1,112.4224,16.2838,132810,0.65741,0.30994,0.03968
C07W,P07,R2,14.7739,34.3385,164149,0.67137,0.25292,0.04854
C07E,P07,R2,20.678,36.9057,146647,0.67856,0.16258,0.04218
C08W,P08,R2,33.7289,36.2693,93990,0.64368,0.22336,0.07501
C08E,P08,R2,40.7812,36.8653,144266,0.68604,0.18378,0.07306
C09W,P09,R2,50.0804,36.1514,152584,0.61743,0.297,0.04881
C09E,P09,R2,56.0053,35.7662,75496,0.66593,0.24229,0.06133
C10W,P10,R2,70.4295,37.5439,40830,0.61633,0.28636,0.04112
C10E,P10,R2,75.083,33.5476,43654,0.709,0.26185,-0.00566
C11W,P11,R2,87.6384,37.441,35273,0.61816,0.23436,0.03384
C11E,P11,R2,93.0262,37.903,134343,0.68055,0.22808,0.05057
C12W,P12,R2,104.0771,36.7285,106902,0.62798,0.31553,0.03101
C12E,P12,R2,111.2424,34.742,49535,0.66933,0.24516,0.03533
C13W,P13,R3,17.4502,55.2961,88945,0.65254,0.2582,0.005
C13E,P13,R3,20.9502,50.345,142399,0.69695,0.1968,0.03034
C14W,P14,R3,33.4812,51.786,118392,0.67585,0.21068,0.01887
C14E,P14,R3,40.4254,55.8001,37502,0.6627,0.23186,0.01855
C15W,P15,R3,52.106,56.2767,79739,0.63692,0.25714,0.01903
C15E,P15,R3,56.7316,53.4154,81453,0.6907,0.32884,0.01948
C16W,P16,R3,69.0063,53.9161,82680,0.64016,0.24621,0.02641
C16E,P16,R3,75.7474,55.5772,79197,0.63782,0.25164,-0.00619
C17W,P17,R3,85.5459,56.1875,152910,0.63571,0.20819,0.02313
C17E,P17,R3,93.2463,53.1065,135821,0.7074,0.22803,0.03985
C18W,P18,R3,105.1655,52.6831,51124,0.65134,0.27941,0.08113
C18E,P18,R3,110.921,53.6154,90581,0.69941,0.30511,0.04219
